tchextid,studentuuid,stdextid,classcode
tch_20200702-191603_29,0438faf3-bcca-11ea-840b-0242ac110002,std_1593738642310_29,uT3C-6GHr
tch_20200702-191603_20,0436623d-bcca-11ea-94cc-0242ac110002,std_1593738642575_20,rxr2-C6mv
tch_20200702-191603_16,064719e3-bcca-11ea-840b-0242ac110002,std_1593738646012_16,7q9s-PEhU
tch_20200702-191603_25,06b8044a-bcca-11ea-94cc-0242ac110002,std_1593738646735_25,p96j-Pom6
tch_20200702-191603_30,07d29c30-bcca-11ea-94cc-0242ac110002,std_1593738648315_30,HU8H-DAes
tch_20200702-191603_27,0b3fd63c-bcca-11ea-840b-0242ac110002,std_1593738654400_27,89F2-Ps4w
tch_20200702-191603_31,0b6734c2-bcca-11ea-94cc-0242ac110002,std_1593738654322_31,P8m3-68YM
tch_20200702-191603_26,093e3a5e-bcca-11ea-840b-0242ac110002,std_1593738651033_26,mies-UzUt
tch_20200702-191603_17,0bfe9299-bcca-11ea-94cc-0242ac110002,std_1593738655659_17,tKpe-KMm2
tch_20200702-191603_21,0b2b161d-bcca-11ea-94cc-0242ac110002,std_1593738654247_21,9yBf-gZQr
tch_20200702-191603_32,0ef9f7a6-bcca-11ea-94cc-0242ac110002,std_1593738660328_32,R8MK-vBKV
tch_20200702-191603_18,0de2bbd1-bcca-11ea-94cc-0242ac110002,std_1593738658822_18,3NTi-jBN3
tch_20200702-191603_22,0e63d2f5-bcca-11ea-840b-0242ac110002,std_1593738659680_22,ekB7-Eh8M
tch_20200702-191603_19,127bf2b5-bcca-11ea-94cc-0242ac110002,std_1593738666540_19,8bYk-Lgnm
tch_20200702-191603_23,1021137c-bcca-11ea-94cc-0242ac110002,std_1593738662556_23,Dnz3-esyQ
tch_20200702-191603_28,120f9cc9-bcca-11ea-840b-0242ac110002,std_1593738665795_28,ZA4V-2rpk
tch_20200702-191603_33,12956e98-bcca-11ea-94cc-0242ac110002,std_1593738666334_33,K94y-2rg7
tch_20200702-191603_24,111d4da2-bcca-11ea-94cc-0242ac110002,std_1593738664234_24,zm2y-Z2Yw
tch_20200702-191603_29,13e609c8-bcca-11ea-94cc-0242ac110002,std_1593738668911_29,uT3C-6GHr
tch_20200702-191603_20,14e4b608-bcca-11ea-840b-0242ac110002,std_1593738670588_20,rxr2-C6mv
tch_20200702-191603_34,1626ab6e-bcca-11ea-94cc-0242ac110002,std_1593738672341_34,x6gf-4hLP
tch_20200702-191603_25,168ee356-bcca-11ea-840b-0242ac110002,std_1593738673380_25,p96j-Pom6
tch_20200702-191603_30,17d0d8bb-bcca-11ea-94cc-0242ac110002,std_1593738675503_30,HU8H-DAes
tch_20200702-191603_27,1a70ff08-bcca-11ea-94cc-0242ac110002,std_1593738679889_27,89F2-Ps4w
tch_20200702-191603_31,1af941ad-bcca-11ea-94cc-0242ac110002,std_1593738680774_31,P8m3-68YM
tch_20200702-191603_35,19b5297d-bcca-11ea-840b-0242ac110002,std_1593738678347_35,X7uy-sdDm
tch_20200702-191603_26,1bb650d0-bcca-11ea-94cc-0242ac110002,std_1593738682009_26,mies-UzUt
tch_20200702-191603_36,1d4d6b49-bcca-11ea-840b-0242ac110002,std_1593738684354_36,xM3A-oCB8
tch_20200702-191603_21,1c9b0b72-bcca-11ea-94cc-0242ac110002,std_1593738683500_21,9yBf-gZQr
tch_20200702-191603_32,1e84b2e1-bcca-11ea-94cc-0242ac110002,std_1593738686697_32,R8MK-vBKV
tch_20200702-191603_22,1f17f1af-bcca-11ea-840b-0242ac110002,std_1593738687709_22,ekB7-Eh8M
tch_20200702-191603_23,20b2dcfc-bcca-11ea-840b-0242ac110002,std_1593738690405_23,Dnz3-esyQ
tch_20200702-191603_37,20dbc288-bcca-11ea-94cc-0242ac110002,std_1593738690362_37,8jW6-Q3rT
tch_20200702-191603_28,2157d023-bcca-11ea-94cc-0242ac110002,std_1593738691453_28,ZA4V-2rpk
tch_20200702-191603_33,21b55922-bcca-11ea-94cc-0242ac110002,std_1593738692048_33,K94y-2rg7
tch_20200702-191603_24,21fb1552-bcca-11ea-94cc-0242ac110002,std_1593738692552_24,zm2y-Z2Yw
tch_20200702-191603_29,232c695f-bcca-11ea-840b-0242ac110002,std_1593738694534_29,uT3C-6GHr
tch_20200702-191603_38,2476c37b-bcca-11ea-94cc-0242ac110002,std_1593738696367_38,PD78-J76k
tch_20200702-191603_34,2638971d-bcca-11ea-840b-0242ac110002,std_1593738699657_34,x6gf-4hLP
tch_20200702-191603_25,28c0a198-bcca-11ea-840b-0242ac110002,std_1593738703901_25,p96j-Pom6
tch_20200702-191603_39,280a4a94-bcca-11ea-94cc-0242ac110002,std_1593738702373_39,37C8-vpy2
tch_20200702-191603_30,290154e2-bcca-11ea-840b-0242ac110002,std_1593738704256_30,HU8H-DAes
tch_20200702-191603_35,29ceddcf-bcca-11ea-840b-0242ac110002,std_1593738705687_35,X7uy-sdDm
tch_20200702-191603_40,2b9b6038-bcca-11ea-840b-0242ac110002,std_1593738708380_40,9RHs-2jyt
tch_20200702-191603_31,29902765-bcca-11ea-94cc-0242ac110002,std_1593738705262_31,P8m3-68YM
tch_20200702-191603_26,2acd6203-bcca-11ea-840b-0242ac110002,std_1593738707365_26,mies-UzUt
tch_20200702-191603_27,2986d861-bcca-11ea-840b-0242ac110002,std_1593738705220_27,89F2-Ps4w
tch_20200702-191603_32,2da4eba0-bcca-11ea-840b-0242ac110002,std_1593738712107_32,R8MK-vBKV
tch_20200702-191603_36,2c338135-bcca-11ea-94cc-0242ac110002,std_1593738709637_36,xM3A-oCB8
tch_20200702-191603_41,2f32deae-bcca-11ea-840b-0242ac110002,std_1593738714387_41,kVyG-bJyP
tch_20200702-191603_37,304a4234-bcca-11ea-840b-0242ac110002,std_1593738716533_37,8jW6-Q3rT
tch_20200702-191603_29,32def67a-bcca-11ea-840b-0242ac110002,std_1593738720824_29,uT3C-6GHr
tch_20200702-191603_28,3207f791-bcca-11ea-840b-0242ac110002,std_1593738719484_28,ZA4V-2rpk
tch_20200702-191603_33,3241f3a1-bcca-11ea-94cc-0242ac110002,std_1593738719850_33,K94y-2rg7
tch_20200702-191603_42,32c83abf-bcca-11ea-840b-0242ac110002,std_1593738720393_42,K3mh-tRZ8
tch_20200702-191603_38,32ff9e6a-bcca-11ea-840b-0242ac110002,std_1593738721085_38,PD78-J76k
tch_20200702-191603_34,366bc706-bcca-11ea-94cc-0242ac110002,std_1593738726816_34,x6gf-4hLP
tch_20200702-191603_43,36570704-bcca-11ea-94cc-0242ac110002,std_1593738726400_43,DrRe-mz8m
tch_20200702-191603_30,386dd86e-bcca-11ea-94cc-0242ac110002,std_1593738730179_30,HU8H-DAes
tch_20200702-191603_39,37444cb6-bcca-11ea-94cc-0242ac110002,std_1593738728245_39,37C8-vpy2
tch_20200702-191603_35,399e42de-bcca-11ea-94cc-0242ac110002,std_1593738732191_35,X7uy-sdDm
tch_20200702-191603_40,3aded8e9-bcca-11ea-94cc-0242ac110002,std_1593738734284_40,9RHs-2jyt
tch_20200702-191603_44,39f0a7da-bcca-11ea-840b-0242ac110002,std_1593738732406_44,7E6k-TxCQ
tch_20200702-191603_31,3af60ab9-bcca-11ea-94cc-0242ac110002,std_1593738734463_31,P8m3-68YM
tch_20200702-191603_32,3c958990-bcca-11ea-840b-0242ac110002,std_1593738737174_32,R8MK-vBKV
tch_20200702-191603_41,3f3c8d16-bcca-11ea-840b-0242ac110002,std_1593738741612_41,kVyG-bJyP
tch_20200702-191603_45,3d80acb2-bcca-11ea-840b-0242ac110002,std_1593738738414_45,o6VJ-zaYh
tch_20200702-191603_36,3e7df886-bcca-11ea-94cc-0242ac110002,std_1593738740402_36,xM3A-oCB8
tch_20200702-191603_46,411da922-bcca-11ea-840b-0242ac110002,std_1593738744422_46,6g38-n4rJ
tch_20200702-191603_37,402fc6be-bcca-11ea-94cc-0242ac110002,std_1593738743212_37,8jW6-Q3rT
tch_20200702-191603_33,41cab2e4-bcca-11ea-840b-0242ac110002,std_1593738745909_33,K94y-2rg7
tch_20200702-191603_34,446d2290-bcca-11ea-94cc-0242ac110002,std_1593738750340_34,x6gf-4hLP
tch_20200702-191603_42,42b2538a-bcca-11ea-94cc-0242ac110002,std_1593738747428_42,K3mh-tRZ8
tch_20200702-191603_38,4360947b-bcca-11ea-840b-0242ac110002,std_1593738748502_38,PD78-J76k
tch_20200702-191603_47,44b9468e-bcca-11ea-94cc-0242ac110002,std_1593738750426_47,w8H9-jxsj
tch_20200702-191603_39,47320f29-bcca-11ea-840b-0242ac110002,std_1593738754990_39,37C8-vpy2
tch_20200702-191603_35,489bff69-bcca-11ea-94cc-0242ac110002,std_1593738757298_35,X7uy-sdDm
tch_20200702-191603_43,460352b0-bcca-11ea-94cc-0242ac110002,std_1593738752989_43,DrRe-mz8m
tch_20200702-191603_48,48430a29-bcca-11ea-94cc-0242ac110002,std_1593738756433_48,u4wa-nGsG
tch_20200702-191603_44,4a515052-bcca-11ea-94cc-0242ac110002,std_1593738760229_44,7E6k-TxCQ
tch_20200702-191603_40,4980ba06-bcca-11ea-94cc-0242ac110002,std_1593738758851_40,9RHs-2jyt
tch_20200702-191603_49,4bd4e37b-bcca-11ea-840b-0242ac110002,std_1593738762439_49,m2U6-kZ3H
tch_20200702-191603_41,4e5d14ea-bcca-11ea-94cc-0242ac110002,std_1593738767023_41,kVyG-bJyP
tch_20200702-191603_36,4fdd739c-bcca-11ea-840b-0242ac110002,std_1593738769529_36,xM3A-oCB8
tch_20200702-191603_37,505dee39-bcca-11ea-840b-0242ac110002,std_1593738770379_37,8jW6-Q3rT
tch_20200702-191603_50,4f6c13fd-bcca-11ea-94cc-0242ac110002,std_1593738768445_50,mUQ6-8Zby
tch_20200702-191603_46,505e154c-bcca-11ea-840b-0242ac110002,std_1593738770357_46,6g38-n4rJ
tch_20200702-191603_45,4fa43a8a-bcca-11ea-840b-0242ac110002,std_1593738769128_45,o6VJ-zaYh
tch_20200702-191603_38,531b38f5-bcca-11ea-94cc-0242ac110002,std_1593738774951_38,PD78-J76k
tch_20200702-191603_42,52d99c4c-bcca-11ea-94cc-0242ac110002,std_1593738774488_42,K3mh-tRZ8
tch_20200702-191603_51,52f958b5-bcca-11ea-840b-0242ac110002,std_1593738774453_51,23dL-iG3F
tch_20200702-191603_47,54eb8c8a-bcca-11ea-94cc-0242ac110002,std_1593738778014_47,w8H9-jxsj
tch_20200702-191603_48,587d3e42-bcca-11ea-94cc-0242ac110002,std_1593738783983_48,u4wa-nGsG
tch_20200702-191603_39,56d2745a-bcca-11ea-840b-0242ac110002,std_1593738781180_39,37C8-vpy2
tch_20200702-191603_52,56991599-bcca-11ea-94cc-0242ac110002,std_1593738780458_52,Zd2e-XhKc
tch_20200702-191603_43,576369d4-bcca-11ea-94cc-0242ac110002,std_1593738782160_43,DrRe-mz8m
tch_20200702-191603_53,5a271df1-bcca-11ea-840b-0242ac110002,std_1593738786465_53,HTzD-9ga2
tch_20200702-191603_44,59e13af3-bcca-11ea-94cc-0242ac110002,std_1593738786267_44,7E6k-TxCQ
tch_20200702-191603_40,5c35b2c5-bcca-11ea-840b-0242ac110002,std_1593738790251_40,9RHs-2jyt
tch_20200702-191603_54,5dbe00cc-bcca-11ea-94cc-0242ac110002,std_1593738792472_54,2B29-8w4q
tch_20200702-191603_41,5cd4ff92-bcca-11ea-94cc-0242ac110002,std_1593738791276_41,kVyG-bJyP
tch_20200702-191603_49,5c7860b6-bcca-11ea-840b-0242ac110002,std_1593738790680_49,m2U6-kZ3H
tch_20200702-191603_46,6085d352-bcca-11ea-94cc-0242ac110002,std_1593738797474_46,6g38-n4rJ
tch_20200702-191603_50,604a2930-bcca-11ea-840b-0242ac110002,std_1593738797083_50,mUQ6-8Zby
tch_20200702-191603_45,61da3f09-bcca-11ea-840b-0242ac110002,std_1593738799725_45,o6VJ-zaYh
tch_20200702-191603_42,62f63650-bcca-11ea-840b-0242ac110002,std_1593738801563_42,K3mh-tRZ8
tch_20200702-191603_55,6152991b-bcca-11ea-94cc-0242ac110002,std_1593738798479_55,J4B6-jTg4
tch_20200702-191603_47,666a4f23-bcca-11ea-840b-0242ac110002,std_1593738807385_47,w8H9-jxsj
tch_20200702-191603_56,64f2544b-bcca-11ea-94cc-0242ac110002,std_1593738804486_56,7GKE-4H4x
tch_20200702-191603_51,646381e6-bcca-11ea-840b-0242ac110002,std_1593738803951_51,23dL-iG3F
tch_20200702-191603_53,689719a1-bcca-11ea-840b-0242ac110002,std_1593738810993_53,HTzD-9ga2
tch_20200702-191603_57,687d76df-bcca-11ea-94cc-0242ac110002,std_1593738810492_57,eEeb-hPCR
tch_20200702-191603_48,66837c38-bcca-11ea-94cc-0242ac110002,std_1593738807503_48,u4wa-nGsG
tch_20200702-191603_52,67249e1e-bcca-11ea-94cc-0242ac110002,std_1593738808562_52,Zd2e-XhKc
tch_20200702-191603_43,674ac3fb-bcca-11ea-840b-0242ac110002,std_1593738808826_43,DrRe-mz8m
tch_20200702-191603_44,699bb884-bcca-11ea-840b-0242ac110002,std_1593738812723_44,7E6k-TxCQ
tch_20200702-191603_58,6c0eb48f-bcca-11ea-94cc-0242ac110002,std_1593738816497_58,rKMh-WAUF
tch_20200702-191603_49,6dc145ea-bcca-11ea-840b-0242ac110002,std_1593738819691_49,m2U6-kZ3H
tch_20200702-191603_54,6d444e72-bcca-11ea-94cc-0242ac110002,std_1593738818845_54,2B29-8w4q
tch_20200702-191603_46,70d27dec-bcca-11ea-94cc-0242ac110002,std_1593738824838_46,6g38-n4rJ
tch_20200702-191603_59,6fa60b8a-bcca-11ea-840b-0242ac110002,std_1593738822505_59,yVc8-W398
tch_20200702-191603_45,71660b3a-bcca-11ea-840b-0242ac110002,std_1593738825801_45,o6VJ-zaYh
tch_20200702-191603_50,70fd37f7-bcca-11ea-94cc-0242ac110002,std_1593738825106_50,mUQ6-8Zby
tch_20200702-191603_55,72f50fa1-bcca-11ea-840b-0242ac110002,std_1593738828419_55,J4B6-jTg4
tch_20200702-191603_61,76ca3379-bcca-11ea-94cc-0242ac110002,std_1593738834517_61,6q9Z-9yD7
tch_20200702-191603_60,73330301-bcca-11ea-94cc-0242ac110002,std_1593738828510_60,QZmn-4W93
tch_20200702-191603_47,749308cd-bcca-11ea-840b-0242ac110002,std_1593738831099_47,w8H9-jxsj
tch_20200702-191603_53,75d991e9-bcca-11ea-94cc-0242ac110002,std_1593738833271_53,HTzD-9ga2
tch_20200702-191603_57,77558369-bcca-11ea-94cc-0242ac110002,std_1593738835734_57,eEeb-hPCR
tch_20200702-191603_51,756413ca-bcca-11ea-840b-0242ac110002,std_1593738832487_51,23dL-iG3F
tch_20200702-191603_48,7791a207-bcca-11ea-840b-0242ac110002,std_1593738836151_48,u4wa-nGsG
tch_20200702-191603_56,74b44bce-bcca-11ea-840b-0242ac110002,std_1593738831311_56,7GKE-4H4x
tch_20200702-191603_52,77a614d4-bcca-11ea-840b-0242ac110002,std_1593738836273_52,Zd2e-XhKc
tch_20200702-191603_62,7a636032-bcca-11ea-94cc-0242ac110002,std_1593738840523_62,ujea-Wz3N
tch_20200702-191603_54,7e5c1126-bcca-11ea-94cc-0242ac110002,std_1593738847522_54,2B29-8w4q
tch_20200702-191603_49,7d07f3a9-bcca-11ea-840b-0242ac110002,std_1593738845298_49,m2U6-kZ3H
tch_20200702-191603_58,7c1184f2-bcca-11ea-840b-0242ac110002,std_1593738843646_58,rKMh-WAUF
tch_20200702-191603_63,7dff24ed-bcca-11ea-840b-0242ac110002,std_1593738846531_63,njty-tG9T
tch_20200702-191603_64,818c42cb-bcca-11ea-840b-0242ac110002,std_1593738852538_64,p7v7-UEYh
tch_20200702-191603_59,801dbe7a-bcca-11ea-94cc-0242ac110002,std_1593738850413_59,yVc8-W398
tch_20200702-191603_55,82d23002-bcca-11ea-840b-0242ac110002,std_1593738855029_55,J4B6-jTg4
tch_20200702-191603_53,84eaaff6-bcca-11ea-840b-0242ac110002,std_1593738858547_53,HTzD-9ga2
tch_20200702-191603_50,8284d325-bcca-11ea-94cc-0242ac110002,std_1593738854517_50,mUQ6-8Zby
tch_20200702-191603_61,83d177b5-bcca-11ea-94cc-0242ac110002,std_1593738856671_61,6q9Z-9yD7
tch_20200702-191603_51,865b2fa3-bcca-11ea-94cc-0242ac110002,std_1593738860925_51,23dL-iG3F
tch_20200702-191603_65,851828ab-bcca-11ea-94cc-0242ac110002,std_1593738858545_65,cMZN-m842
tch_20200702-191603_57,852101df-bcca-11ea-840b-0242ac110002,std_1593738858917_57,eEeb-hPCR
tch_20200702-191603_60,84621eba-bcca-11ea-94cc-0242ac110002,std_1593738857647_60,QZmn-4W93
tch_20200702-191603_52,879e85c2-bcca-11ea-840b-0242ac110002,std_1593738863094_52,Zd2e-XhKc
tch_20200702-191603_56,86a9773c-bcca-11ea-94cc-0242ac110002,std_1593738861457_56,7GKE-4H4x
tch_20200702-191603_66,88b7e4f7-bcca-11ea-840b-0242ac110002,std_1593738864550_66,7t7J-s67c
tch_20200702-191603_62,897a981f-bcca-11ea-94cc-0242ac110002,std_1593738866180_62,ujea-Wz3N
tch_20200702-191603_54,8d0f7f56-bcca-11ea-840b-0242ac110002,std_1593738872198_54,2B29-8w4q
tch_20200702-191603_67,8c4466d3-bcca-11ea-94cc-0242ac110002,std_1593738870556_67,f6j8-72yz
tch_20200702-191603_63,8da8d8dc-bcca-11ea-94cc-0242ac110002,std_1593738873184_63,njty-tG9T
tch_20200702-191603_59,8f510a9a-bcca-11ea-840b-0242ac110002,std_1593738876005_59,yVc8-W398
tch_20200702-191603_68,8fda5eac-bcca-11ea-840b-0242ac110002,std_1593738876565_68,8Muh-tZ7e
