stdextuserid,classcode
std_1588934167078_328,Xn42-9yN3
std_1588934174627_331,dLcf-XdAm
std_1588934154493_323,7gtn-KUfy
std_1588934162044_326,D29v-ZJ2Y
std_1588934157010_324,EbvE-BurR
std_1588934179665_333,72Ap-FHab
std_1588934159526_325,GT48-6t2H
std_1588934182179_334,F32e-u4mU
std_1588934184700_335,ba23-vV76
std_1588934187214_336,Tj2G-ojZ4
std_1588934169594_329,b6Yq-7smp
std_1588934192242_338,mGgE-7p9K
std_1588934194758_339,bWDe-CNAE
std_1588934177146_332,8VTW-r6JL
std_1588934199790_341,kHuk-qLRC
std_1588934202306_342,4Vxy-2ubr
std_1588934197274_340,9gu6-ULzC
std_1588934204822_343,L7J3-8TKV
std_1588934207340_344,7xhU-u2dE
std_1588934209851_345,3ALu-i9DF
std_1588934212369_346,zD8z-Yz82
std_1588934214882_347,624R-Bty7
std_1588934217395_348,9Y3e-qEp7
std_1588934219914_349,wp4B-K7N2
std_1588934222430_350,F8vT-8u3E
std_1588934224946_351,bG9p-w32N
std_1588934227462_352,rZx9-wWUs
std_1588934230029_353,edxP-9xjM
std_1588934232544_354,9r76-974Q
std_1588934235061_355,ro8y-34Ux
std_1588934237573_356,qA9d-Y39c
std_1588934240090_357,9g4e-dUE7
std_1589171611001_896,6u6D-Tpfc
std_1589171613006_897,wmga-8X9J
std_1589171615011_898,v698-pW37
std_1589171617014_899,tCnt-p3VQ
std_1589171619020_900,7Nzs-Wke7
std_1589171621024_901,JQtH-2pTN
std_1589171623029_902,BnmB-DECL
std_1589171625032_903,yW4q-uFfy
std_1589171627038_904,sd46-9gPQ
std_1589171629043_905,v4ta-PhQH
std_1589171631047_906,A4Zx-WHv9
std_1589171633051_907,yty8-qF6V
std_1589171635056_908,zE2W-XEiv
std_1589171637061_909,86Vt-Qtus
std_1589171639065_910,pejx-dDvf
std_1589171641070_911,t9X3-VHwk
std_1589171643075_912,72u3-HUeJ
std_1589171645078_913,B7MT-9mg9
std_1589171647084_914,JPYJ-MhHZ
std_1589171649087_915,Kgx4-ejQc
std_1589171651093_916,meN8-3rpM
std_1589171653096_917,ht86-dEA3
std_1589171655102_918,ofUe-Zawe
std_1589171657106_919,FUf8-6Tbd
std_1589171659111_920,C4hH-9Duw
std_1589171663119_922,UJgW-BYP2
std_1589171665124_923,m82X-iB4q
std_1589171667129_924,4K8J-db47
std_1589171669134_925,WXdH-mwd8
std_1589171671139_926,b86Q-39qN
std_1589171673143_927,BHpG-R73R
std_1589171675162_928,93J2-r47c
std_1589171677175_929,28gU-6CbR
std_1589171679186_930,W74U-HJyF
std_1589171681195_931,bwXZ-3w3Q
std_1589171683206_932,B7t4-x9Yp
std_1589171685216_933,k7RF-Mqkz
std_1589171687227_934,4kTZ-jZr8
std_1589171689237_935,FBcr-Wtst
std_1589171691247_936,n3Ai-X24i
std_1589171695322_938,qskY-dv4K
std_1589171697331_939,ZNB4-P4E7
std_1589171699342_940,42zh-R8ic
std_1589171701352_941,h82k-eZuM
std_1589171705373_943,g4pT-g4rA
std_1589171707382_944,Pm3b-KCpG
std_1589171709393_945,4aFj-X2Bd
std_1589171711402_946,HfiU-FkU9
std_1589171713413_947,E4mo-Vxhs
std_1589171715424_948,Z628-G4Tx
std_1589171717433_949,bARd-gRsR
std_1589171719449_950,o7pC-ry6v
std_1589171721461_951,KpHe-3496
std_1589171723471_952,Z3VB-s3dk
std_1589171725480_953,2PTY-KTH7
std_1589171727490_954,X6X2-i3be
std_1589171729501_955,YtKw-YTdQ
std_1589171731512_956,NH4n-WXJP
std_1589171733522_957,Dd3u-W2Nh
std_1589171735534_958,Qq8W-t3Y2
std_1589171737545_959,UNTW-kAE3
std_1589171739556_960,3gsb-BNFf
std_1589171741566_961,ej9h-NR7A
std_1589171743577_962,PF9e-98Xs
std_1589171745589_963,JAas-k72F
std_1589171747599_964,bC2v-enR3
std_1589171749610_965,k67P-n4ey
std_1589171751620_966,8B7D-jUFJ
std_1589171753631_967,96np-QwhM
std_1589171755641_968,2e4u-4tK9
std_1589171757651_969,xidD-m6U3
std_1589171759662_970,uVfx-rQ24
std_1589171761674_971,Vbno-sfHv
std_1589171763689_972,qN7N-w364
std_1589171765705_973,Pcg9-MQjr
std_1589171767721_974,7Z3w-J9nC
std_1589171769736_975,e2xi-ZdJs
std_1589171771753_976,NAyG-h3iw
std_1589171773768_977,U32C-6onR
std_1589171775767_978,xB78-mV4m
std_1589171777797_979,j3NH-N972
std_1589171779809_980,mktK-b2ex
std_1589171781820_981,RH9T-d3xg
std_1589171783832_982,fL67-zaUv
std_1589171785841_983,NFGX-jXBy
std_1589171787851_984,yu2t-8CyA
std_1589171789860_985,k9DX-Ho62
std_1589171791870_986,68hu-F7tc
std_1589171793880_987,C86V-79K2
std_1589171795892_988,2p3i-y8yt
std_1589171797901_989,JYg9-3U9n
std_1589171799912_990,4xuz-k9An
std_1589171801922_991,P3hq-iG93
std_1589171805942_993,GP2Q-k4Wn
std_1589171807954_994,oW7j-C3j9
std_1589171811976_996,uL79-pJA4
std_1589171818007_999,q9M7-foYn
std_1589171820019_1000,FAy9-gv2B
std_1589171822030_1001,Z3Hx-pZTF
std_1589171824040_1002,mDG6-FM7R
std_1589171828058_1004,8AoR-x7ks
std_1589171830068_1005,nT8Q-YdBb
std_1589171832078_1006,8F3Z-iy2J
std_1589171834088_1007,aZFh-PtJM
std_1589171836098_1008,bk7R-mHTc
std_1589171838108_1009,KnZh-KZT8
std_1589171840118_1010,XLaB-7p4x
std_1589171842128_1011,3JeN-KjbC
std_1589171844139_1012,yEHg-A829
std_1589171846148_1013,AF2X-H6tu
std_1589171848163_1014,3vYh-ntA2
std_1589171850173_1015,J8D7-J9Gh
std_1589171852185_1016,siT2-Ws9E
std_1589171854195_1017,YHT7-4Beh
std_1589171856205_1018,fu2e-Vu6f
std_1589171858216_1019,Po7r-umnL
std_1589171860226_1020,uNP6-dp6m
std_1589171862235_1021,ytYu-8xbg
std_1589171864246_1022,Qc2N-kFGQ
std_1589171866256_1023,ZgsT-9vgU
std_1589171868266_1024,YzVH-L9u8
std_1589171870278_1025,tXAh-sbU3
std_1589171872288_1026,zuqk-7VZP
std_1589171874298_1027,JCbu-4DxJ
std_1589171876308_1028,TH8Q-TWe7
std_1589171878321_1029,CRtc-9eVq
std_1589171880334_1030,nYtX-9iR6
std_1589171882343_1031,Vy8V-43x8
std_1589171884354_1032,Q7mB-m7ur
std_1589171888374_1034,Es7i-mpUy
std_1589171890383_1035,8J94-Np4E
std_1589171892395_1036,Mo73-gzme
std_1589171894404_1037,8WH9-H8wE
std_1589171896416_1038,jwfK-87wX
std_1589171898427_1039,LbrL-JmwR
std_1589171900438_1040,6k48-62tX
std_1589171902450_1041,m468-spQL
std_1589171904518_1042,6sRB-fT7W
std_1589171906531_1043,oD76-JwtT
std_1589171908545_1044,e6Q8-H6B3
std_1589171910557_1045,v7F8-irhV
std_1589171912570_1046,AbGf-TA3E
std_1589171914579_1047,7hQd-4uFL
std_1589171916591_1048,6m62-6p9D
std_1589171918602_1049,u9xo-672g
std_1589171922625_1051,xqt8-3nv2
std_1589171926652_1053,Ah4d-46NY
std_1589171928658_1054,i6ye-hP63
std_1589171930671_1055,Tay9-Lg9D
std_1589171932676_1056,Tn2P-omq6
std_1589171934690_1057,r4ef-NiDY
std_1589171936689_1058,74bw-nxF4
std_1589171938706_1059,4G23-UV27
std_1589171940722_1060,msFb-zD7G
std_1589171942723_1061,Arnq-xN6q
std_1589171944755_1062,2qH3-6X67
std_1589171946768_1063,8EAK-Csnc
std_1589171948778_1064,kuHQ-kzMN
std_1589171950791_1065,q6i4-Q3t3
std_1589171952800_1066,XCYv-itw9
std_1589171954813_1067,hu4U-ETt6
std_1589171956824_1068,e4h3-LmUa
std_1589171958891_1069,7ezd-7B3o
std_1589171960902_1070,jVT8-AwEF
std_1589171962912_1071,C8GY-A4iU
std_1589171964922_1072,oz8s-UJV9
std_1589171966934_1073,YbzE-vjA7
std_1589171968942_1074,FHg3-kx7q
std_1589171970955_1075,8ot9-8coj
std_1589171972974_1076,xs6d-AHtE
std_1589171974977_1077,636s-F8U2
std_1589171976988_1078,i8PC-gRgU
std_1589171978998_1079,38fF-hCpM
std_1589171981009_1080,Z8Gh-8hbZ
std_1589171983020_1081,Z2ZR-wgGv
std_1589171985030_1082,GEJy-ZEZG
std_1589171987042_1083,2czp-eN4r
std_1589171989052_1084,Ct79-t7c4
std_1589171991064_1085,JZC4-g386
std_1589171993076_1086,dwkR-K43T
std_1589171995083_1087,xbLA-Yje4
std_1589171997095_1088,yUEb-923e
std_1589171999106_1089,4hqV-E8ox
std_1589172001116_1090,6sE7-9c64
std_1589172003128_1091,KrW7-2934
std_1589172005138_1092,Q6xh-fisr
std_1589172007148_1093,NxuU-iwrf
std_1589172009168_1094,XkT9-NZvT
std_1589172011177_1095,63t6-VXQ2
std_1589172013186_1096,6u6D-Tpfc
std_1589172015202_1097,wmga-8X9J
std_1589172017215_1098,v698-pW37
std_1589172019223_1099,tCnt-p3VQ
std_1589172021243_1100,7Nzs-Wke7
std_1589172025258_1102,BnmB-DECL
std_1589172027277_1103,yW4q-uFfy
std_1589172029281_1104,sd46-9gPQ
std_1589172031294_1105,v4ta-PhQH
std_1589172035314_1107,yty8-qF6V
std_1589172037326_1108,zE2W-XEiv
std_1589172039339_1109,86Vt-Qtus
std_1589172041351_1110,pejx-dDvf
std_1589172043361_1111,t9X3-VHwk
std_1589172045374_1112,72u3-HUeJ
std_1589172047382_1113,B7MT-9mg9
std_1589172049618_1114,JPYJ-MhHZ
std_1589172051623_1115,Kgx4-ejQc
std_1589172053629_1116,meN8-3rpM
std_1589172055636_1117,ht86-dEA3
std_1589172057637_1118,ofUe-Zawe
std_1589172059643_1119,FUf8-6Tbd
std_1589172063651_1121,PthW-ZP39
std_1589172065657_1122,UJgW-BYP2
std_1589172067661_1123,m82X-iB4q
std_1589172069666_1124,4K8J-db47
std_1589172071671_1125,WXdH-mwd8
std_1589172073674_1126,b86Q-39qN
std_1589172075675_1127,BHpG-R73R
std_1589172077674_1128,93J2-r47c
std_1589172079674_1129,28gU-6CbR
std_1589172081691_1130,W74U-HJyF
std_1589172085706_1132,B7t4-x9Yp
std_1589172087710_1133,k7RF-Mqkz
std_1589172089722_1134,4kTZ-jZr8
std_1589172091722_1135,FBcr-Wtst
std_1589172093722_1136,n3Ai-X24i
std_1589172095736_1137,C2s4-2wq6
std_1589172097751_1138,qskY-dv4K
std_1589172099736_1139,ZNB4-P4E7
std_1589172101752_1140,42zh-R8ic
std_1589172103762_1141,h82k-eZuM
std_1589172105753_1142,GqQ3-xgxv
std_1589172107769_1143,g4pT-g4rA
std_1589172109768_1144,Pm3b-KCpG
std_1589172111768_1145,4aFj-X2Bd
std_1589172113789_1146,HfiU-FkU9
std_1589172115796_1147,E4mo-Vxhs
std_1589172117800_1148,Z628-G4Tx
std_1589172119806_1149,bARd-gRsR
std_1589172121811_1150,o7pC-ry6v
std_1589172123816_1151,KpHe-3496
std_1589172125820_1152,Z3VB-s3dk
std_1589172127825_1153,2PTY-KTH7
std_1589172129829_1154,X6X2-i3be
std_1589172131833_1155,YtKw-YTdQ
std_1589172133839_1156,NH4n-WXJP
std_1589172135844_1157,Dd3u-W2Nh
std_1589172137849_1158,Qq8W-t3Y2
std_1589172139852_1159,UNTW-kAE3
std_1589172141858_1160,3gsb-BNFf
std_1589172143863_1161,ej9h-NR7A
std_1589172145867_1162,PF9e-98Xs
std_1589172147872_1163,JAas-k72F
std_1589172149877_1164,bC2v-enR3
std_1589172153886_1166,8B7D-jUFJ
std_1589172155891_1167,96np-QwhM
std_1589172157896_1168,2e4u-4tK9
std_1589172159902_1169,xidD-m6U3
std_1589172161908_1170,uVfx-rQ24
std_1589172163913_1171,Vbno-sfHv
std_1589172165917_1172,qN7N-w364
std_1589172167921_1173,Pcg9-MQjr
std_1589172169926_1174,7Z3w-J9nC
std_1589172173936_1176,NAyG-h3iw
std_1589172175941_1177,U32C-6onR
std_1589172179953_1179,j3NH-N972
std_1589172181959_1180,mktK-b2ex
std_1589172183965_1181,RH9T-d3xg
std_1589172185969_1182,fL67-zaUv
std_1589172187974_1183,NFGX-jXBy
std_1589172189979_1184,yu2t-8CyA
std_1589172191983_1185,k9DX-Ho62
std_1589172193989_1186,68hu-F7tc
std_1589172195994_1187,C86V-79K2
std_1589172197999_1188,2p3i-y8yt
std_1589172200004_1189,JYg9-3U9n
std_1589172202010_1190,4xuz-k9An
std_1589172204014_1191,P3hq-iG93
std_1589172208023_1193,GP2Q-k4Wn
std_1589172210028_1194,oW7j-C3j9
std_1589172212034_1195,Cv2t-7cXK
std_1589172214039_1196,uL79-pJA4
std_1589172216043_1197,fYCY-DeQJ
std_1589172218048_1198,rWzn-4Lzr
std_1589172220052_1199,q9M7-foYn
std_1589172222056_1200,FAy9-gv2B
std_1589172224063_1201,Z3Hx-pZTF
std_1589172226182_1202,mDG6-FM7R
std_1589172228188_1203,7Tc4-vxG2
std_1589172230194_1204,8AoR-x7ks
std_1589172232199_1205,nT8Q-YdBb
std_1589172234205_1206,8F3Z-iy2J
std_1589172236211_1207,aZFh-PtJM
std_1589172238215_1208,bk7R-mHTc
std_1589172240221_1209,KnZh-KZT8
std_1589172242227_1210,XLaB-7p4x
std_1589172244232_1211,3JeN-KjbC
std_1589172246237_1212,yEHg-A829
std_1589172248242_1213,AF2X-H6tu
std_1589172250247_1214,3vYh-ntA2
std_1589172252253_1215,J8D7-J9Gh
std_1589172254258_1216,siT2-Ws9E
std_1589172256263_1217,YHT7-4Beh
std_1589172258270_1218,fu2e-Vu6f
std_1589172260275_1219,Po7r-umnL
std_1589172262279_1220,uNP6-dp6m
std_1589172264284_1221,ytYu-8xbg
std_1589172266290_1222,Qc2N-kFGQ
std_1589172268295_1223,ZgsT-9vgU
std_1589172270301_1224,YzVH-L9u8
std_1589172272306_1225,tXAh-sbU3
std_1589172274313_1226,zuqk-7VZP
std_1589172276319_1227,JCbu-4DxJ
std_1589172278324_1228,TH8Q-TWe7
std_1589172280328_1229,CRtc-9eVq
std_1589172282336_1230,nYtX-9iR6
std_1589172284343_1231,Vy8V-43x8
std_1589172286352_1232,Q7mB-m7ur
std_1589172288357_1233,2t72-84Gb
std_1589172290363_1234,Es7i-mpUy
std_1589172292367_1235,8J94-Np4E
std_1589172294372_1236,Mo73-gzme
std_1589172296378_1237,8WH9-H8wE
std_1589172298384_1238,jwfK-87wX
std_1589172300389_1239,LbrL-JmwR
std_1589172302394_1240,6k48-62tX
std_1589172304398_1241,m468-spQL
std_1589172306404_1242,6sRB-fT7W
std_1589172308409_1243,oD76-JwtT
std_1589172310414_1244,e6Q8-H6B3
std_1589172312418_1245,v7F8-irhV
std_1589172314423_1246,AbGf-TA3E
std_1589172316444_1247,7hQd-4uFL
std_1589172318891_1248,6m62-6p9D
std_1589172320898_1249,u9xo-672g
std_1589172322904_1250,46mV-p4Fp
std_1589172326931_1252,8Q4o-zJ9U
std_1589172328940_1253,Ah4d-46NY
std_1589172330979_1254,i6ye-hP63
std_1589172333013_1255,Tay9-Lg9D
std_1589172335020_1256,Tn2P-omq6
std_1589172337021_1257,r4ef-NiDY
std_1589172339021_1258,74bw-nxF4
std_1589172341021_1259,4G23-UV27
std_1589172343027_1260,msFb-zD7G
std_1589172345034_1261,Arnq-xN6q
std_1589172347038_1262,2qH3-6X67
std_1589172349047_1263,8EAK-Csnc
std_1589172351053_1264,kuHQ-kzMN
std_1589172353057_1265,q6i4-Q3t3
std_1589172355061_1266,XCYv-itw9
std_1589172357066_1267,hu4U-ETt6
std_1589172359072_1268,e4h3-LmUa
std_1589172361076_1269,7ezd-7B3o
std_1589172363082_1270,jVT8-AwEF
std_1589172365085_1271,C8GY-A4iU
std_1589172369095_1273,YbzE-vjA7
std_1589172371099_1274,FHg3-kx7q
std_1589172373104_1275,8ot9-8coj
std_1589172375110_1276,xs6d-AHtE
std_1589172377115_1277,636s-F8U2
std_1589172379119_1278,i8PC-gRgU
std_1589172381123_1279,38fF-hCpM
std_1589172383129_1280,Z8Gh-8hbZ
std_1589172385133_1281,Z2ZR-wgGv
std_1589172387137_1282,GEJy-ZEZG
std_1589172389143_1283,2czp-eN4r
std_1589172391147_1284,Ct79-t7c4
std_1589172393151_1285,JZC4-g386
std_1589172395156_1286,dwkR-K43T
std_1589172397161_1287,xbLA-Yje4
std_1589172399166_1288,yUEb-923e
std_1589172401172_1289,4hqV-E8ox
std_1589172403177_1290,6sE7-9c64
std_1589172405182_1291,KrW7-2934
std_1589172409194_1293,NxuU-iwrf
std_1589172411202_1294,XkT9-NZvT
std_1589172413212_1295,63t6-VXQ2
std_1589172415219_1296,6u6D-Tpfc
std_1589172417224_1297,wmga-8X9J
std_1589172419231_1298,v698-pW37
std_1589172421251_1299,tCnt-p3VQ
std_1589172423255_1300,7Nzs-Wke7
std_1589172425259_1301,JQtH-2pTN
std_1589172427265_1302,BnmB-DECL
std_1589172429270_1303,yW4q-uFfy
std_1589172431274_1304,sd46-9gPQ
std_1589172435284_1306,A4Zx-WHv9
std_1589172437288_1307,yty8-qF6V
std_1589172441299_1309,86Vt-Qtus
std_1589172443303_1310,pejx-dDvf
std_1589172445307_1311,t9X3-VHwk
std_1589172447313_1312,72u3-HUeJ
std_1589172449319_1313,B7MT-9mg9
std_1589172451323_1314,JPYJ-MhHZ
std_1589172453328_1315,Kgx4-ejQc
std_1589172455333_1316,meN8-3rpM
std_1589172459345_1318,ofUe-Zawe
std_1589172461349_1319,FUf8-6Tbd
std_1589172463353_1320,C4hH-9Duw
std_1589172465357_1321,PthW-ZP39
std_1589172467363_1322,UJgW-BYP2
std_1589172469368_1323,m82X-iB4q
std_1589172471402_1324,4K8J-db47
std_1589172473410_1325,WXdH-mwd8
std_1589172475417_1326,b86Q-39qN
std_1589172477421_1327,BHpG-R73R
std_1589172479426_1328,93J2-r47c
std_1589172481432_1329,28gU-6CbR
std_1589172483437_1330,W74U-HJyF
std_1589172485444_1331,bwXZ-3w3Q
std_1589172487450_1332,B7t4-x9Yp
std_1589172489455_1333,k7RF-Mqkz
std_1589172491460_1334,4kTZ-jZr8
std_1589172493507_1335,FBcr-Wtst
std_1589172495512_1336,n3Ai-X24i
std_1589172497517_1337,C2s4-2wq6
std_1589172499522_1338,qskY-dv4K
std_1589172501527_1339,ZNB4-P4E7
std_1589172503536_1340,42zh-R8ic
std_1589172505567_1341,h82k-eZuM
std_1589172507567_1342,GqQ3-xgxv
std_1589172509566_1343,g4pT-g4rA
std_1589172511567_1344,Pm3b-KCpG
std_1589172513567_1345,4aFj-X2Bd
std_1589172515567_1346,HfiU-FkU9
std_1589172517573_1347,E4mo-Vxhs
std_1589172519578_1348,Z628-G4Tx
std_1589172521582_1349,bARd-gRsR
std_1589172523587_1350,o7pC-ry6v
std_1589172525597_1351,KpHe-3496
std_1589172527597_1352,Z3VB-s3dk
std_1589172529602_1353,2PTY-KTH7
std_1589172531607_1354,X6X2-i3be
std_1589172533613_1355,YtKw-YTdQ
std_1589172535618_1356,NH4n-WXJP
std_1589172537622_1357,Dd3u-W2Nh
std_1589172539640_1358,Qq8W-t3Y2
std_1589172541633_1359,UNTW-kAE3
std_1589172543644_1360,3gsb-BNFf
std_1589172545644_1361,ej9h-NR7A
std_1589172547648_1362,PF9e-98Xs
std_1589172549653_1363,JAas-k72F
std_1589172551659_1364,bC2v-enR3
std_1589172553663_1365,k67P-n4ey
std_1589172555668_1366,8B7D-jUFJ
std_1589172557675_1367,96np-QwhM
