studentextuserid,cc
std_1591113430447_362,he4C-4Wp4
std_1591113431704_363,LgW3-Rxaj
std_1591113432963_364,6J2D-cojL
std_1591113434220_365,2n64-fwzy
std_1591113435479_366,DFAy-9CsC
std_1591113436736_367,ka4n-CMcs
std_1591113437994_368,C62k-PgoJ
std_1591113439252_369,2oXt-2PWL
std_1591113440510_370,3Mq7-C2vU
std_1591113441768_371,Vhy8-MueQ
std_1591113443026_372,7qge-ibfT
std_1591113444285_373,Hs2i-F3TU
std_1591113445543_374,4nMN-cdrY
std_1591113446800_375,v78e-pqgW
std_1591113448058_376,c4gC-rEdk
std_1591113449317_377,PGM9-VDeL
std_1591113450574_378,3oek-h6Yp
std_1591113451832_379,mK9z-3H93
std_1591113453090_380,Zct3-8zQj
std_1591113454347_381,24Dd-A4iM
std_1591113455605_382,94U8-exJ3
std_1591113456863_383,2rTc-6W4j
std_1591113458121_384,its7-cH94
std_1591113459380_385,6bd4-capK
std_1591113460637_386,MDY4-8cbk
std_1591113461894_387,saHy-we62
std_1591113463153_388,3cb6-L9yc
std_1591113464411_389,An7G-T6r6
std_1591113465669_390,7LJX-kAyY
std_1591113466927_391,nAu6-mief
std_1591113468185_392,MKaA-PK24
std_1591113469441_393,d2UX-gft4
std_1591113470700_394,tBJD-2y8f
std_1591113471957_395,FfEe-Z8sZ
std_1591113473217_396,yK2s-gKJ8
std_1591113474476_397,xJQ8-v2H8
std_1591113475734_398,m2wa-Uu4p
std_1591113476991_399,pDZJ-i7oV
std_1591113478250_400,8xCE-DRHR
std_1591113479508_401,P7NV-ehDm
std_1591113480765_402,eE67-C6eL
std_1591113482023_403,srED-fXJT
std_1591113483281_404,j4LF-ht9e
std_1591113484539_405,263a-oV6d
std_1591113485797_406,xVEw-fMoj
std_1591113487055_407,3pB7-Pi4u
std_1591113488313_408,wKo2-Yij4
std_1591113489573_409,YJiN-Ptw4
std_1591113490829_410,zp3d-p2hw
std_1591113492087_411,UXdw-Jq6N
std_1591113493345_412,8294-kuf4
std_1591113494603_413,uf8u-B4pR
std_1591113495861_414,M9vd-z8gL
std_1591113497118_415,4384-QCcy
std_1591113498377_416,FQBq-3Tny
std_1591113499635_417,8wYa-4HuB
std_1591113500893_418,k37E-yJWs
std_1591113502150_419,CFTD-9ywT
std_1591113503407_420,89bQ-4MwR
std_1591113504665_421,W29G-fK7m
std_1591113505923_422,2Jnu-2sGz
std_1591113507181_423,8ogA-V924
std_1591113508440_424,v6wr-4vJa
std_1591113509697_425,8cYm-yN3c
std_1591113510954_426,72Zx-7Rta
std_1591113512212_427,L794-JkhQ
std_1591113513470_428,yxoB-84c2
std_1591113514727_429,2GBW-U69a
std_1591113515985_430,3yWi-P46F
std_1591113517243_431,ghEK-CvM7
std_1591113518501_432,vJ74-8rWT
std_1591113519760_433,3jbv-Dpt2
std_1591113521016_434,VzE3-6xoF
std_1591113522274_435,ApDG-E9FU
std_1591113523534_436,a6PK-zCry
std_1591113524792_437,2926-Z2mK
std_1591113526048_438,g64v-HXBc
std_1591113527306_439,ki9j-42oz
std_1591113528565_440,3aA4-sLAh
std_1591113529822_441,7yB3-47H4
std_1591113531080_442,No62-Jfqx
std_1591113532338_443,mhN6-Wbaj
std_1591113533597_444,psCM-2Nyw
std_1591113534855_445,yzcF-EsgX
std_1591113536111_446,mBUn-4A2w
std_1591113537369_447,76R6-owhL
std_1591113538627_448,LYMV-xvT4
std_1591113539886_449,98yj-Z67g
std_1591113541144_450,MVBb-fcyb
std_1591113542400_451,m426-oBFb
std_1591113543658_452,uxhU-bdGM
std_1591113544917_453,6tug-c2PU
std_1591113546175_454,ov8M-Bmue
std_1591113547434_455,ucQL-fNEW
std_1591113548692_456,6XfL-VFfw
std_1591113549950_457,k74v-8h2i
std_1591113551207_458,T84V-7Vat
std_1591113552465_459,xDy6-Pj9V
std_1591113553723_460,z9M3-PB9Y
std_1591113554981_461,BdEJ-QMsu
std_1591113556239_462,bp9W-464W
std_1591113557497_463,qv3u-V4uj
std_1591113558755_464,NJxm-2ueW
std_1591113560013_465,f23L-tNo6
std_1591113561270_466,3e6y-3HaF
std_1591113562528_467,s6QG-3Vc2
std_1591113563787_468,sqyx-6t7p
std_1591113565044_469,9ehB-jUFE
std_1591113566301_470,ve39-8gu4
std_1591113567560_471,vkza-ExJ2
std_1591113568818_472,Kb8r-8inR
std_1591113570077_473,tnBR-96sK
std_1591113571334_474,H7hg-ED2V
std_1591113572593_475,cV9J-Zm4t
std_1591113573849_476,eNQj-ahN2
std_1591113575107_477,c3C8-Wf8E
std_1591113576365_478,Y6Q7-28d3
std_1591113577623_479,w2ez-rDY2
std_1591113578880_480,YgaD-BpmH
std_1591113580139_481,BvK4-a28g
std_1591113581396_482,46b8-L3UG
std_1591113582656_483,c6pW-FYQ9
std_1591113583913_484,6ZYD-Wpjt
std_1591113585170_485,4Qey-CRxv
std_1591113586429_486,84zP-6G8M
std_1591113587686_487,4CT4-R7rZ
std_1591113588944_488,tT7y-2tN6
std_1591113590203_489,vwj2-E2Hv
std_1591113591459_490,AK6k-aNuA
std_1591113592718_491,438j-xL92
std_1591113593975_492,2CxP-HibE
std_1591113595233_493,9GY6-WwQ6
std_1591113596491_494,jB8X-dX6p
std_1591113597748_495,Loan-gsRX
std_1591113599006_496,r8Wy-8PJ3
std_1591113600264_497,9w3t-GTcX
std_1591113601523_498,jnq4-im8k
std_1591113602781_499,GdrG-DFp9
std_1591113604039_500,9Q6b-2B8K
std_1591113605296_501,2u24-hC4h
std_1591113606554_502,sE28-wHaV
std_1591113607812_503,AukK-wh3D
std_1591113609070_504,fNTG-7QtD
std_1591113610328_505,7hpi-Nfkz
std_1591113611586_506,r3mC-hL2M
std_1591113612844_507,hYN8-6xp6
std_1591113614101_508,FuN8-BaGb
std_1591113615359_509,23nu-Mm97
std_1591113616618_510,yqD8-Fn89
std_1591113617876_511,UiG4-LHn6
std_1591113619133_512,Wfe9-8vEh
std_1591113620390_513,JHhd-8XQW
std_1591113621648_514,qbjy-7jbQ
std_1591113622907_515,wfuT-93Di
std_1591113624163_516,G4Bz-nv7Q
std_1591113625421_517,8ox9-GtH2
std_1591113626679_518,nLa9-8DzB
std_1591113627938_519,M24N-394K
std_1591113629194_520,BwCr-RGeu
std_1591113630453_521,8274-W3Yo
std_1591113631712_522,h6NF-MvFE
std_1591113632969_523,XjhC-bXpC
std_1591113634228_524,k8Mv-8z4a
std_1591113635486_525,mgk8-M47U
std_1591113636742_526,qbet-LGhB
std_1591113638000_527,G2rY-4LX2
std_1591113639259_528,yG9F-2386
std_1591113640517_529,827z-Ecxi
std_1591113641774_530,E3Z7-jQAC
std_1591113643032_531,Nt6u-8bkC
std_1591113644291_532,49VR-F26Q
std_1591113645547_533,fj7M-Qyn6
std_1591113646805_534,7943-6EBv
std_1591113648063_535,g4uJ-H86W
std_1591113649321_536,Fe4Z-FjGL
std_1591113650580_537,ouwJ-YB72
std_1591113651836_538,duZ3-86o7
std_1591113653142_539,tp69-D8Xw
std_1591113654400_540,e24r-DTx7
std_1591113655657_541,yuEt-46Qt
std_1591113656916_542,noV7-LqDH
std_1591113658174_543,f7J2-p47w
std_1591113659433_544,6W3s-Y7EA
std_1591113660690_545,8r8C-p64H
std_1591113661948_546,EsyX-63hn
std_1591113663208_547,Q2Bs-Hpb9
std_1591113664466_548,KXx3-XZ7i
std_1591113665725_549,3JNQ-emdm
std_1591113666982_550,dxAc-3z8P
std_1591113668239_551,HNFm-3gF8
std_1591113669498_552,bwLo-P8fY
std_1591113670755_553,762L-Nvei
std_1591113672014_554,763R-n6sc
std_1591113673272_555,jUkt-6k8b
std_1591113674529_556,ADfX-WjJ2
std_1591113675787_557,y2xR-4aJB
std_1591113677045_558,v2t2-CnQ8
std_1591113678303_559,Rrza-XFVo
std_1591113679561_560,7cw4-A4J2
std_1591113680819_561,iLrc-q7gs
std_1591113682076_562,ZmvC-WjX4
std_1591113683334_563,sANH-Vj93
std_1591113684593_564,D7o8-NRD2
std_1591113685850_565,9bEj-qynM
std_1591113687109_566,84G8-Q3Hm
std_1591113688365_567,aJAt-x3tU
std_1591113689623_568,48P9-yPzy
std_1591113690881_569,ei38-6G8N
std_1591113692139_570,uE6d-6md8
std_1591113693397_571,r6nh-cNRC
std_1591113694654_572,UFnB-8YzV
std_1591113695912_573,DhDC-wM2d
std_1591113697171_574,i7fb-jDK4
std_1591113698428_575,AM6W-86FH
std_1591113699685_576,on7T-LCzp
std_1591113700943_577,kg8b-7AHD
std_1591113702201_578,FUQE-4q8L
std_1591113703460_579,nXr7-eMyr
std_1591113704717_580,y6KD-ECyX
std_1591113705976_581,M8a9-Miwp
std_1591113707232_582,3phr-DoKZ
std_1591113708491_583,27Ld-jzw8
std_1591113709748_584,X4ns-wr9N
std_1591113711006_585,47k7-B2Hh
std_1591113712264_586,Ew3r-HaF8
std_1591113713523_587,JH84-BzTo
std_1591113714780_588,PNRH-984y
std_1591113716037_589,fNFx-9R9t
std_1591113717295_590,39hH-EAE9
std_1591113718553_591,Pwd9-8gP2
std_1591113719812_592,oZdv-9FHX
std_1591113721069_593,E79U-248x
std_1591113722327_594,zoht-Y4AQ
std_1591113723586_595,f489-F4w9
std_1591113724843_596,74zZ-83xo
std_1591113726101_597,7Qzx-7ATL
std_1591113727359_598,9BRg-HkMv
std_1591113728617_599,AXN6-7Vpn
std_1591113729875_600,LmQF-tqiK
std_1591113731132_601,JX8d-qVu7
std_1591113732390_602,Y89R-Azme
std_1591113733649_603,Je83-QjDZ
std_1591113734906_604,J976-ye67
std_1591113736164_605,2eP3-7obK
std_1591113737422_606,ZrEn-M4w9
std_1591113738680_607,Xuei-p97Q
std_1591113739939_608,ERut-2742
std_1591113741197_609,4v3B-iW6c
std_1591113742454_610,HLQY-i2GH
std_1591113743712_611,xtQP-e6cT
std_1591113744971_612,8Ubx-7ks7
std_1591113746227_613,tvmf-jT2e
std_1591113747485_614,PxXv-TEGm
std_1591113748744_615,zYwY-8G4m
std_1591113750002_616,yF2X-vFgm
std_1591113751259_617,JbEr-3Dsn
std_1591113752517_618,WYKm-69Ce
std_1591113753776_619,92dv-L9na
std_1591113755033_620,yq3q-9q6c
std_1591113756291_621,fv3P-Refa
std_1591113757550_622,8QXw-7fDW
std_1591113758806_623,F4rN-WFZg
std_1591113760065_624,VzvD-84N9
std_1591113761324_625,aXPj-8Bih
std_1591113762581_626,F8ks-p4Rs
std_1591113763840_627,ZCPk-HRA4
std_1591113765098_628,u6md-AYsz
std_1591113766356_629,W9QD-cUw2
std_1591113767614_630,A727-R7HT
std_1591113768873_631,4LGj-J246
std_1591113770130_632,eRg2-67fJ
std_1591113771387_633,4z37-BZJA
std_1591113772645_634,uxmV-9pH7
std_1591113773904_635,JLrj-7U4A
std_1591113775161_636,u7Xp-Je8N
std_1591113776419_637,QUWV-kbaq
std_1591113777676_638,C9Wg-6aeB
std_1591113778934_639,apwf-26N8
std_1591113780192_640,a28j-r8cP
std_1591113781450_641,ugFj-Vm62
std_1591113782708_642,6hVK-F8PN
std_1591113783965_643,P8Eo-4FiK
std_1591113785223_644,tZCz-9UQq
std_1591113786481_645,ia92-da8C
std_1591113787739_646,Xc7d-34r6
std_1591113788998_647,sgr7-UD38
std_1591113790254_648,3KWD-nBki
std_1591113791513_649,qufg-WgJu
std_1591113792770_650,kut7-uHDc
std_1591113794029_651,9G6C-toeX
std_1591113795287_652,aPMd-mLJ8
std_1591113796543_653,7fpy-A4wm
std_1591113797802_654,7Wd6-2tv8
std_1591113799059_655,VCX7-2Yhe
std_1591113800317_656,rFqW-Ra93
std_1591113801574_657,72QB-QE7R
std_1591113802832_658,VMGF-z3Bv
std_1591113804090_659,42No-boR6
std_1591113805348_660,L69L-bsd3
std_1591113806605_661,zaeV-ashd
std_1591113807864_662,wujE-d7iK
std_1591113809122_663,uKxJ-dvC8
std_1591113810379_664,bwbF-x7tX
std_1591113811637_665,4VQi-8x7A
std_1591113812895_666,g8Wn-fX82
std_1591113814153_667,32xn-k8bw
std_1591113815410_668,Lfs9-B3ug
std_1591113816668_669,2hBk-M9PQ
std_1591113817926_670,t3UJ-PrAC
std_1591113819184_671,uGZb-xGx9
std_1591113820443_672,jMCX-MH9u
std_1591113821701_673,4Ctu-46Ug
std_1591113822958_674,PwVu-x3Lp
std_1591113824215_675,hH3h-DGJd
std_1591113825473_676,qV3j-Tabc
std_1591113826731_677,9a4V-mtnp
std_1591113827990_678,KTWQ-Uv34
std_1591113829247_679,oMLi-UV8h
std_1591113830505_680,4kov-8pAM
std_1591113831763_681,L6ya-nznB
std_1591113833021_682,FUPe-z9Lb
std_1591113834279_683,7e8b-i4HL
std_1591113835537_684,6T8q-w97t
std_1591113836795_685,wdax-vEDR
std_1591113838053_686,dJ8n-b2AX
std_1591113839311_687,MUyP-zGg4
std_1591113840570_688,g268-j79s
std_1591113841827_689,od2U-d28j
std_1591113843086_690,2uFt-4xrD
std_1591113844343_691,bMUE-nkDA
std_1591113845600_692,84UJ-4ZC6
std_1591113846858_693,ybDm-cpZh
std_1591113848116_694,37VZ-jocR
std_1591113849375_695,MY2e-Cb26
std_1591113850632_696,xJ4T-pjwE
std_1591113851890_697,TiW6-9m9e
std_1591113853147_698,q6As-AtdE
std_1591113854405_699,f749-g8v4
std_1591113855663_700,sz82-i97J
std_1591113856921_701,DvCB-q4bY
std_1591113858178_702,W42Q-3Z6j
std_1591113859436_703,wW9M-94UR
std_1591113860698_704,74k9-2xV3
std_1591113861955_705,4Z72-9saB
std_1591113863213_706,H4k8-2YKb
std_1591113864471_707,LmRW-Q79T
std_1591113865729_708,Uoie-uV3h
std_1591113866987_709,t3o2-7rPk
std_1591113868246_710,GqZi-tKn4
std_1591113869504_711,a42T-8Ja3
std_1591113870760_712,bCTM-nKpG
std_1591113872018_713,V36u-aHg2
std_1591113873277_714,f684-RMFd
std_1591113874534_715,3stn-6fxB
std_1591113875792_716,tH9F-yV7A
std_1591113877049_717,3r27-GCRA
std_1591113878363_718,VTPx-TfWT
std_1591113879622_719,NQ97-cu2q
std_1591113880880_720,EXzn-Vej7
std_1591113882137_721,p6w8-TpoT
std_1591113883396_722,Rr34-DEC6
std_1591113884655_723,86dM-BjtV
std_1591113885914_724,rtL7-fpa9
std_1591113887171_725,E938-L4K9
std_1591113888430_726,wh4k-T2bH
std_1591113889687_727,8o6A-n2YN
std_1591113890946_728,9adT-n7e8
std_1591113892204_729,Udpk-9zP8
std_1591113893463_730,FkK4-XG3r
std_1591113894721_731,c7a3-4P8C
std_1591113895980_732,q7NB-CX2o
std_1591113897237_733,9Nj7-KvLX
std_1591113898495_734,j4Qi-w8i2
std_1591113899754_735,Hb4d-Yx9C
std_1591113901013_736,Xnry-4iG4
std_1591113902270_737,fYBp-RVjX
std_1591113903529_738,34xd-32J7
std_1591113904788_739,srQw-h6CU
std_1591113906046_740,c4Ls-onmc
std_1591113907304_741,cTg2-DT3V
std_1591113908563_742,7f64-yinr
std_1591113909822_743,QAH4-iv7E
std_1591113911081_744,koH4-gAkG
std_1591113912338_745,td9M-23kC
std_1591113913596_746,46hr-zKmg
std_1591113914856_747,GJFE-uGfb
std_1591113916114_748,dwLn-3hCY
std_1591113917371_749,AcK4-eTDb
std_1591113918629_750,b8iy-oFYb
std_1591113919888_751,KJvA-pB6R
std_1591113921146_752,u8DH-MJ9G
std_1591113922405_753,J4CZ-iGQk
std_1591113923664_754,EJxD-762o
std_1591113924921_755,6jV6-uVg4
std_1591113926179_756,sLe8-RQte
std_1591113927438_757,VN7D-TMCF
std_1591113928696_758,6K4A-BAia
std_1591113929955_759,6Jm6-qi68
std_1591113931215_760,mLen-v69M
std_1591113932472_761,mTc2-36qy
std_1591113933731_762,he4C-4Wp4
std_1591113934990_763,LgW3-Rxaj
std_1591113936248_764,6J2D-cojL
std_1591113937507_765,2n64-fwzy
std_1591113938767_766,DFAy-9CsC
