teacherextuserid,classtitle,classcode,category,pe_category,category_type
tch_L2_20240131-144641_23,context_class_L2_20240131-144641_23,oL7g-V6EY,L2,l2pe,L
tch_L7_20240119-093415_17,class_L7_20240119-093415_17,k9Z6-9gVk,L7,l7pe,L
tch_L8_20240118-160029_42,class_L8_20240118-160029_42,9RoR-aY4v,L8,l8pe,L
tch_L9_20240222-095725_164,class_L9_20240222-095725_164,xrDF-8t37,L9,l9pe,L
tch_L8_20240222-095725_151,class_L8_20240222-095725_151,4A23-7GWH,L8,l8pe,L
tch_L8_20240129-115448_51,class_L8_20240129-115448_51,3EPU-VvYm,L8,l8pe,L
tch_M3_20231229-173128_62,class_M3_20231229-173128_62,6k9A-csY7,M3,m3pe,M
tch_L9_20240222-134031_67,class_L9_20240222-134031_67,FH98-6aKd,L9,l9pe,L
tch_L8_20240129-093151_51,class_L8_20240129-093151_51,McED-26z7,L8,l8pe,L
tch_M5_20240222-134031_84,class_M5_20240222-134031_84,8FCN-42D8,M5,m5pe,M
tch_H6_20240129-082111_100,class_H6_20240129-082111_100,Fkwj-N7e9,H6,h6pe,H
tch_L7_20240119-093415_70,class_L7_20240119-093415_70,waZG-V4Dw,L7,l7pe,L
tch_L2_20240222-134031_128,class_L2_20240222-134031_128,6N2Z-gCpg,L2,l2pe,L
tch_L7_20240119-093415_3,class_L7_20240119-093415_3,BL64-jn9z,L7,l7pe,L
tch_L3_20240129-105848_32,class_L3_20240129-105848_32,2WuU-BJCj,L3,l3pe,L
tch_M3_20240222-134031_177,class_M3_20240222-134031_177,4ka6-9JLo,M3,m3pe,M
tch_L7_20240129-115448_35,class_L7_20240129-115448_35,LpDN-Y7y3,L7,l7pe,L
tch_L9_20240129-115448_62,class_L9_20240129-115448_62,J4Dg-bjtJ,L9,l9pe,L
tch_L9_20240222-095725_168,class_L9_20240222-095725_168,ZReQ-jc6W,L9,l9pe,L
tch_M3_20240129-133344_76,class_M3_20240129-133344_76,cGsp-84MR,M3,m3pe,M
tch_H2_20240129-082111_91,class_H2_20240129-082111_91,876u-Cy6H,H2,h2pe,H
tch_L1_20240129-142710_1,class_L1_20240129-142710_1,TvaN-Z6jt,L1,l1pe,L
tch_L1_20240222-124507_14,class_L1_20240222-124507_14,nDXU-bTBN,L1,l1pe,L
tch_L9_20240222-124507_160,class_L9_20240222-124507_160,Ate6-9sgr,L9,l9pe,L
tch_L2_20240222-095725_117,class_L2_20240222-095725_117,H9Eh-j2AH,L2,l2pe,L
tch_L8_20240129-093151_49,class_L8_20240129-093151_49,N8WE-wd8G,L8,l8pe,L
tch_M5_20240111-185155_17,class_M5_20240111-185155_17,z24Z-gNEp,M5,m5pe,M
tch_M1_20231229-183345_55,class_M1_20231229-183345_55,Yps7-2Nsb,M1,m1pe,M
tch_M3_20240222-124507_77,class_M3_20240222-124507_77,fFq3-7ve3,M3,m3pe,M
tch_L3_20240129-124448_30,class_L3_20240129-124448_30,na2k-mX98,L3,l3pe,L
tch_L8_20240118-160029_2,class_L8_20240118-160029_2,D8Ak-ywhL,L8,l8pe,L
tch_L2_20231229-183345_19,class_L2_20231229-183345_19,Zk6H-jsg8,L2,l2pe,L
tch_L7_20240222-134031_35,class_L7_20240222-134031_35,J6Ji-296T,L7,l7pe,L
tch_L1_20240304-175551_105,class_L1_20240304-175551_105,szBz-ZVm8,L1,l1pe,L
tch_M4_20240222-124507_80,class_M4_20240222-124507_80,72B9-4rT9,M4,m4pe,M
tch_L2_20240129-142710_20,class_L2_20240129-142710_20,Xv7T-2c8i,L2,l2pe,L
tch_L7_20240222-124507_139,class_L7_20240222-124507_139,fwru-gZ7j,L7,l7pe,L
tch_L9_20240129-105848_61,class_L9_20240129-105848_61,Y7t2-PRMX,L9,l9pe,L
tch_L8_20240118-160029_35,class_L8_20240118-160029_35,tLhT-9PF6,L8,l8pe,L
tch_L7_20240129-082111_35,class_L7_20240129-082111_35,P84v-CnQR,L7,l7pe,L
tch_H5_20240222-134031_199,class_H5_20240222-134031_199,xVLW-PcL9,H5,h5pe,H
tch_L3_20240129-124448_32,class_L3_20240129-124448_32,oyds-F4y3,L3,l3pe,L
tch_L7_20240222-124507_145,class_L7_20240222-124507_145,Rjnu-7q6F,L7,l7pe,L
tch_M3_20240129-142710_74,class_M3_20240129-142710_74,KAHs-dTsz,M3,m3pe,M
tch_M1_20240222-095725_69,class_M1_20240222-095725_69,Av43-d2AP,M1,m1pe,M
tch_M5_20240129-105848_84,class_M5_20240129-105848_84,V8BN-Cg7B,M5,m5pe,M
tch_L3_20231229-183345_26,class_L3_20231229-183345_26,Fiyh-E7yx,L3,l3pe,L
tch_L1_20240129-124448_13,class_L1_20240129-124448_13,ZhvZ-XxTk,L1,l1pe,L
tch_L1_20231229-151113_6,class_L1_20231229-151113_6,372s-9PT8,L1,l1pe,L
tch_L8_20240129-082111_54,class_L8_20240129-082111_54,sTWw-64K4,L8,l8pe,L
tch_L2_20240222-124507_22,class_L2_20240222-124507_22,T63H-fosw,L2,l2pe,L
tch_M5_20240222-095725_83,class_M5_20240222-095725_83,bdTE-rz97,M5,m5pe,M
tch_L3_20240129-093151_33,class_L3_20240129-093151_33,hamE-9Hkg,L3,l3pe,L
tch_L1_20240129-082111_6,class_L1_20240129-082111_6,Jt76-9Ux4,L1,l1pe,L
tch_M2_20240129-142710_71,class_M2_20240129-142710_71,98vi-LJyJ,M2,m2pe,M
tch_H3_20240222-095725_195,class_H3_20240222-095725_195,hwKc-wgXq,H3,h3pe,H
tch_M1_20240222-124507_70,class_M1_20240222-124507_70,z49f-scG2,M1,m1pe,M
tch_L8_20240304-175551_58,class_L8_20240304-175551_58,GRsr-KAbE,L8,l8pe,L
tch_M2_20240129-115448_72,class_M2_20240129-115448_72,Xbn3-A8P9,M2,m2pe,M
tch_M3_20240129-082111_75,class_M3_20240129-082111_75,kp96-98kZ,M3,m3pe,M
tch_L1_20240129-082111_11,class_L1_20240129-082111_11,dnaj-J7yL,L1,l1pe,L
tch_L1_20240129-115448_11,class_L1_20240129-115448_11,9K8z-bdGx,L1,l1pe,L
tch_L3_20240207-120256_30,class_L3_20240207-120256_30,cW74-dAB2,L3,l3pe,L
tch_L1_20240222-124507_7,class_L1_20240222-124507_7,Y63a-TY9W,L1,l1pe,L
tch_M3_20240102-154640_62,class_M3_20240102-154640_62,2xH6-uQ73,M3,m3pe,M
tch_L3_20231229-173128_23,class_L3_20231229-173128_23,N7b4-ukW2,L3,l3pe,L
tch_H1_20240129-142710_86,class_H1_20240129-142710_86,EpvM-s9U7,H1,h1pe,H
tch_L1_20240129-093151_6,class_L1_20240129-093151_6,tqH9-2FK3,L1,l1pe,L
tch_L2_20240129-133344_24,class_L2_20240129-133344_24,bqsE-Lhu7,L2,l2pe,L
tch_L2_20240129-093151_22,class_L2_20240129-093151_22,dbPZ-8hBk,L2,l2pe,L
tch_L3_20240131-144641_29,context_class_L3_20240131-144641_29,3LJb-DCRN,L3,l3pe,L
tch_L9_20240304-175551_62,class_L9_20240304-175551_62,3w9w-672o,L9,l9pe,L
tch_M5_20240222-124507_182,class_M5_20240222-124507_182,R7Gp-nPh8,M5,m5pe,M
tch_L9_20240129-105848_60,class_L9_20240129-105848_60,xWD6-RPV6,L9,l9pe,L
tch_L1_20240222-134031_7,class_L1_20240222-134031_7,sdgM-eKYG,L1,l1pe,L
tch_H1_20240131-144641_89,context_class_H1_20240131-144641_89,k4GP-Aoq2,H1,h1pe,H
tch_H1_20231229-163209_72,class_H1_20231229-163209_72,hdEv-qcm2,H1,h1pe,H
tch_L7_20240222-124507_146,class_L7_20240222-124507_146,i8Vy-XicW,L7,l7pe,L
tch_L1_20240129-142710_2,class_L1_20240129-142710_2,jG42-iWk9,L1,l1pe,L
tch_L1_20240222-095725_12,class_L1_20240222-095725_12,TfQo-3n8R,L1,l1pe,L
tch_M1_20240129-105848_70,class_M1_20240129-105848_70,Ebsm-JnWu,M1,m1pe,M
tch_L1_20240129-133344_12,class_L1_20240129-133344_12,Vt7b-KgFp,L1,l1pe,L
tch_L1_20240207-120256_15,class_L1_20240207-120256_15,V6ms-btgH,L1,l1pe,L
tch_L9_20240304-175551_164,class_L9_20240304-175551_164,Yagk-eG94,L9,l9pe,L
tch_L2_20240129-105848_16,class_L2_20240129-105848_16,z2VG-s2qe,L2,l2pe,L
tch_M1_20240304-175551_69,class_M1_20240304-175551_69,642L-sz78,M1,m1pe,M
tch_L7_20240119-093415_7,class_L7_20240119-093415_7,K6PR-UFTq,L7,l7pe,L
tch_L7_20240119-093415_71,class_L7_20240119-093415_71,qi76-9246,L7,l7pe,L
tch_L9_20240304-175551_166,class_L9_20240304-175551_166,qiTW-a4jZ,L9,l9pe,L
tch_L1_20240222-124507_8,class_L1_20240222-124507_8,jor9-zeHL,L1,l1pe,L
tch_L8_20240118-160029_49,class_L8_20240118-160029_49,49KF-7kRu,L8,l8pe,L
tch_L8_20240129-082111_50,class_L8_20240129-082111_50,kr3N-Vq7c,L8,l8pe,L
tch_M5_20240129-082111_82,class_M5_20240129-082111_82,d3B8-Kg2F,M5,m5pe,M
tch_M5_20240111-185155_1,class_M5_20240111-185155_1,28n9-2cX4,M5,m5pe,M
tch_M5_20240207-120256_81,class_M5_20240207-120256_81,AdV9-W728,M5,m5pe,M
tch_L8_20240304-175551_150,class_L8_20240304-175551_150,HjpE-3G49,L8,l8pe,L
tch_M1_20240222-134031_69,class_M1_20240222-134031_69,h6U2-VMHx,M1,m1pe,M
tch_L8_20240222-134031_54,class_L8_20240222-134031_54,gyDc-eQC7,L8,l8pe,L
tch_L7_20240207-120256_35,class_L7_20240207-120256_35,4Vv7-D8dv,L7,l7pe,L
tch_H5_20240129-082111_98,class_H5_20240129-082111_98,cqAe-8XdU,H5,h5pe,H
tch_L7_20240129-124448_37,class_L7_20240129-124448_37,Bn2D-Fc8Y,L7,l7pe,L
tch_L7_20240207-120256_44,class_L7_20240207-120256_44,4EFd-j3nH,L7,l7pe,L
tch_L1_20240102-192514_3,class_L1_20240102-192514_3,ouam-jf4Q,L1,l1pe,L
tch_M5_20240222-124507_181,class_M5_20240222-124507_181,HDzX-H2Lt,M5,m5pe,M
tch_L3_20240222-134031_30,class_L3_20240222-134031_30,hcw3-nfdy,L3,l3pe,L
tch_L9_20240117-181958_1,class_L9_20240117-181958_1,79Fd-Nv6U,L9,l9pe,L
tch_L7_20240304-175551_147,class_L7_20240304-175551_147,eDKH-k24g,L7,l7pe,L
tch_L1_20231229-183345_8,class_L1_20231229-183345_8,X6Eu-jLBj,L1,l1pe,L
tch_L8_20240222-124507_51,class_L8_20240222-124507_51,q4iU-z9T7,L8,l8pe,L
tch_L1_20240129-133344_13,class_L1_20240129-133344_13,qbC8-YbrY,L1,l1pe,L
tch_L9_20240129-105848_66,class_L9_20240129-105848_66,ztgb-Pw98,L9,l9pe,L
tch_L8_20240222-134031_58,class_L8_20240222-134031_58,4JQL-RCGa,L8,l8pe,L
tch_M2_20240222-124507_172,class_M2_20240222-124507_172,QWtf-wg8p,M2,m2pe,M
tch_L7_20240129-124448_47,class_L7_20240129-124448_47,Lu7w-XGhr,L7,l7pe,L
tch_M2_20240207-120256_72,class_M2_20240207-120256_72,dtRj-9Ryz,M2,m2pe,M
tch_H6_20240122-185320_1,class_H6_20240122-185320_1,64ja-739P,H6,h6pe,H
tch_L9_20240222-124507_163,class_L9_20240222-124507_163,9epE-fP83,L9,l9pe,L
tch_L8_20240118-160029_4,class_L8_20240118-160029_4,ird6-k2Ra,L8,l8pe,L
tch_L7_20240207-120256_48,class_L7_20240207-120256_48,F9ri-poK6,L7,l7pe,L
tch_H3_20240222-134031_196,class_H3_20240222-134031_196,D7Ls-bY2X,H3,h3pe,H
tch_H2_20240131-144641_90,context_class_H2_20240131-144641_90,t4o4-2KU6,H2,h2pe,H
tch_L2_20240131-144641_16,context_class_L2_20240131-144641_16,pAR8-cpTP,L2,l2pe,L
tch_L8_20240129-124448_58,class_L8_20240129-124448_58,3Yq3-Bp82,L8,l8pe,L
tch_L8_20240129-082111_56,class_L8_20240129-082111_56,nF48-qPXA,L8,l8pe,L
tch_L8_20240129-093151_50,class_L8_20240129-093151_50,46pV-i787,L8,l8pe,L
tch_L8_20240222-134031_153,class_L8_20240222-134031_153,kHJ9-s74x,L8,l8pe,L
tch_L3_20240207-120256_32,class_L3_20240207-120256_32,YPwA-NrFh,L3,l3pe,L
tch_L1_20240222-095725_105,class_L1_20240222-095725_105,932W-wEBr,L1,l1pe,L
tch_L1_20240129-133344_6,class_L1_20240129-133344_6,b6yX-892M,L1,l1pe,L
tch_L2_20240222-134031_18,class_L2_20240222-134031_18,KXGa-7vD3,L2,l2pe,L
tch_L3_20240129-093151_29,class_L3_20240129-093151_29,HPaA-j9TL,L3,l3pe,L
tch_L2_20240102-154640_11,class_L2_20240102-154640_11,UMtH-s6mW,L2,l2pe,L
tch_L1_20240222-134031_113,class_L1_20240222-134031_113,ia7M-7z6f,L1,l1pe,L
tch_M4_20240129-133344_79,class_M4_20240129-133344_79,mDFM-p6U3,M4,m4pe,M
tch_M4_20231229-163209_67,class_M4_20231229-163209_67,PZL8-j2JZ,M4,m4pe,M
tch_M2_20231229-173128_58,class_M2_20231229-173128_58,nJpA-H3JN,M2,m2pe,M
tch_M3_20240129-142710_77,class_M3_20240129-142710_77,Nc9L-uPtm,M3,m3pe,M
tch_L8_20240131-144641_58,context_class_L8_20240131-144641_58,6Giv-H8Hf,L8,l8pe,L
tch_L7_20240222-134031_38,class_L7_20240222-134031_38,DQTy-B3DY,L7,l7pe,L
tch_L1_20240207-120256_7,class_L1_20240207-120256_7,MUs7-GsfF,L1,l1pe,L
tch_L7_20240222-124507_135,class_L7_20240222-124507_135,KqYP-u7Gw,L7,l7pe,L
tch_L1_20231229-173128_2,class_L1_20231229-173128_2,Zxhi-CQ94,L1,l1pe,L
tch_L3_20231229-151113_28,class_L3_20231229-151113_28,hmJx-9dJX,L3,l3pe,L
tch_L7_20240129-105848_36,class_L7_20240129-105848_36,2Caf-78cV,L7,l7pe,L
tch_L3_20240222-095725_32,class_L3_20240222-095725_32,iB4N-ZahF,L3,l3pe,L
tch_L1_20231229-183345_10,class_L1_20231229-183345_10,yz3h-38x9,L1,l1pe,L
tch_M3_20240131-144641_76,context_class_M3_20240131-144641_76,sD4U-Z92U,M3,m3pe,M
tch_M5_20240222-095725_184,class_M5_20240222-095725_184,Nfz7-87b8,M5,m5pe,M
tch_M1_20231229-163209_53,class_M1_20231229-163209_53,sN89-gxQ6,M1,m1pe,M
tch_L7_20240129-124448_35,class_L7_20240129-124448_35,y4LH-QVv6,L7,l7pe,L
tch_M4_20240131-144641_80,context_class_M4_20240131-144641_80,kAQw-9c2K,M4,m4pe,M
tch_L9_20240129-082111_62,class_L9_20240129-082111_62,Bg79-RXo6,L9,l9pe,L
tch_L1_20240129-142710_5,class_L1_20240129-142710_5,rG2Y-8FHa,L1,l1pe,L
tch_M2_20240222-095725_72,class_M2_20240222-095725_72,be9G-2LR8,M2,m2pe,M
tch_L8_20240304-175551_154,class_L8_20240304-175551_154,xceb-tHu4,L8,l8pe,L
tch_L2_20240129-142710_23,class_L2_20240129-142710_23,FL6L-p7Y8,L2,l2pe,L
tch_L7_20240129-115448_45,class_L7_20240129-115448_45,fQPa-H8GB,L7,l7pe,L
tch_H5_20240222-095725_99,class_H5_20240222-095725_99,4UNV-P32w,H5,h5pe,H
tch_L9_20240304-175551_159,class_L9_20240304-175551_159,shZo-r392,L9,l9pe,L
tch_L7_20240304-175551_45,class_L7_20240304-175551_45,iU9A-jf98,L7,l7pe,L
tch_L9_20240117-181958_8,class_L9_20240117-181958_8,3uoM-i9jk,L9,l9pe,L
tch_L7_20240119-093415_63,class_L7_20240119-093415_63,o3aE-uDH7,L7,l7pe,L
tch_L2_20240222-134031_117,class_L2_20240222-134031_117,V3kY-D8Rs,L2,l2pe,L
tch_M4_20231229-151113_66,class_M4_20231229-151113_66,48EU-Pwh4,M4,m4pe,M
tch_L2_20240222-124507_122,class_L2_20240222-124507_122,JqXU-q9v7,L2,l2pe,L
tch_L7_20240222-124507_45,class_L7_20240222-124507_45,X94z-8WQL,L7,l7pe,L
tch_H1_20240222-134031_186,class_H1_20240222-134031_186,gDM8-P9HL,H1,h1pe,H
tch_M3_20240129-142710_75,class_M3_20240129-142710_75,h8W2-Nqw3,M3,m3pe,M
tch_H1_20240222-095725_186,class_H1_20240222-095725_186,djBb-GaQC,H1,h1pe,H
tch_L1_20240131-144641_5,context_class_L1_20240131-144641_5,9A6i-oW7D,L1,l1pe,L
tch_H3_20240222-134031_192,class_H3_20240222-134031_192,8J23-gQ3j,H3,h3pe,H
tch_L7_20240222-095725_44,class_L7_20240222-095725_44,Y8gq-rZf3,L7,l7pe,L
tch_L8_20240304-175551_57,class_L8_20240304-175551_57,6CR2-YWAH,L8,l8pe,L
tch_L7_20240222-124507_48,class_L7_20240222-124507_48,sK7g-u67A,L7,l7pe,L
tch_L1_20231229-151113_8,class_L1_20231229-151113_8,GB8Z-a7cv,L1,l1pe,L
tch_L8_20240129-142710_53,class_L8_20240129-142710_53,4h7R-m34p,L8,l8pe,L
tch_L8_20240129-133344_50,class_L8_20240129-133344_50,PHoF-6h93,L8,l8pe,L
tch_H1_20240222-134031_85,class_H1_20240222-134031_85,t37i-bejJ,H1,h1pe,H
tch_H4_20240207-120256_97,class_H4_20240207-120256_97,BM6n-ym3j,H4,h4pe,H
tch_L1_20240304-175551_115,class_L1_20240304-175551_115,6YXw-64TA,L1,l1pe,L
tch_L8_20240207-120256_55,class_L8_20240207-120256_55,ZUV6-hTu7,L8,l8pe,L
tch_L3_20240304-175551_131,class_L3_20240304-175551_131,68Db-72d9,L3,l3pe,L
tch_L2_20240222-124507_126,class_L2_20240222-124507_126,zYF4-jy49,L2,l2pe,L
tch_H1_20240129-115448_88,class_H1_20240129-115448_88,bWD2-VrUK,H1,h1pe,H
tch_L8_20240129-115448_53,class_L8_20240129-115448_53,ewt7-qy4R,L8,l8pe,L
tch_L1_20240222-095725_13,class_L1_20240222-095725_13,MQY6-4pvs,L1,l1pe,L
tch_M4_20240129-142710_79,class_M4_20240129-142710_79,f2Wn-R86B,M4,m4pe,M
tch_M3_20240129-105848_78,class_M3_20240129-105848_78,9s89-KiXt,M3,m3pe,M
tch_L1_20231229-173128_8,class_L1_20231229-173128_8,ZaR3-Vupy,L1,l1pe,L
tch_H2_20240207-120256_90,class_H2_20240207-120256_90,3hLF-4Bdv,H2,h2pe,H
tch_L1_20231229-163209_1,class_L1_20231229-163209_1,P34n-jT8z,L1,l1pe,L
tch_L1_20240129-124448_15,class_L1_20240129-124448_15,7svh-PE2D,L1,l1pe,L
tch_L1_20240222-124507_6,class_L1_20240222-124507_6,4j3h-7A8e,L1,l1pe,L
tch_L9_20240117-181958_16,class_L9_20240117-181958_16,82W8-szLE,L9,l9pe,L
tch_H2_20231229-163209_76,class_H2_20231229-163209_76,QHbR-2xeg,H2,h2pe,H
tch_L7_20240119-093415_57,class_L7_20240119-093415_57,qr3b-rws6,L7,l7pe,L
tch_L2_20240129-124448_21,class_L2_20240129-124448_21,Cu7m-7avr,L2,l2pe,L
tch_L2_20240129-093151_20,class_L2_20240129-093151_20,2E4n-ruWw,L2,l2pe,L
tch_L2_20240102-154640_12,class_L2_20240102-154640_12,V8Ee-sumk,L2,l2pe,L
tch_L8_20240222-095725_154,class_L8_20240222-095725_154,Zaq9-7Cuc,L8,l8pe,L
tch_L7_20240129-133344_41,class_L7_20240129-133344_41,fM4g-bzt8,L7,l7pe,L
tch_L2_20240222-095725_21,class_L2_20240222-095725_21,J6wL-9AJR,L2,l2pe,L
tch_H1_20240222-124507_189,class_H1_20240222-124507_189,9g8Q-Pg3N,H1,h1pe,H
tch_H1_20240222-095725_88,class_H1_20240222-095725_88,37fa-ck7U,H1,h1pe,H
tch_L7_20240119-093415_14,class_L7_20240119-093415_14,qR6T-JVLP,L7,l7pe,L
tch_L8_20240129-082111_52,class_L8_20240129-082111_52,9xu7-iGTA,L8,l8pe,L
tch_H3_20240129-105848_95,class_H3_20240129-105848_95,fh7m-o268,H3,h3pe,H
tch_H2_20240222-134031_90,class_H2_20240222-134031_90,okcv-3G7n,H2,h2pe,H
tch_H5_20240131-144641_98,context_class_H5_20240131-144641_98,4Zym-km78,H5,h5pe,H
tch_H3_20231229-173128_82,class_H3_20231229-173128_82,HDzM-DYUq,H3,h3pe,H
tch_L9_20240117-181958_23,class_L9_20240117-181958_23,uqn2-PgaD,L9,l9pe,L
tch_L9_20240222-134031_61,class_L9_20240222-134031_61,8kiF-ZQar,L9,l9pe,L
tch_L7_20240129-133344_46,class_L7_20240129-133344_46,D26n-g2YH,L7,l7pe,L
tch_H3_20240222-124507_196,class_H3_20240222-124507_196,8uT4-272L,H3,h3pe,H
tch_L7_20240222-134031_140,class_L7_20240222-134031_140,eUg4-7ous,L7,l7pe,L
tch_L8_20240222-095725_157,class_L8_20240222-095725_157,dp9Q-kNF3,L8,l8pe,L
tch_L2_20231229-183345_18,class_L2_20231229-183345_18,DXzK-BgF4,L2,l2pe,L
