stdextid,count,page,classcode
std_1616493329485_86,1,78,vdK3-M73F
std_1616493330992_87,1,78,6DAR-QyYM
std_1616493332499_88,1,78,2o43-xiHr
std_1616493334004_89,1,78,o6mx-6KuY
std_1616493335511_90,1,78,Dhkd-u3M9
std_1616493337017_91,1,78,Devc-i79U
std_1616493338523_92,1,78,oZkE-uEaf
std_1616493340030_93,1,78,aP43-9KDg
std_1616493341537_94,1,78,uiVG-2bKr
std_1616493343042_95,1,78,ik82-s7Br
std_1616493344548_96,1,78,A896-q6Gz
std_1616493346101_97,1,78,6wvs-aYLo
std_1616493347560_98,1,78,A243-93K8
std_1616493349067_99,1,78,2j3G-dUjE
std_1616493350573_100,1,78,GYUp-rA72
std_1616493352083_101,1,78,XT4s-E6Ey
std_1616493353588_102,1,78,sF6P-zNA3
std_1616493355091_103,1,78,2E7X-NRMD
std_1616493356597_104,1,78,ukZ6-NTez
std_1616493358104_105,1,78,j3xo-k9FK
std_1616493359610_106,1,78,6kg4-xgXa
std_1616493361115_107,1,78,zq2v-uw9o
std_1616493362621_108,1,78,C37r-uqvA
std_1616493364128_109,1,78,X979-DbQ2
std_1616493365633_110,1,78,6U2m-jLi7
std_1616493367140_111,1,78,m8Vy-oRf9
std_1616493368646_112,1,78,ZPY6-MD72
std_1616493370152_113,1,78,XHGL-26vk
std_1616493371658_114,1,78,8U7M-PQX7
std_1616493373165_115,1,78,N32y-Teic
std_1616493374672_116,1,78,8JcE-7cYc
std_1616493376179_117,1,78,n7VP-WXyT
std_1616493377684_118,1,78,qD83-vXWQ
std_1616493379190_119,1,78,s6F3-cjtj
std_1616493380698_120,1,78,X38f-JaX3
std_1616493382204_121,1,78,7HCB-KYwn
std_1616493383710_122,1,78,y3wy-2mT9
std_1616493385217_123,1,78,Y8p7-Y2p2
std_1616493386723_124,1,78,4nNZ-xnYt
std_1616493388229_125,1,78,wQ2h-BAa3
std_1616493389736_126,1,78,zCkQ-KR4o
std_1616493391244_127,1,78,N738-4Ny2
std_1616493392749_128,1,78,hKC4-Bgui
std_1616493394255_129,1,78,vAtn-8bZs
std_1616493395760_130,1,78,r8s8-4tw6
std_1616493397267_131,1,78,Nb2M-kpW9
std_1616493398773_132,1,78,Dyj8-2aNm
std_1616493400279_133,1,78,LCqU-Ty73
std_1616493401785_134,1,78,sghE-Hio2
std_1616493403292_135,1,78,M3Q4-6jm7
std_1616493404797_136,1,78,Qu2u-jFLk
std_1616493406304_137,1,78,z9xU-XHei
std_1616493407809_138,1,78,U6YD-2DEQ
std_1616493409315_139,1,78,AY79-7RN3
std_1616493410822_140,1,78,egPK-BiaX
std_1616493412328_141,1,78,jNs9-pT8G
std_1616493413835_142,1,78,Ese2-jq6E
std_1616493415341_143,1,78,VfXW-oEP7
std_1616493416846_144,1,78,jhK3-Bu2F
std_1616493418353_145,1,78,p6w2-B9po
std_1616493419859_146,1,78,H74U-GZqo
std_1616493421366_147,1,78,WrMA-hjqD
std_1616493422871_148,1,78,et7r-Z3AX
std_1616493424377_149,1,78,uJW3-86EM
std_1616493425883_150,1,78,dge8-9Qoh
std_1616493427389_151,1,78,3sNp-udQj
std_1616493428897_152,1,78,9g3A-rea2
std_1616493430402_153,1,78,nm7J-29b7
std_1616493431908_154,1,78,g74v-387V
std_1616493433414_155,1,78,b6ud-7P67
std_1616493434919_156,1,78,gGq9-J49E
std_1616493436425_157,1,78,DhVa-Wirt
std_1616493437931_158,1,78,9VmZ-j98X
std_1616493439437_159,1,78,gChk-rmpa
std_1616493440944_160,1,78,4v3h-VEyZ
std_1616493442450_161,1,78,pw8i-4yrm
std_1616493443956_162,1,78,iYRL-Q28g
std_1616493445462_163,1,78,jhvo-igd9
std_1616493446969_164,1,78,2qd7-nv6P
std_1616493448474_165,1,78,BJXJ-wBnr
std_1616493449980_166,1,78,962b-NLp9
std_1616493451486_167,1,78,4jnC-7sjD
std_1616493452992_168,1,78,4jVd-t7G8
std_1616493454499_169,1,78,mErm-M2C4
std_1616493456006_170,1,78,dgLp-zp6m
std_1616493457511_171,1,78,dZtG-pwJG
std_1616493459017_172,1,78,P46P-ARVa
std_1616493460523_173,1,78,droN-Cg6d
std_1616493462029_174,1,78,uCt6-Qdo3
std_1616493463535_175,1,78,G7T9-zbm8
std_1616493465041_176,1,78,VLUZ-4q6m
std_1616493466548_177,1,78,8ed6-4u4t
std_1616493468054_178,1,78,Zkwa-9JoT
std_1616493469560_179,1,78,th3B-4T8s
std_1616493471066_180,1,78,RvH7-xzom
std_1616493472572_181,1,78,ic7Q-Yazs
std_1616493474080_182,1,78,QLNo-Zzba
std_1616493475586_183,1,78,7E3R-ADaU
std_1616493477091_184,1,78,jige-4iwg
std_1616493478598_185,1,78,6Qbu-r7wU
std_1616493480105_186,1,78,vdK3-M73F
std_1616493481611_187,1,78,6DAR-QyYM
std_1616493483117_188,1,78,2o43-xiHr
std_1616493484623_189,1,78,o6mx-6KuY
std_1616493486128_190,1,78,Dhkd-u3M9
std_1616493487635_191,1,78,Devc-i79U
std_1616493489141_192,1,78,oZkE-uEaf
std_1616493490647_193,1,78,aP43-9KDg
std_1616493492153_194,1,78,uiVG-2bKr
std_1616493493659_195,1,78,ik82-s7Br
std_1616493495165_196,1,78,A896-q6Gz
std_1616493496672_197,1,78,6wvs-aYLo
std_1616493498178_198,1,78,A243-93K8
std_1616493499684_199,1,78,2j3G-dUjE
std_1616493501190_200,1,78,GYUp-rA72
std_1616493502700_201,1,78,XT4s-E6Ey
std_1616493504206_202,1,78,sF6P-zNA3
std_1616493505709_203,1,78,2E7X-NRMD
std_1616493507216_204,1,78,ukZ6-NTez
std_1616493508721_205,1,78,j3xo-k9FK
std_1616493510229_206,1,78,6kg4-xgXa
std_1616493511735_207,1,78,zq2v-uw9o
std_1616493513241_208,1,78,C37r-uqvA
std_1616493514748_209,1,78,X979-DbQ2
std_1616493516253_210,1,78,6U2m-jLi7
std_1616493517761_211,1,78,m8Vy-oRf9
std_1616493519267_212,1,78,ZPY6-MD72
std_1616493520774_213,1,78,XHGL-26vk
std_1616493522282_214,1,78,8U7M-PQX7
std_1616493523789_215,1,78,N32y-Teic
std_1616493525295_216,1,78,8JcE-7cYc
std_1616493526801_217,1,78,n7VP-WXyT
std_1616493528308_218,1,78,qD83-vXWQ
std_1616493529814_219,1,78,s6F3-cjtj
std_1616493531319_220,1,78,X38f-JaX3
std_1616493532825_221,1,78,7HCB-KYwn
std_1616493534332_222,1,78,y3wy-2mT9
std_1616493535839_223,1,78,Y8p7-Y2p2
std_1616493537345_224,1,78,4nNZ-xnYt
std_1616493538852_225,1,78,wQ2h-BAa3
std_1616493540357_226,1,78,zCkQ-KR4o
std_1616493543369_228,1,78,hKC4-Bgui
std_1616493541863_227,1,78,N738-4Ny2
std_1616493544875_229,1,78,vAtn-8bZs
std_1616493546382_230,1,78,r8s8-4tw6
std_1616493547887_231,1,78,Nb2M-kpW9
std_1616493549395_232,1,78,Dyj8-2aNm
std_1616493550901_233,1,78,LCqU-Ty73
std_1616493552406_234,1,78,sghE-Hio2
std_1616493553912_235,1,78,M3Q4-6jm7
std_1616493555419_236,1,78,Qu2u-jFLk
std_1616493556924_237,1,78,z9xU-XHei
std_1616493558431_238,1,78,U6YD-2DEQ
std_1616493559936_239,1,78,AY79-7RN3
std_1616493561443_240,1,78,egPK-BiaX
std_1616493562948_241,1,78,jNs9-pT8G
std_1616493564523_242,1,78,Ese2-jq6E
std_1616493566029_243,1,78,VfXW-oEP7
std_1616493567535_244,1,78,jhK3-Bu2F
std_1616493569041_245,1,78,p6w2-B9po
std_1616493570549_246,1,78,H74U-GZqo
std_1616493572055_247,1,78,WrMA-hjqD
std_1616493573561_248,1,78,et7r-Z3AX
std_1616493575066_249,1,78,uJW3-86EM
std_1616493576572_250,1,78,dge8-9Qoh
std_1616493578078_251,1,78,3sNp-udQj
std_1616493579585_252,1,78,9g3A-rea2
std_1616493581092_253,1,78,nm7J-29b7
std_1616493582597_254,1,78,g74v-387V
std_1616493584104_255,1,78,b6ud-7P67
std_1616493585610_256,1,78,gGq9-J49E
std_1616493587115_257,1,78,DhVa-Wirt
std_1616493588621_258,1,78,9VmZ-j98X
std_1616493590128_259,1,78,gChk-rmpa
std_1616493591634_260,1,78,4v3h-VEyZ
std_1616493593140_261,1,78,pw8i-4yrm
std_1616493594683_262,1,78,iYRL-Q28g
std_1616493596153_263,1,78,jhvo-igd9
std_1616493597660_264,1,78,2qd7-nv6P
std_1616493599165_265,1,78,BJXJ-wBnr
std_1616493600672_266,1,78,962b-NLp9
std_1616493602177_267,1,78,4jnC-7sjD
std_1616493603684_268,1,78,4jVd-t7G8
std_1616493605190_269,1,78,mErm-M2C4
std_1616493606697_270,1,78,dgLp-zp6m
std_1616493608202_271,1,78,dZtG-pwJG
std_1616493609709_272,1,78,P46P-ARVa
std_1616493611214_273,1,78,droN-Cg6d
std_1616493612721_274,1,78,uCt6-Qdo3
std_1616493614226_275,1,78,G7T9-zbm8
std_1616493615733_276,1,78,VLUZ-4q6m
std_1616493617240_277,1,78,8ed6-4u4t
std_1616493618745_278,1,78,Zkwa-9JoT
std_1616493620252_279,1,78,th3B-4T8s
std_1616493621758_280,1,78,RvH7-xzom
std_1616493623264_281,1,78,ic7Q-Yazs
std_1616493624769_282,1,78,QLNo-Zzba
std_1616493626276_283,1,78,7E3R-ADaU
std_1616493627783_284,1,78,jige-4iwg
std_1616493629288_285,1,78,6Qbu-r7wU
std_1616493630794_286,1,78,vdK3-M73F
std_1616493632300_287,1,78,6DAR-QyYM
std_1616493633808_288,1,78,2o43-xiHr
std_1616493635313_289,1,78,o6mx-6KuY
std_1616493636819_290,1,78,Dhkd-u3M9
std_1616493638327_291,1,78,Devc-i79U
std_1616493639832_292,1,78,oZkE-uEaf
std_1616493641340_293,1,78,aP43-9KDg
std_1616493642844_294,1,78,uiVG-2bKr
std_1616493644351_295,1,78,ik82-s7Br
std_1616493645856_296,1,78,A896-q6Gz
std_1616493647362_297,1,78,6wvs-aYLo
std_1616493648869_298,1,78,A243-93K8
std_1616493650375_299,1,78,2j3G-dUjE
std_1616493651882_300,1,78,GYUp-rA72
std_1616493653390_301,1,78,XT4s-E6Ey
std_1616493654896_302,1,78,sF6P-zNA3
std_1616493656399_303,1,78,2E7X-NRMD
std_1616493657907_304,1,78,ukZ6-NTez
std_1616493659412_305,1,78,j3xo-k9FK
std_1616493660918_306,1,78,6kg4-xgXa
std_1616493662423_307,1,78,zq2v-uw9o
std_1616493663930_308,1,78,C37r-uqvA
std_1616493665435_309,1,78,X979-DbQ2
std_1616493666941_310,1,78,6U2m-jLi7
std_1616493668447_311,1,78,m8Vy-oRf9
std_1616493669953_312,1,78,ZPY6-MD72
std_1616493671459_313,1,78,XHGL-26vk
std_1616493672966_314,1,78,8U7M-PQX7
std_1616493674471_315,1,78,N32y-Teic
std_1616493675978_316,1,78,8JcE-7cYc
std_1616493677484_317,1,78,n7VP-WXyT
std_1616493678991_318,1,78,qD83-vXWQ
std_1616493680497_319,1,78,s6F3-cjtj
std_1616493682001_320,1,78,X38f-JaX3
std_1616493683508_321,1,78,7HCB-KYwn
std_1616493685014_322,1,78,y3wy-2mT9
std_1616493686521_323,1,78,Y8p7-Y2p2
std_1616493688027_324,1,78,4nNZ-xnYt
std_1616493689533_325,1,78,wQ2h-BAa3
std_1616493691039_326,1,78,zCkQ-KR4o
std_1616493692544_327,1,78,N738-4Ny2
std_1616493694051_328,1,78,hKC4-Bgui
std_1616493695557_329,1,78,vAtn-8bZs
std_1616493697062_330,1,78,r8s8-4tw6
std_1616493698569_331,1,78,Nb2M-kpW9
std_1616493700075_332,1,78,Dyj8-2aNm
std_1616493701581_333,1,78,LCqU-Ty73
std_1616493703089_334,1,78,sghE-Hio2
std_1616493704594_335,1,78,M3Q4-6jm7
std_1616493706101_336,1,78,Qu2u-jFLk
std_1616493707606_337,1,78,z9xU-XHei
std_1616493709113_338,1,78,U6YD-2DEQ
std_1616493710618_339,1,78,AY79-7RN3
std_1616493712125_340,1,78,egPK-BiaX
std_1616493713632_341,1,78,jNs9-pT8G
std_1616493715138_342,1,78,Ese2-jq6E
std_1616493716644_343,1,78,VfXW-oEP7
std_1616493718150_344,1,78,jhK3-Bu2F
std_1616493719657_345,1,78,p6w2-B9po
std_1616493721163_346,1,78,H74U-GZqo
std_1616493722670_347,1,78,WrMA-hjqD
std_1616493724180_348,1,78,et7r-Z3AX
std_1616493725685_349,1,78,uJW3-86EM
std_1616493727193_350,1,78,dge8-9Qoh
std_1616493728699_351,1,78,3sNp-udQj
std_1616493730204_352,1,78,9g3A-rea2
std_1616493731712_353,1,78,nm7J-29b7
std_1616493733217_354,1,78,g74v-387V
std_1616493734723_355,1,78,b6ud-7P67
std_1616493736230_356,1,78,gGq9-J49E
std_1616493737738_357,1,78,DhVa-Wirt
std_1616493739243_358,1,78,9VmZ-j98X
std_1616493740748_359,1,78,gChk-rmpa
std_1616493742259_360,1,78,4v3h-VEyZ
std_1616493743763_361,1,78,pw8i-4yrm
std_1616493745267_362,1,78,iYRL-Q28g
std_1616493746774_363,1,78,jhvo-igd9
std_1616493748279_364,1,78,2qd7-nv6P
std_1616493749786_365,1,78,BJXJ-wBnr
std_1616493751292_366,1,78,962b-NLp9
std_1616493752798_367,1,78,4jnC-7sjD
std_1616493754304_368,1,78,4jVd-t7G8
std_1616493755811_369,1,78,mErm-M2C4
std_1616493757318_370,1,78,dgLp-zp6m
std_1616493758825_371,1,78,dZtG-pwJG
std_1616493760332_372,1,78,P46P-ARVa
std_1616493761837_373,1,78,droN-Cg6d
std_1616493763343_374,1,78,uCt6-Qdo3
std_1616493764850_375,1,78,G7T9-zbm8
std_1616493766356_376,1,78,VLUZ-4q6m
std_1616493767863_377,1,78,8ed6-4u4t
std_1616493769368_378,1,78,Zkwa-9JoT
std_1616493770874_379,1,78,th3B-4T8s
std_1616493772380_380,1,78,RvH7-xzom
std_1616493773888_381,1,78,ic7Q-Yazs
std_1616493775394_382,1,78,QLNo-Zzba
std_1616493776899_383,1,78,7E3R-ADaU
std_1616493778405_384,1,78,jige-4iwg
std_1616493779911_385,1,78,6Qbu-r7wU
std_1616493781418_386,1,78,vdK3-M73F
std_1616493782925_387,1,78,6DAR-QyYM
std_1616493784430_388,1,78,2o43-xiHr
std_1616493785938_389,1,78,o6mx-6KuY
std_1616493787444_390,1,78,Dhkd-u3M9
std_1616493788950_391,1,78,Devc-i79U
std_1616493790455_392,1,78,oZkE-uEaf
std_1616493791963_393,1,78,aP43-9KDg
std_1616493793470_394,1,78,uiVG-2bKr
std_1616493794975_395,1,78,ik82-s7Br
std_1616493796482_396,1,78,A896-q6Gz
std_1616493797989_397,1,78,6wvs-aYLo
std_1616493799495_398,1,78,A243-93K8
std_1616493801001_399,1,78,2j3G-dUjE
std_1616493802507_400,1,78,GYUp-rA72
std_1616493804016_401,1,78,XT4s-E6Ey
std_1616493805522_402,1,78,sF6P-zNA3
std_1616493807027_403,1,78,2E7X-NRMD
std_1616493808533_404,1,78,ukZ6-NTez
std_1616493810039_405,1,78,j3xo-k9FK
std_1616493811545_406,1,78,6kg4-xgXa
std_1616493813053_407,1,78,zq2v-uw9o
std_1616493814559_408,1,78,C37r-uqvA
std_1616493816065_409,1,78,X979-DbQ2
std_1616493817572_410,1,78,6U2m-jLi7
std_1616493819077_411,1,78,m8Vy-oRf9
std_1616493820584_412,1,78,ZPY6-MD72
std_1616493822090_413,1,78,XHGL-26vk
std_1616493823595_414,1,78,8U7M-PQX7
std_1616493825101_415,1,78,N32y-Teic
std_1616493826607_416,1,78,8JcE-7cYc
std_1616493828113_417,1,78,n7VP-WXyT
std_1616493829619_418,1,78,qD83-vXWQ
std_1616493831126_419,1,78,s6F3-cjtj
std_1616493832632_420,1,78,X38f-JaX3
std_1616493834138_421,1,78,7HCB-KYwn
std_1616493835644_422,1,78,y3wy-2mT9
std_1616493837151_423,1,78,Y8p7-Y2p2
std_1616493838657_424,1,78,4nNZ-xnYt
std_1616493840164_425,1,78,wQ2h-BAa3
std_1616493841671_426,1,78,zCkQ-KR4o
std_1616493843177_427,1,78,N738-4Ny2
std_1616493844683_428,1,78,hKC4-Bgui
std_1616493846188_429,1,78,vAtn-8bZs
std_1616493847695_430,1,78,r8s8-4tw6
std_1616493849202_431,1,78,Nb2M-kpW9
std_1616493850709_432,1,78,Dyj8-2aNm
std_1616493852215_433,1,78,LCqU-Ty73
std_1616493853721_434,1,78,sghE-Hio2
std_1616493855226_435,1,78,M3Q4-6jm7
std_1616493856732_436,1,78,Qu2u-jFLk
std_1616493858239_437,1,78,z9xU-XHei
std_1616493859744_438,1,78,U6YD-2DEQ
std_1616493861250_439,1,78,AY79-7RN3
std_1616493862757_440,1,78,egPK-BiaX
std_1616493864263_441,1,78,jNs9-pT8G
std_1616493865772_442,1,78,Ese2-jq6E
std_1616493867276_443,1,78,VfXW-oEP7
std_1616493868782_444,1,78,jhK3-Bu2F
std_1616493870289_445,1,78,p6w2-B9po
std_1616493871794_446,1,78,H74U-GZqo
std_1616493873300_447,1,78,WrMA-hjqD
std_1616493874807_448,1,78,et7r-Z3AX
std_1616493876314_449,1,78,uJW3-86EM
std_1616493877821_450,1,78,dge8-9Qoh
std_1616493879326_451,1,78,3sNp-udQj
std_1616493880832_452,1,78,9g3A-rea2
std_1616493882337_453,1,78,nm7J-29b7
std_1616493883844_454,1,78,g74v-387V
std_1616493885349_455,1,78,b6ud-7P67
std_1616493886856_456,1,78,gGq9-J49E
std_1616493888362_457,1,78,DhVa-Wirt
std_1616493889868_458,1,78,9VmZ-j98X
std_1616493891375_459,1,78,gChk-rmpa
std_1616493892880_460,1,78,4v3h-VEyZ
std_1616493894386_461,1,78,pw8i-4yrm
std_1616493895893_462,1,78,iYRL-Q28g
std_1616493897399_463,1,78,jhvo-igd9
std_1616493898905_464,1,78,2qd7-nv6P
std_1616493900411_465,1,78,BJXJ-wBnr
std_1616493901916_466,1,78,962b-NLp9
std_1616493903422_467,1,78,4jnC-7sjD
std_1616493904929_468,1,78,4jVd-t7G8
std_1616493906436_469,1,78,mErm-M2C4
std_1616493907942_470,1,78,dgLp-zp6m
std_1616493909448_471,1,78,dZtG-pwJG
std_1616493910955_472,1,78,P46P-ARVa
std_1616493912459_473,1,78,droN-Cg6d
std_1616493913965_474,1,78,uCt6-Qdo3
std_1616493915471_475,1,78,G7T9-zbm8
std_1616493916979_476,1,78,VLUZ-4q6m
std_1616493918487_477,1,78,8ed6-4u4t
std_1616493919993_478,1,78,Zkwa-9JoT
std_1616493921499_479,1,78,th3B-4T8s
std_1616493923004_480,1,78,RvH7-xzom
std_1616493924511_481,1,78,ic7Q-Yazs
std_1616493926017_482,1,78,QLNo-Zzba
std_1616493927523_483,1,78,7E3R-ADaU
std_1616493929029_484,1,78,jige-4iwg
std_1616493930537_485,1,78,6Qbu-r7wU
std_1616493932042_486,1,78,vdK3-M73F
std_1616493933548_487,1,78,6DAR-QyYM
std_1616493935055_488,1,78,2o43-xiHr
std_1616493936560_489,1,78,o6mx-6KuY
std_1616493938113_490,1,78,Dhkd-u3M9
std_1616493939620_491,1,78,Devc-i79U
std_1616493941125_492,1,78,oZkE-uEaf
std_1616493942631_493,1,78,aP43-9KDg
std_1616493944138_494,1,78,uiVG-2bKr
std_1616493945644_495,1,78,ik82-s7Br
std_1616493947151_496,1,78,A896-q6Gz
std_1616493948657_497,1,78,6wvs-aYLo
std_1616493950163_498,1,78,A243-93K8
std_1616493951669_499,1,78,2j3G-dUjE
std_1616493953175_500,1,78,GYUp-rA72
std_1616493954684_501,1,78,XT4s-E6Ey
std_1616493956190_502,1,78,sF6P-zNA3
std_1616493957694_503,1,78,2E7X-NRMD
