studentextuserid,classcode
std_1590567310119_682,XP89-8EXA
std_1590567311131_683,3ZYM-TKhz
std_1590567312140_684,W279-trxh
std_1590567313151_685,7x7r-iu2i
std_1590567314161_686,4bXN-76T6
std_1590567315170_687,eBZy-NW4X
std_1590567316179_688,yChr-BDPx
std_1590567317189_689,8P4f-nPwf
std_1590567318198_690,QTcB-H8PT
std_1590567319207_691,jtCh-Wnab
std_1590567320217_692,9D4C-W427
std_1590567321224_693,2Rt6-8pPn
std_1590567322234_694,B3Mp-WJiz
std_1590567323242_695,RK2E-dtFs
std_1590567324252_696,msZ6-Gdak
std_1590567325260_697,Ehmv-Y3xb
std_1590567326268_698,tdU6-8yr8
std_1590567327278_699,3Gc2-XgT7
std_1590567328287_700,DbCa-B8vy
std_1590567329294_701,j49g-pKx9
std_1590567330304_702,Xyvt-XF3x
std_1590567331312_703,2U9Q-3inY
std_1590567332322_704,ETC9-3p9b
std_1590567333330_705,MBEm-zhFp
std_1590567334340_706,2Pk9-4Woa
std_1590567335350_707,R9yi-2zmH
std_1590567336360_708,9vJz-thJP
std_1590567337369_709,cmsv-pU9L
std_1590567338386_710,p98N-tG3L
std_1590567339396_711,VmzJ-72h6
std_1590567340407_712,KQmP-JYw6
std_1590567341419_713,9AB4-NbRD
std_1590567342428_714,wPXJ-tmxj
std_1590567343511_715,yv73-xJzm
std_1590567344519_716,fm8K-BA27
std_1590567345527_717,238p-2EPV
std_1590567346538_718,Nc3x-VBV4
std_1590567347545_719,FWCx-vP28
std_1590567348555_720,w74B-8bp3
std_1590567349562_721,2aQi-U7Dk
std_1590567350571_722,Yc28-62Du
std_1590567351579_723,xU8H-QTZo
std_1590567352588_724,G4Nv-axR7
std_1590567353596_725,n97m-jFgW
std_1590567354604_726,YTh9-8UYb
std_1590567355621_727,3ULW-9k7k
std_1590567356629_728,BjAQ-j3fA
std_1590567357637_729,2T92-t2No
std_1590567358645_730,yEWn-W4wE
std_1590567359653_731,G3f4-m2Uh
std_1590567360662_732,HufJ-bQZ8
std_1590567361671_733,d8Wk-HcD8
std_1590567362678_734,Yerj-94uY
std_1590567363688_735,hEqh-Mrc7
std_1590567364696_736,Q8bN-genD
std_1590567365705_737,7G7H-3dsd
std_1590567366712_738,9ZWB-Hm9V
std_1590567367721_739,Wk23-J9Jk
std_1590567368728_740,3d68-6UX4
std_1590567369738_741,9ZC9-4T7X
std_1590567370745_742,Rr2B-k2v8
std_1590567371753_743,3ARV-axB9
std_1590567372761_744,h9P6-9mrx
std_1590567373769_745,j2Ld-t42M
std_1590567374778_746,V7EH-9TJn
std_1590567375785_747,8FeF-gQjK
std_1590567376793_748,2dnL-UWQg
std_1590567377801_749,C4ex-MB7E
std_1590567378810_750,yrFT-8EsA
std_1590567379819_751,iJ3w-76Rt
std_1590567380827_752,fH8p-bo2C
std_1590567381835_753,Rm2y-9rdY
std_1590567382843_754,w98X-JziZ
std_1590567383852_755,YkQM-zpfV
std_1590567384859_756,G3Kt-6ua4
std_1590567385867_757,k3Xs-ytd7
std_1590567386876_758,v6Hn-7opv
std_1590567387885_759,3xf4-j8HC
std_1590567388893_760,Dq76-nz8K
std_1590567389901_761,Nvce-PDfM
std_1590567390909_762,U89X-bg7y
std_1590567391918_763,oTDi-HT3N
std_1590567392926_764,XQWp-o89c
std_1590567393934_765,U32f-U7fb
std_1590567394942_766,gha3-w7X8
std_1590567395949_767,fskq-z4B7
std_1590567396958_768,67tx-BuJQ
std_1590567397965_769,ky8h-3L9w
std_1590567398972_770,Z2Lc-gAuC
std_1590567399982_771,J6J6-tLUy
std_1590567400990_772,VNf8-J4Ks
std_1590567401997_773,9XEV-64Kp
std_1590567403006_774,Q7dQ-btFx
std_1590567404014_775,kC3T-sh9y
std_1590567405023_776,4Czs-t2Ft
std_1590567406031_777,7Agz-93wd
std_1590567407039_778,nW4r-nxJN
std_1590567408046_779,g4TU-JHgR
std_1590567409055_780,YT28-ptqN
std_1590567410062_781,qmj4-PtV8
std_1590567411071_782,uvmv-4bjX
std_1590567412079_783,C3En-YHAH
std_1590567413087_784,Lfqh-pk6P
std_1590567414094_785,r4v4-MWL6
std_1590567415102_786,cH8U-7QFx
std_1590567416110_787,nf2w-jC9k
std_1590567417118_788,qo28-2Y2v
std_1590567418127_789,UiWx-ZPAp
std_1590567419136_790,FVw4-o7F9
std_1590567420144_791,uAZy-49e8
std_1590567421154_792,74Ub-6PyN
std_1590567422163_793,Ytg2-efPD
std_1590567423172_794,AztL-QRLG
std_1590567424180_795,7Gi7-xHNL
std_1590567425188_796,PiJ8-RnYR
std_1590567426197_797,428m-QC6H
std_1590567427205_798,AZ39-gsUu
std_1590567428213_799,9n3J-n48i
std_1590567429220_800,uZ29-L3Xn
std_1590567430229_801,9qT6-egxd
std_1590567431237_802,UyWB-9h26
std_1590567432244_803,C9L3-hqM3
std_1590567433253_804,7f9r-4dAN
std_1590567434260_805,PAx3-74K3
std_1590567435268_806,XJcn-8QT9
std_1590567436277_807,2wC9-r2Q7
std_1590567437284_808,TLNb-K6bH
std_1590567438292_809,4w37-mah8
std_1590567439301_810,qk6b-gm4H
std_1590567440308_811,4oNJ-q8hw
std_1590567441316_812,bk9N-B3PZ
std_1590567442323_813,62W4-H2dw
std_1590567443331_814,XP89-8EXA
std_1590567444339_815,3ZYM-TKhz
std_1590567445347_816,W279-trxh
std_1590567446356_817,7x7r-iu2i
std_1590567447365_818,4bXN-76T6
std_1590567448373_819,eBZy-NW4X
std_1590567449381_820,yChr-BDPx
std_1590567450390_821,8P4f-nPwf
std_1590567451398_822,QTcB-H8PT
std_1590567452405_823,jtCh-Wnab
std_1590567453415_824,9D4C-W427
std_1590567454423_825,2Rt6-8pPn
std_1590567455430_826,B3Mp-WJiz
std_1590567456438_827,RK2E-dtFs
std_1590567457447_828,msZ6-Gdak
std_1590567458455_829,Ehmv-Y3xb
std_1590567459462_830,tdU6-8yr8
std_1590567460470_831,3Gc2-XgT7
std_1590567461478_832,DbCa-B8vy
std_1590567462485_833,j49g-pKx9
std_1590567463493_834,Xyvt-XF3x
std_1590567464501_835,2U9Q-3inY
std_1590567465510_836,ETC9-3p9b
std_1590567466518_837,MBEm-zhFp
std_1590567467525_838,2Pk9-4Woa
std_1590567468533_839,R9yi-2zmH
std_1590567469541_840,9vJz-thJP
std_1590567470550_841,cmsv-pU9L
std_1590567471558_842,p98N-tG3L
std_1590567472567_843,VmzJ-72h6
std_1590567473575_844,KQmP-JYw6
std_1590567474582_845,9AB4-NbRD
std_1590567475590_846,wPXJ-tmxj
std_1590567476599_847,yv73-xJzm
std_1590567477608_848,fm8K-BA27
std_1590567478614_849,238p-2EPV
std_1590567479624_850,Nc3x-VBV4
std_1590567480631_851,FWCx-vP28
std_1590567481640_852,w74B-8bp3
std_1590567482648_853,2aQi-U7Dk
std_1590567483657_854,Yc28-62Du
std_1590567484664_855,xU8H-QTZo
std_1590567485673_856,G4Nv-axR7
std_1590567486683_857,n97m-jFgW
std_1590567487691_858,YTh9-8UYb
std_1590567488700_859,3ULW-9k7k
std_1590567489707_860,BjAQ-j3fA
std_1590567490715_861,2T92-t2No
std_1590567491723_862,yEWn-W4wE
std_1590567492731_863,G3f4-m2Uh
std_1590567493743_864,HufJ-bQZ8
std_1590567494751_865,d8Wk-HcD8
std_1590567495759_866,Yerj-94uY
std_1590567496767_867,hEqh-Mrc7
std_1590567497775_868,Q8bN-genD
std_1590567498782_869,7G7H-3dsd
std_1590567499791_870,9ZWB-Hm9V
std_1590567500798_871,Wk23-J9Jk
std_1590567501805_872,3d68-6UX4
