studentextuserid,classcode
std_1589438543943_2400,FswF-wfEH
std_1589438545946_2401,f3qn-Mq29
std_1589438547952_2402,zKzp-F43U
std_1589438549956_2403,32n3-u9jt
std_1589438554042_2404,keKn-9AdJ
std_1589438556052_2405,64jD-8PW7
std_1589438560074_2407,U9s4-7V23
std_1589438564081_2409,eZgb-x2J8
std_1589438566087_2410,6x74-Li2G
std_1589438572103_2413,tk2Y-u7da
std_1589438574107_2414,7RKh-n6Nf
std_1589438578108_2416,wGtf-V3mb
std_1589438580107_2417,3yDg-Cwm6
std_1589438586123_2420,ukiF-ta6s
std_1589438588138_2421,K8WV-z63e
std_1589438592154_2423,6A2s-Fyk6
std_1589438594155_2424,7m47-yrf9
std_1589438596170_2425,drtL-6vX6
std_1589438598170_2426,9dug-bRFh
std_1589438602185_2428,9CHu-sxvp
std_1589438606196_2430,7AuM-kMmz
std_1589438608185_2431,kn96-263B
std_1589438612201_2433,BYRy-URsQ
std_1589438614202_2434,a6BM-QGoa
std_1589438616216_2435,6zC8-9E2D
std_1589438618216_2436,Vj3B-W8vo
std_1589438620217_2437,MQxi-zVLP
std_1589438622232_2438,tznr-B6H6
std_1589438624232_2439,vaks-8PuJ
std_1589438626233_2440,Et92-Zqwm
std_1589438628248_2441,Cxgv-em4f
std_1589438630733_2442,ZnQ3-9D92
std_1589438632737_2443,x4wJ-48oX
std_1589438634743_2444,FcMg-zdvn
std_1589438636749_2445,hFHh-am3i
std_1589438638753_2446,pqEs-gGju
std_1589438640760_2447,rzob-p8zq
std_1589438642764_2448,zUnH-GTZQ
std_1589438644769_2449,s767-n7Z8
std_1589438646775_2450,Tmx4-AxsA
std_1589438648781_2451,MDXD-ZGzA
std_1589438652790_2453,94KU-B6Zs
std_1589438654795_2454,9N42-92ys
std_1589438659089_2456,PUY3-7p2L
std_1589438660811_2457,uH9R-Xp69
std_1589438662814_2458,3vTi-hWFi
std_1589438664819_2459,pqQK-Y7Fu
std_1589438666826_2460,WYBp-WjEV
std_1589438668829_2461,fT2J-j3kQ
std_1589438671085_2462,jZ4W-KD69
std_1589438673085_2463,4XP8-Q6gt
std_1589438675085_2464,mMHK-ko7Y
std_1589438677096_2465,pzat-c2Yd
std_1589438679103_2466,GDg4-W9AU
std_1589438681109_2467,qsRm-Xfsm
std_1589438683117_2468,67F7-zW7Z
std_1589438685120_2469,ft2z-7HF3
std_1589438687127_2470,CEC6-VgcF
std_1589438689135_2471,2uDf-9TxZ
std_1589438691143_2472,xq2m-A93w
std_1589438693149_2473,R7R7-3dF9
std_1589438695155_2474,FE6o-pRAi
std_1589438697162_2475,dsT2-HnjW
std_1589438699169_2476,KaVC-gAQ7
std_1589438703179_2478,j2cg-JbVM
std_1589438705185_2479,82h8-z2WB
std_1589438707192_2480,x2Yw-v7YB
std_1589438709304_2481,guH4-NKa7
std_1589438713319_2483,WGDA-vA46
std_1589438715326_2484,8ver-c2mv
std_1589438717335_2485,8Acn-qKX4
std_1589438719345_2486,pQEW-KPCj
std_1589438721351_2487,Pfv7-QK6Q
std_1589438723361_2488,KTv9-ve3G
std_1589438725376_2489,EFZf-24sU
std_1589438727376_2490,gJF4-kifp
std_1589438729402_2491,Quca-DQ4P
std_1589438731406_2492,8tkH-M4Z2
std_1589438733409_2493,hrvc-8fN6
std_1589438735415_2494,6Xq7-FZjh
std_1589438737419_2495,Fyrz-38nk
std_1589438739425_2496,R9ms-8ce6
std_1589438741430_2497,3Kt9-PABk
std_1589438743435_2498,d3Gi-6nPC
std_1589438745439_2499,K2XG-Rs8p
std_1589438747459_2500,HnYJ-zrcb
std_1589438749449_2501,L3V9-hi9B
std_1589438751454_2502,AtNs-yQj6
std_1589438753458_2503,ginH-Rxag
std_1589438755502_2504,26C6-r6b2
std_1589438757511_2505,QpFu-bXzN
std_1589438759518_2506,V8a9-vD7K
std_1589438761519_2507,Tbq3-qFmu
std_1589438763521_2508,7N4Y-TYNY
std_1589438765536_2509,TRqx-43n4
std_1589438767535_2510,gz7F-Yrw6
std_1589438769536_2511,gDAt-nKtg
std_1589438771550_2512,rCiC-dw2i
std_1589438773551_2513,jT9H-4Ei3
std_1589438775560_2514,hJms-iv4G
std_1589438777565_2515,2w4x-di23
std_1589438779570_2516,Rp9c-q2Uv
std_1589438781574_2517,v2FZ-Xtv9
std_1589438783580_2518,U82j-htM2
std_1589438785585_2519,3WYr-j3a4
std_1589438787602_2520,L6RB-buVF
std_1589438789594_2521,pgKx-2G46
std_1589438791601_2522,GFH2-cPr6
std_1589438793615_2523,4igm-NCQg
std_1589438795623_2524,K68q-e4ng
std_1589438797630_2525,A9oK-X6PD
std_1589438799636_2526,C4ij-Aa7V
std_1589438801642_2527,v39c-iC6U
std_1589438803647_2528,46Wd-87vy
std_1589438805654_2529,rV9D-8ZL3
std_1589438807659_2530,oMdE-6LvP
std_1589438809664_2531,8aTJ-2w98
std_1589438811669_2532,ERHW-r4Yg
std_1589438813702_2533,sgq4-7sVs
std_1589438815707_2534,3hZG-jB2C
std_1589438817714_2535,p9LV-n78D
std_1589438819720_2536,Yi9t-3Ma7
std_1589438821725_2537,FCpE-87ZY
std_1589438823730_2538,rc6j-dYqt
std_1589438825735_2539,dmsK-XPpc
std_1589438827740_2540,AZ27-LAh8
std_1589438829744_2541,4q8x-2J9H
std_1589438831750_2542,mykf-uekR
std_1589438833806_2543,482D-fJ98
std_1589438835821_2544,MZ6F-jtQ9
std_1589438839835_2546,63Ls-yWET
std_1589438841840_2547,md6U-tJE8
std_1589438843845_2548,BR7A-w34r
std_1589438845848_2549,FfCF-mu4a
std_1589438847854_2550,Baes-iQiZ
std_1589438849858_2551,hmas-qaKy
std_1589438851863_2552,jvEM-eZ8P
std_1589438855872_2554,Yo9q-Z49c
std_1589438857877_2555,y6TJ-vZD3
std_1589438859881_2556,BRDL-w46H
std_1589438861886_2557,tRwk-W8cm
std_1589438863891_2558,Buxc-eMC3
std_1589438867901_2560,qQZ9-6J9L
std_1589438869907_2561,nRAw-4zrJ
std_1589438872200_2562,gZRY-XW6o
std_1589438874206_2563,NnHU-R7eN
std_1589438876305_2564,kJQ4-bmGC
std_1589438878311_2565,FgZu-326c
std_1589438880318_2566,98fC-dbAC
std_1589438882325_2567,TbBo-3dnZ
std_1589438884359_2568,PuCZ-ev2b
std_1589438886331_2569,YE8K-2rcr
std_1589438888336_2570,kKPc-9M6B
std_1589438890343_2571,pjrs-tRf4
std_1589438892510_2572,8BZg-oJ7p
std_1589438896363_2574,L64n-wAU4
std_1589438898369_2575,fXkX-4xgK
std_1589438900373_2576,T9V4-JyQt
std_1589438902377_2577,8KkB-W8MJ
std_1589438904510_2578,cU4T-3K2E
std_1589438906511_2579,JqmW-fVwt
std_1589438908560_2580,7WuU-Q6EY
std_1589438910551_2581,C9NY-QUVJ
std_1589438912532_2582,MRLy-6V32
std_1589438914551_2583,Zn6j-AjLB
std_1589438918582_2585,CgQM-n3eL
std_1589438920592_2586,yHbk-7eq7
std_1589438922617_2587,AyAk-o4cf
std_1589438924635_2588,N7kU-bVQz
std_1589438926648_2589,XxP2-g29H
std_1589438928782_2590,DpkZ-rAqH
std_1589438930679_2591,hDqd-3Uxh
std_1589438932694_2592,7A3R-Yefe
std_1589438934704_2593,E32x-dZyP
std_1589438936836_2594,jWE9-EQ3n
std_1589438938874_2595,c72d-MDQ6
std_1589438940935_2596,kBzN-42Vk
std_1589438943004_2597,s4xj-7r2N
std_1589438947005_2599,r8qy-3Z96
std_1589438949016_2600,FswF-wfEH
std_1589438951029_2601,f3qn-Mq29
std_1589438953040_2602,zKzp-F43U
std_1589438961128_2606,gU9D-Zr7e
std_1589438963212_2607,U9s4-7V23
std_1589438965211_2608,737C-e426
std_1589438967212_2609,eZgb-x2J8
std_1589438969211_2610,6x74-Li2G
std_1589438971211_2611,cRKQ-qe2W
std_1589438973218_2612,pwea-s3Zr
std_1589438975228_2613,tk2Y-u7da
std_1589438977242_2614,7RKh-n6Nf
std_1589438979252_2615,RpE9-8KzR
std_1589438981262_2616,wGtf-V3mb
std_1589438983270_2617,3yDg-Cwm6
std_1589438985281_2618,3yVs-3c4E
std_1589438987291_2619,98Uh-6PbF
std_1589438989320_2620,ukiF-ta6s
std_1589438991331_2621,K8WV-z63e
std_1589438993342_2622,738c-82Le
std_1589438995357_2623,6A2s-Fyk6
std_1589438997363_2624,7m47-yrf9
std_1589438999377_2625,drtL-6vX6
std_1589439001404_2626,9dug-bRFh
std_1589439003437_2627,UwRW-7NAb
std_1589439005439_2628,9CHu-sxvp
std_1589439007451_2629,Zdz4-t2kd
std_1589439009462_2630,7AuM-kMmz
std_1589439011473_2631,kn96-263B
std_1589439013484_2632,txwZ-9NCt
std_1589439015496_2633,BYRy-URsQ
std_1589439017516_2634,a6BM-QGoa
std_1589439019529_2635,6zC8-9E2D
std_1589439021542_2636,Vj3B-W8vo
std_1589439023553_2637,MQxi-zVLP
std_1589439025716_2638,tznr-B6H6
std_1589439027731_2639,vaks-8PuJ
std_1589439029748_2640,Et92-Zqwm
std_1589439031760_2641,Cxgv-em4f
std_1589439033773_2642,ZnQ3-9D92
std_1589439035787_2643,x4wJ-48oX
std_1589439037802_2644,FcMg-zdvn
std_1589439039819_2645,hFHh-am3i
std_1589439043851_2647,rzob-p8zq
std_1589439045867_2648,zUnH-GTZQ
std_1589439049905_2650,Tmx4-AxsA
std_1589439053934_2652,6eq2-YwY2
std_1589439055946_2653,94KU-B6Zs
std_1589439057959_2654,9N42-92ys
std_1589439059973_2655,m482-3TYD
std_1589439061989_2656,PUY3-7p2L
std_1589439064083_2657,uH9R-Xp69
std_1589439066097_2658,3vTi-hWFi
std_1589439068111_2659,pqQK-Y7Fu
std_1589439070128_2660,WYBp-WjEV
std_1589439072138_2661,fT2J-j3kQ
std_1589439074153_2662,jZ4W-KD69
std_1589439076170_2663,4XP8-Q6gt
std_1589439078181_2664,mMHK-ko7Y
std_1589439080191_2665,pzat-c2Yd
std_1589439082206_2666,GDg4-W9AU
std_1589439084219_2667,qsRm-Xfsm
std_1589439086229_2668,67F7-zW7Z
std_1589439090250_2670,CEC6-VgcF
std_1589439092260_2671,2uDf-9TxZ
std_1589439094269_2672,xq2m-A93w
std_1589439096279_2673,R7R7-3dF9
std_1589439098291_2674,FE6o-pRAi
std_1589439100301_2675,dsT2-HnjW
std_1589439102313_2676,KaVC-gAQ7
std_1589439104452_2677,2F76-gb6D
std_1589439106429_2678,j2cg-JbVM
std_1589439108439_2679,82h8-z2WB
std_1589439110449_2680,x2Yw-v7YB
std_1589439112460_2681,guH4-NKa7
std_1589439114472_2682,mhZs-C3nw
std_1589439118500_2684,8ver-c2mv
std_1589439120524_2685,8Acn-qKX4
std_1589439124558_2687,Pfv7-QK6Q
std_1589439126576_2688,KTv9-ve3G
std_1589439128592_2689,EFZf-24sU
std_1589439130607_2690,gJF4-kifp
std_1589439134927_2692,8tkH-M4Z2
std_1589439136928_2693,hrvc-8fN6
std_1589439138926_2694,6Xq7-FZjh
std_1589439140926_2695,Fyrz-38nk
std_1589439142942_2696,R9ms-8ce6
std_1589439144958_2697,3Kt9-PABk
std_1589439146958_2698,d3Gi-6nPC
std_1589439148975_2699,K2XG-Rs8p
std_1589439150973_2700,HnYJ-zrcb
std_1589439152974_2701,L3V9-hi9B
std_1589439154989_2702,AtNs-yQj6
std_1589439156989_2703,ginH-Rxag
std_1589439158989_2704,26C6-r6b2
std_1589439161006_2705,QpFu-bXzN
std_1589439163005_2706,V8a9-vD7K
std_1589439165005_2707,Tbq3-qFmu
std_1589439167021_2708,7N4Y-TYNY
std_1589439169021_2709,TRqx-43n4
std_1589439171020_2710,gz7F-Yrw6
std_1589439173036_2711,gDAt-nKtg
std_1589439175036_2712,rCiC-dw2i
std_1589439177037_2713,jT9H-4Ei3
std_1589439179052_2714,hJms-iv4G
std_1589439181053_2715,2w4x-di23
std_1589439183052_2716,Rp9c-q2Uv
std_1589439185067_2717,v2FZ-Xtv9
std_1589439187067_2718,U82j-htM2
std_1589439189068_2719,3WYr-j3a4
std_1589439191084_2720,L6RB-buVF
std_1589439193084_2721,pgKx-2G46
std_1589439195098_2722,GFH2-cPr6
std_1589439197099_2723,4igm-NCQg
std_1589439199098_2724,K68q-e4ng
std_1589439201114_2725,A9oK-X6PD
std_1589439203115_2726,C4ij-Aa7V
std_1589439205146_2727,v39c-iC6U
std_1589439207131_2728,46Wd-87vy
std_1589439209145_2729,rV9D-8ZL3
std_1589439211146_2730,oMdE-6LvP
std_1589439213146_2731,8aTJ-2w98
std_1589439215146_2732,ERHW-r4Yg
std_1589439217162_2733,sgq4-7sVs
std_1589439219161_2734,3hZG-jB2C
std_1589439221178_2735,p9LV-n78D
std_1589439223185_2736,Yi9t-3Ma7
std_1589439225188_2737,FCpE-87ZY
std_1589439227194_2738,rc6j-dYqt
std_1589439229230_2739,dmsK-XPpc
std_1589439231233_2740,AZ27-LAh8
std_1589439233239_2741,4q8x-2J9H
std_1589439235245_2742,mykf-uekR
std_1589439237251_2743,482D-fJ98
std_1589439239253_2744,MZ6F-jtQ9
std_1589439241257_2745,y4tj-KGP7
std_1589439243261_2746,63Ls-yWET
std_1589439245279_2747,md6U-tJE8
std_1589439247271_2748,BR7A-w34r
std_1589439249276_2749,FfCF-mu4a
std_1589439251281_2750,Baes-iQiZ
std_1589439255289_2752,jvEM-eZ8P
std_1589439257294_2753,3h3u-hvn9
std_1589439259299_2754,Yo9q-Z49c
std_1589439261304_2755,y6TJ-vZD3
std_1589439265313_2757,tRwk-W8cm
std_1589439267317_2758,Buxc-eMC3
std_1589439269334_2759,79EC-K6Kd
std_1589439271339_2760,qQZ9-6J9L
std_1589439273343_2761,nRAw-4zrJ
std_1589439275348_2762,gZRY-XW6o
std_1589439277353_2763,NnHU-R7eN
std_1589439279357_2764,kJQ4-bmGC
std_1589439281361_2765,FgZu-326c
std_1589439283366_2766,98fC-dbAC
std_1589439285371_2767,TbBo-3dnZ
std_1589439287376_2768,PuCZ-ev2b
std_1589439289381_2769,YE8K-2rcr
std_1589439291385_2770,kKPc-9M6B
std_1589439293391_2771,pjrs-tRf4
std_1589439295409_2772,8BZg-oJ7p
std_1589439297415_2773,oFeG-e2Lz
std_1589439299418_2774,L64n-wAU4
std_1589439305433_2777,8KkB-W8MJ
std_1589439307438_2778,cU4T-3K2E
std_1589439309443_2779,JqmW-fVwt
std_1589439311449_2780,7WuU-Q6EY
std_1589439313454_2781,C9NY-QUVJ
std_1589439315470_2782,MRLy-6V32
std_1589439317464_2783,Zn6j-AjLB
std_1589439319469_2784,roTD-pPGn
std_1589439321474_2785,CgQM-n3eL
std_1589439325497_2787,AyAk-o4cf
std_1589439327489_2788,N7kU-bVQz
std_1589439329493_2789,XxP2-g29H
std_1589439331498_2790,DpkZ-rAqH
std_1589439333504_2791,hDqd-3Uxh
std_1589439335508_2792,7A3R-Yefe
std_1589439337751_2793,E32x-dZyP
std_1589439339755_2794,jWE9-EQ3n
std_1589439341760_2795,c72d-MDQ6
std_1589439343764_2796,kBzN-42Vk
std_1589439345794_2797,s4xj-7r2N
std_1589439347801_2798,MTGi-DoiY
std_1589439349805_2799,r8qy-3Z96
std_1589439351810_2800,FswF-wfEH
std_1589439355819_2802,zKzp-F43U
std_1589439357824_2803,32n3-u9jt
std_1589439359829_2804,keKn-9AdJ
std_1589439361834_2805,64jD-8PW7
std_1589439363839_2806,gU9D-Zr7e
std_1589439365842_2807,U9s4-7V23
std_1589439367847_2808,737C-e426
std_1589439369853_2809,eZgb-x2J8
std_1589439371856_2810,6x74-Li2G
std_1589439373861_2811,cRKQ-qe2W
std_1589439375867_2812,pwea-s3Zr
std_1589439377872_2813,tk2Y-u7da
std_1589439381880_2815,RpE9-8KzR
std_1589439383886_2816,wGtf-V3mb
std_1589439385892_2817,3yDg-Cwm6
std_1589439387896_2818,3yVs-3c4E
std_1589439389899_2819,98Uh-6PbF
std_1589439391904_2820,ukiF-ta6s
std_1589439393910_2821,K8WV-z63e
std_1589439395914_2822,738c-82Le
std_1589439397918_2823,6A2s-Fyk6
std_1589439399923_2824,7m47-yrf9
std_1589439401929_2825,drtL-6vX6
std_1589439403934_2826,9dug-bRFh
std_1589439405938_2827,UwRW-7NAb
std_1589439407942_2828,9CHu-sxvp
std_1589439409948_2829,Zdz4-t2kd
std_1589439411952_2830,7AuM-kMmz
std_1589439413956_2831,kn96-263B
std_1589439415961_2832,txwZ-9NCt
std_1589439417965_2833,BYRy-URsQ
std_1589439419971_2834,a6BM-QGoa
std_1589439421975_2835,6zC8-9E2D
std_1589439423980_2836,Vj3B-W8vo
std_1589439425985_2837,MQxi-zVLP
std_1589439427990_2838,tznr-B6H6
std_1589439429994_2839,vaks-8PuJ
std_1589439432002_2840,Et92-Zqwm
std_1589439434004_2841,Cxgv-em4f
std_1589439436009_2842,ZnQ3-9D92
std_1589439438013_2843,x4wJ-48oX
std_1589439440019_2844,FcMg-zdvn
std_1589439442024_2845,hFHh-am3i
std_1589439444030_2846,pqEs-gGju
std_1589439448041_2848,zUnH-GTZQ
std_1589439450045_2849,s767-n7Z8
std_1589439454056_2851,MDXD-ZGzA
std_1589439456060_2852,6eq2-YwY2
std_1589439458076_2853,94KU-B6Zs
std_1589439460083_2854,9N42-92ys
std_1589439464095_2856,PUY3-7p2L
std_1589439466101_2857,uH9R-Xp69
std_1589439468110_2858,3vTi-hWFi
std_1589439470115_2859,pqQK-Y7Fu
std_1589439472124_2860,WYBp-WjEV
std_1589439476133_2862,jZ4W-KD69
std_1589439480144_2864,mMHK-ko7Y
std_1589439482150_2865,pzat-c2Yd
std_1589439484154_2866,GDg4-W9AU
std_1589439486159_2867,qsRm-Xfsm
std_1589439488163_2868,67F7-zW7Z
std_1589439490169_2869,ft2z-7HF3
std_1589439492176_2870,CEC6-VgcF
std_1589439494179_2871,2uDf-9TxZ
std_1589439498189_2873,R7R7-3dF9
std_1589439500195_2874,FE6o-pRAi
std_1589439502200_2875,dsT2-HnjW
std_1589439504203_2876,KaVC-gAQ7
std_1589439506208_2877,2F76-gb6D
std_1589439508215_2878,j2cg-JbVM
std_1589439510219_2879,82h8-z2WB
std_1589439512223_2880,x2Yw-v7YB
std_1589439514229_2881,guH4-NKa7
std_1589439516234_2882,mhZs-C3nw
std_1589439518239_2883,WGDA-vA46
std_1589439520243_2884,8ver-c2mv
std_1589439522248_2885,8Acn-qKX4
std_1589439524253_2886,pQEW-KPCj
std_1589439526258_2887,Pfv7-QK6Q
std_1589439528263_2888,KTv9-ve3G
