teacherextuserid,classtitle,classcode,category,pe_category,pe_end_index,category_type
tch_L7_20240201-202034_46,class_L7_20240201-202034_46,zwxQ-ayEY,L7,l7pe,3,L
tch_H1_20240205-205820_87,class_H1_20240205-205820_87,Y3va-eURb,H1,h1pe,7,H
tch_L7_20240205-203520_47,class_L7_20240205-203520_47,2YKw-XHjx,L7,l7pe,3,L
tch_M3_20240130-202449_74,class_M3_20240130-202449_74,K4Xh-p96n,M3,m3pe,5,M
tch_L2_20240314-180451_17,class_L2_20240314-180451_17,o42F-2z4A,L2,l2pe,5,L
tch_L9_20240117-195400_4,class_L9_20240117-195400_4,2Bh6-89sg,L9,l9pe,3,L
tch_L3_20240104-171321_23,class_L3_20240104-171321_23,sb6b-m83F,L3,l3pe,7,L
tch_H5_20240304-175551_99,class_H5_20240304-175551_99,QT2f-r3uL,H5,h5pe,7,H
tch_M3_20240314-180451_178,class_M3_20240314-180451_178,43vD-9Mvq,M3,m3pe,5,M
tch_L7_20240201-182440_36,class_L7_20240201-182440_36,6fuU-72gt,L7,l7pe,3,L
tch_M2_20240201-202034_71,class_M2_20240201-202034_71,WD2P-j6Gd,M2,m2pe,11,M
tch_M3_20240201-190951_74,class_M3_20240201-190951_74,96VJ-rLBM,M3,m3pe,5,M
tch_L2_20240304-175551_21,class_L2_20240304-175551_21,93zW-aM7T,L2,l2pe,5,L
tch_L2_20240201-190951_21,class_L2_20240201-190951_21,2T8G-8wqh,L2,l2pe,5,L
tch_L3_20240201-182440_29,class_L3_20240201-182440_29,T6HR-4X2B,L3,l3pe,7,L
tch_L2_20240104-171321_20,class_L2_20240104-171321_20,H97T-283k,L2,l2pe,5,L
tch_L8_20240131-174940_51,context_class_L8_20240131-174940_51,yu2b-4an8,L8,l8pe,4,L
tch_M2_20240105-173130_60,class_M2_20240105-173130_60,XMA6-9d6r,M2,m2pe,11,M
tch_L1_20240305-102910_114,class_L1_20240305-102910_114,puA8-46L6,L1,l1pe,3,L
tch_L1_20240130-202449_15,class_L1_20240130-202449_15,3hy8-Qbe3,L1,l1pe,3,L
tch_L9_20240308-101527_165,class_L9_20240308-101527_165,9s8N-4wM6,L9,l9pe,3,L
tch_L9_20240314-180451_60,class_L9_20240314-180451_60,WJ6r-JE8r,L9,l9pe,3,L
tch_L1_20240314-180451_2,class_L1_20240314-180451_2,62BN-f2YT,L1,l1pe,3,L
tch_L1_20240305-102910_1,class_L1_20240305-102910_1,beuB-WEG2,L1,l1pe,3,L
tch_L8_20240205-205820_58,class_L8_20240205-205820_58,gmV4-PXPb,L8,l8pe,4,L
tch_L9_20240131-171252_64,context_class_L9_20240131-171252_64,Jp2M-gbQi,L9,l9pe,3,L
tch_H4_20240308-101527_197,class_H4_20240308-101527_197,Qi3N-WuKu,H4,h4pe,10,H
tch_L1_20240205-203520_11,class_L1_20240205-203520_11,4yLB-i8D6,L1,l1pe,3,L
tch_L1_20240308-101527_107,class_L1_20240308-101527_107,Y2mk-2kvc,L1,l1pe,3,L
tch_M3_20240105-161058_62,class_M3_20240105-161058_62,Vh8r-k4vu,M3,m3pe,5,M
tch_H5_20240130-184533_99,class_H5_20240130-184533_99,MyN2-C9GX,H5,h5pe,7,H
tch_L3_20240201-190951_30,class_L3_20240201-190951_30,XtAf-Lkwd,L3,l3pe,7,L
tch_H2_20240201-182440_90,class_H2_20240201-182440_90,726k-wroT,H2,h2pe,17,H
tch_L8_20240118-160029_95,class_L8_20240118-160029_95,N89W-Fhtb,L8,l8pe,4,L
tch_L7_20240205-195359_35,class_L7_20240205-195359_35,94G3-Vb27,L7,l7pe,3,L
tch_L1_20240201-182440_14,class_L1_20240201-182440_14,x2gY-wyWt,L1,l1pe,3,L
tch_L9_20240308-101527_160,class_L9_20240308-101527_160,NA8Q-9c3s,L9,l9pe,3,L
tch_L7_20240119-113354_37,class_L7_20240119-113354_37,XNiZ-puEc,L7,l7pe,3,L
tch_H1_20240305-102910_185,class_H1_20240305-102910_185,o9mD-Ebn2,H1,h1pe,7,H
tch_L2_20240201-190951_17,class_L2_20240201-190951_17,gx24-VKD2,L2,l2pe,5,L
tch_L3_20240205-203520_31,class_L3_20240205-203520_31,6faH-2iRp,L3,l3pe,7,L
tch_M5_20240314-195444_83,class_M5_20240314-195444_83,Yv69-Txmz,M5,m5pe,4,M
tch_H1_20240305-102910_85,class_H1_20240305-102910_85,UQ7G-JpnM,H1,h1pe,7,H
tch_M3_20240104-171321_61,class_M3_20240104-171321_61,dPi2-42b4,M3,m3pe,5,M
tch_L3_20240308-101527_130,class_L3_20240308-101527_130,bBNc-eN76,L3,l3pe,7,L
tch_L8_20240201-182440_58,class_L8_20240201-182440_58,8sa3-63a9,L8,l8pe,4,L
tch_L7_20240131-174940_37,context_class_L7_20240131-174940_37,EF28-Ap2d,L7,l7pe,3,L
tch_L2_20240130-202449_25,class_L2_20240130-202449_25,CN7F-a2YB,L2,l2pe,5,L
tch_H2_20240308-101527_90,class_H2_20240308-101527_90,pYmh-qK7f,H2,h2pe,17,H
tch_L1_20240314-180451_107,class_L1_20240314-180451_107,HiCA-kj9G,L1,l1pe,3,L
tch_L3_20240124-200226_29,class_L3_20240124-200226_29,ZU9J-Rn4Q,L3,l3pe,7,L
tch_L8_20240201-190951_54,class_L8_20240201-190951_54,aM9y-7pmp,L8,l8pe,4,L
tch_L1_20240308-101527_2,class_L1_20240308-101527_2,7Z3m-3Yyi,L1,l1pe,3,L
tch_L7_20240119-103128_75,class_L7_20240119-103128_75,zrbd-3cQg,L7,l7pe,3,L
tch_L3_20240130-202449_29,class_L3_20240130-202449_29,as3s-K38p,L3,l3pe,7,L
tch_H5_20240304-175551_199,class_H5_20240304-175551_199,bEd4-hj9q,H5,h5pe,7,H
tch_M5_20240201-202034_82,class_M5_20240201-202034_82,uk2n-XfXF,M5,m5pe,4,M
tch_L3_20240201-202034_32,class_L3_20240201-202034_32,BW6h-7AZo,L3,l3pe,7,L
tch_L7_20240205-205820_40,class_L7_20240205-205820_40,YcLr-CoCr,L7,l7pe,3,L
tch_L8_20240205-205820_51,class_L8_20240205-205820_51,hMW6-kdyd,L8,l8pe,4,L
tch_H3_20240201-182440_95,class_H3_20240201-182440_95,9Kqe-RLQf,H3,h3pe,9,H
tch_L2_20240201-182440_22,class_L2_20240201-182440_22,UATu-6b2v,L2,l2pe,5,L
tch_L7_20240131-174940_45,context_class_L7_20240131-174940_45,9cmf-PiJo,L7,l7pe,3,L
tch_L8_20240201-182440_55,class_L8_20240201-182440_55,jkqg-4RJK,L8,l8pe,4,L
tch_M5_20240130-184533_84,class_M5_20240130-184533_84,9BeD-2ARu,M5,m5pe,4,M
tch_L3_20240304-175551_29,class_L3_20240304-175551_29,7dR6-8D89,L3,l3pe,7,L
tch_L8_20240131-171252_51,context_class_L8_20240131-171252_51,W8BJ-68Z7,L8,l8pe,4,L
tch_L1_20240201-190951_11,class_L1_20240201-190951_11,Jkd8-YBar,L1,l1pe,3,L
tch_L2_20240124-200226_17,class_L2_20240124-200226_17,HK26-UhLF,L2,l2pe,5,L
tch_H4_20240201-202034_97,class_H4_20240201-202034_97,2cgf-cNWh,H4,h4pe,10,H
tch_H1_20240314-180451_89,class_H1_20240314-180451_89,foXU-bZyf,H1,h1pe,7,H
tch_L3_20240104-161036_29,class_L3_20240104-161036_29,VBk3-iYBn,L3,l3pe,7,L
tch_L8_20240308-101527_155,class_L8_20240308-101527_155,7Edv-c8T9,L8,l8pe,4,L
tch_L2_20240205-195359_24,class_L2_20240205-195359_24,A4jr-gak4,L2,l2pe,5,L
tch_L8_20240131-171252_57,context_class_L8_20240131-171252_57,8L9o-h3cF,L8,l8pe,4,L
tch_M3_20240124-200226_78,class_M3_20240124-200226_78,rTC2-AsHJ,M3,m3pe,5,M
tch_L7_20240201-202034_35,class_L7_20240201-202034_35,fXKY-JG64,L7,l7pe,3,L
tch_L8_20240308-101527_158,class_L8_20240308-101527_158,6TvX-9Rh9,L8,l8pe,4,L
tch_M3_20240205-205820_78,class_M3_20240205-205820_78,j7ir-24oM,M3,m3pe,5,M
tch_M2_20240130-184533_73,class_M2_20240130-184533_73,rAtD-GJzR,M2,m2pe,11,M
tch_L7_20240304-175551_35,class_L7_20240304-175551_35,j6zC-7gzn,L7,l7pe,3,L
tch_L9_20240305-102910_159,class_L9_20240305-102910_159,7ec9-QVKi,L9,l9pe,3,L
tch_H4_20240314-180451_97,class_H4_20240314-180451_97,dguV-q3JK,H4,h4pe,10,H
tch_L9_20240201-190951_62,class_L9_20240201-190951_62,823R-i26G,L9,l9pe,3,L
tch_M1_20240131-174940_70,context_class_M1_20240131-174940_70,nier-78yp,M1,m1pe,11,M
tch_L2_20240105-173130_20,class_L2_20240105-173130_20,T7rc-x678,L2,l2pe,5,L
tch_L7_20240130-202449_47,class_L7_20240130-202449_47,P6X7-486o,L7,l7pe,3,L
tch_L9_20240305-102910_59,class_L9_20240305-102910_59,496o-6oB4,L9,l9pe,3,L
tch_H1_20240305-102910_88,class_H1_20240305-102910_88,B3kb-on39,H1,h1pe,7,H
tch_L1_20240314-180451_112,class_L1_20240314-180451_112,8MkE-3m67,L1,l1pe,3,L
tch_L3_20240105-151148_29,class_L3_20240105-151148_29,6h87-uXF4,L3,l3pe,7,L
tch_L2_20240131-174940_22,context_class_L2_20240131-174940_22,qQDy-2X4n,L2,l2pe,5,L
tch_L9_20240117-195400_75,class_L9_20240117-195400_75,QUAd-LH9k,L9,l9pe,3,L
tch_L7_20240131-174940_35,context_class_L7_20240131-174940_35,d9Ww-MYkW,L7,l7pe,3,L
tch_L2_20240305-102910_117,class_L2_20240305-102910_117,NX67-69q8,L2,l2pe,5,L
tch_L9_20240205-195359_67,class_L9_20240205-195359_67,Gg4Q-827e,L9,l9pe,3,L
tch_M1_20240205-205820_70,class_M1_20240205-205820_70,ZU3f-b2Hn,M1,m1pe,11,M
tch_L7_20240308-101527_136,class_L7_20240308-101527_136,zQCL-yarG,L7,l7pe,3,L
tch_L2_20240131-171252_27,context_class_L2_20240131-171252_27,brNh-QZKX,L2,l2pe,5,L
tch_M2_20240201-190951_73,class_M2_20240201-190951_73,tf2b-xcdt,M2,m2pe,11,M
tch_L7_20240119-103128_57,class_L7_20240119-103128_57,iYsT-9XZR,L7,l7pe,3,L
tch_L8_20240130-202449_51,class_L8_20240130-202449_51,83Gq-s3sk,L8,l8pe,4,L
tch_M3_20240314-195444_176,class_M3_20240314-195444_176,4hRf-dEFL,M3,m3pe,5,M
tch_L7_20240308-101527_48,class_L7_20240308-101527_48,wf93-D6U3,L7,l7pe,3,L
tch_L2_20240305-102910_122,class_L2_20240305-102910_122,B4Wu-AD93,L2,l2pe,5,L
tch_L3_20240131-174940_31,context_class_L3_20240131-174940_31,4W9e-oxzX,L3,l3pe,7,L
tch_L2_20240201-190951_27,class_L2_20240201-190951_27,HteN-283n,L2,l2pe,5,L
tch_L2_20240314-180451_25,class_L2_20240314-180451_25,a9w9-mAHm,L2,l2pe,5,L
tch_H3_20240308-101527_96,class_H3_20240308-101527_96,6D8g-yahT,H3,h3pe,9,H
tch_L8_20240118-160029_117,class_L8_20240118-160029_117,BchY-9yUm,L8,l8pe,4,L
tch_L2_20240124-200226_24,class_L2_20240124-200226_24,T3C9-FMoN,L2,l2pe,5,L
tch_L1_20240304-175551_12,class_L1_20240304-175551_12,3i7q-vkKi,L1,l1pe,3,L
tch_M5_20240201-182440_83,class_M5_20240201-182440_83,dJTs-Kg9E,M5,m5pe,4,M
tch_L7_20240314-180451_42,class_L7_20240314-180451_42,26nf-jPkq,L7,l7pe,3,L
tch_L9_20240305-102910_63,class_L9_20240305-102910_63,Q8bY-PR6X,L9,l9pe,3,L
tch_H5_20240123-124557_10,class_H5_20240123-124557_10,3mnJ-67n8,H5,h5pe,7,H
tch_H1_20240205-203520_88,class_H1_20240205-203520_88,3Ey9-KC7n,H1,h1pe,7,H
tch_L7_20240130-202449_44,class_L7_20240130-202449_44,7rxZ-nPFa,L7,l7pe,3,L
tch_H1_20240314-180451_186,class_H1_20240314-180451_186,MgN6-26zK,H1,h1pe,7,H
tch_L9_20240117-195400_62,class_L9_20240117-195400_62,3XcR-47kT,L9,l9pe,3,L
tch_L1_20240308-101527_102,class_L1_20240308-101527_102,PrL2-u4Qc,L1,l1pe,3,L
tch_M5_20240205-203520_81,class_M5_20240205-203520_81,RT8K-QnHg,M5,m5pe,4,M
tch_H2_20240305-102910_191,class_H2_20240305-102910_191,VQMb-FXe4,H2,h2pe,17,H
tch_L7_20240205-205820_45,class_L7_20240205-205820_45,D9ZR-rden,L7,l7pe,3,L
tch_M3_20240205-195359_78,class_M3_20240205-195359_78,bLJe-isis,M3,m3pe,5,M
tch_L8_20240201-182440_52,class_L8_20240201-182440_52,GhiA-h9T4,L8,l8pe,4,L
tch_L7_20240305-102910_145,class_L7_20240305-102910_145,Fk3y-faTu,L7,l7pe,3,L
tch_L9_20240205-203520_60,class_L9_20240205-203520_60,gYrP-jGLc,L9,l9pe,3,L
tch_L7_20240308-101527_140,class_L7_20240308-101527_140,AF7e-3P42,L7,l7pe,3,L
tch_H4_20240201-182440_97,class_H4_20240201-182440_97,W8k7-xA2t,H4,h4pe,10,H
tch_L8_20240308-101527_53,class_L8_20240308-101527_53,xqg9-BQVh,L8,l8pe,4,L
tch_H1_20240131-171252_87,context_class_H1_20240131-171252_87,dGAc-2eV7,H1,h1pe,7,H
tch_H3_20240205-205820_93,class_H3_20240205-205820_93,n2q4-vz7H,H3,h3pe,9,H
tch_L2_20240205-205820_20,class_L2_20240205-205820_20,vLD3-gBM4,L2,l2pe,5,L
tch_L1_20240201-190951_3,class_L1_20240201-190951_3,Fp2j-8s9z,L1,l1pe,3,L
tch_L2_20240205-195359_17,class_L2_20240205-195359_17,ETtP-d92y,L2,l2pe,5,L
tch_M4_20240131-174940_79,context_class_M4_20240131-174940_79,L72C-3WrN,M4,m4pe,13,M
tch_L2_20240308-101527_22,class_L2_20240308-101527_22,k3Ab-UBez,L2,l2pe,5,L
tch_L8_20240124-200226_52,class_L8_20240124-200226_52,eLg9-7tfg,L8,l8pe,4,L
tch_H3_20240308-101527_92,class_H3_20240308-101527_92,Nxdk-YZUd,H3,h3pe,9,H
tch_M2_20240103-170558_60,class_M2_20240103-170558_60,FDPd-F4qU,M2,m2pe,11,M
tch_L7_20240305-102910_140,class_L7_20240305-102910_140,qG4s-nZtP,L7,l7pe,3,L
tch_L8_20240130-184533_51,class_L8_20240130-184533_51,apZf-tZ4J,L8,l8pe,4,L
tch_L7_20240201-190951_41,class_L7_20240201-190951_41,4u2Q-7H32,L7,l7pe,3,L
tch_M3_20240131-171252_77,context_class_M3_20240131-171252_77,cu6g-KbAD,M3,m3pe,5,M
tch_M5_20240314-195444_182,class_M5_20240314-195444_182,MwmM-92ev,M5,m5pe,4,M
tch_L1_20240131-171252_3,context_class_L1_20240131-171252_3,PmZX-zjao,L1,l1pe,3,L
tch_M3_20240314-195444_175,class_M3_20240314-195444_175,g96N-XUzs,M3,m3pe,5,M
tch_L9_20240305-102910_166,class_L9_20240305-102910_166,Pi9U-Ma2w,L9,l9pe,3,L
tch_M2_20240130-184533_71,class_M2_20240130-184533_71,V9rA-2Bmv,M2,m2pe,11,M
tch_L1_20240105-151148_5,class_L1_20240105-151148_5,VU6n-Lkfk,L1,l1pe,3,L
tch_L1_20240314-180451_6,class_L1_20240314-180451_6,8uK4-tQ9A,L1,l1pe,3,L
tch_H1_20240314-180451_189,class_H1_20240314-180451_189,s8vg-4sXC,H1,h1pe,7,H
tch_L2_20240205-203520_19,class_L2_20240205-203520_19,rvh4-BFft,L2,l2pe,5,L
tch_L9_20240130-184533_62,class_L9_20240130-184533_62,J7CV-Cnsz,L9,l9pe,3,L
tch_L8_20240131-171252_53,context_class_L8_20240131-171252_53,9mtn-7Kje,L8,l8pe,4,L
