tchextid,studuuid,stdextid,classtitle,classcode,ag1,ag2,ag3,ag4,ag5,groupid
tch_20200625-194027_2,5366dad3-b6ef-11ea-94cc-0242ac110002,std_1593094960572_2,class_20200625-194027_2,aoaf-9NAq,e3d679c8-e7ac-44f5-b408-27678a1611ef,ec364678-6f97-4ef0-b0d8-a3d4a9701939,007ad82b-408d-4600-84a9-5552be065861,416f0cb9-0ddc-4d8c-876a-83094e604e0c,2a0f55ac-1425-42a1-9582-608fa4ee853a,0b818c23-9418-43d0-9faf-f8b1efd774a2
tch_20200625-194027_3,5dee2ae3-b6ef-11ea-94cc-0242ac110002,std_1593094978218_3,class_20200625-194027_3,8X7z-2hZY,5bde54a5-656f-413c-9ff7-1b196dfce561,9b662a96-c513-4bab-b27d-6391ba3faacb,f07e24e9-a5f0-4c34-bf50-cb251e014ade,70090143-d7e5-4a3f-a43a-ebaafee94192,125161a6-8be7-4add-9942-eb8142fb1c98,3d78e3fc-d08d-4498-8a1e-d87b504c761e
tch_20200625-194027_1,62d868b0-b6ef-11ea-840b-0242ac110002,std_1593094986526_1,class_20200625-194027_1,AeM6-zV3G,9acc5c54-1cb5-440f-8dfb-26567b9aa5ac,51b77ce9-6131-469f-8ecf-8ed35046dca6,c76f2d7c-d285-49f5-a53e-94a5a867b2db,5bd25de6-46bd-4c0b-baf7-51e226882503,a4992d4f-c695-49a0-b96a-0380bb7e575e,8c8f4f2a-c370-4d69-8b5e-207d23ce8e76
tch_20200625-194027_4,6918991c-b6ef-11ea-94cc-0242ac110002,std_1593094996987_4,class_20200625-194027_4,Cuvb-47qn,6fda09ba-84d0-40a4-aa66-7f14691cb0ac,5be09772-2304-4904-a5ee-a3b73d76f155,fbfe86bb-d04d-4f94-aedc-972ac65e791c,8ea8e8d3-38e1-4c26-8b30-f47985b8d7db,f5b1c57e-09ac-4e30-ab23-9b78fbfd7215,9c27bcd7-73c7-4353-af92-39524aa234fc
tch_20200625-194027_3,6ee6cdd1-b6ef-11ea-94cc-0242ac110002,std_1593095006736_3,class_20200625-194027_3,8X7z-2hZY,5bde54a5-656f-413c-9ff7-1b196dfce561,9b662a96-c513-4bab-b27d-6391ba3faacb,f07e24e9-a5f0-4c34-bf50-cb251e014ade,70090143-d7e5-4a3f-a43a-ebaafee94192,125161a6-8be7-4add-9942-eb8142fb1c98,3d78e3fc-d08d-4498-8a1e-d87b504c761e
tch_20200625-194027_1,73d5c595-b6ef-11ea-94cc-0242ac110002,std_1593095015002_1,class_20200625-194027_1,AeM6-zV3G,9acc5c54-1cb5-440f-8dfb-26567b9aa5ac,51b77ce9-6131-469f-8ecf-8ed35046dca6,c76f2d7c-d285-49f5-a53e-94a5a867b2db,5bd25de6-46bd-4c0b-baf7-51e226882503,a4992d4f-c695-49a0-b96a-0380bb7e575e,8c8f4f2a-c370-4d69-8b5e-207d23ce8e76
tch_20200625-194027_2,74432e21-b6ef-11ea-94cc-0242ac110002,std_1593095015716_2,class_20200625-194027_2,aoaf-9NAq,e3d679c8-e7ac-44f5-b408-27678a1611ef,ec364678-6f97-4ef0-b0d8-a3d4a9701939,007ad82b-408d-4600-84a9-5552be065861,416f0cb9-0ddc-4d8c-876a-83094e604e0c,2a0f55ac-1425-42a1-9582-608fa4ee853a,f4f0a973-45e1-42aa-b442-92319738684c
tch_20200625-194027_4,7a4df65c-b6ef-11ea-94cc-0242ac110002,std_1593095025868_4,class_20200625-194027_4,Cuvb-47qn,6fda09ba-84d0-40a4-aa66-7f14691cb0ac,5be09772-2304-4904-a5ee-a3b73d76f155,fbfe86bb-d04d-4f94-aedc-972ac65e791c,8ea8e8d3-38e1-4c26-8b30-f47985b8d7db,f5b1c57e-09ac-4e30-ab23-9b78fbfd7215,9c27bcd7-73c7-4353-af92-39524aa234fc
tch_20200625-194027_1,83119dde-b6ef-11ea-94cc-0242ac110002,std_1593095040515_1,class_20200625-194027_1,AeM6-zV3G,9acc5c54-1cb5-440f-8dfb-26567b9aa5ac,51b77ce9-6131-469f-8ecf-8ed35046dca6,c76f2d7c-d285-49f5-a53e-94a5a867b2db,5bd25de6-46bd-4c0b-baf7-51e226882503,a4992d4f-c695-49a0-b96a-0380bb7e575e,8c8f4f2a-c370-4d69-8b5e-207d23ce8e76
tch_20200625-194027_3,7fefc3bc-b6ef-11ea-840b-0242ac110002,std_1593095035322_3,class_20200625-194027_3,8X7z-2hZY,5bde54a5-656f-413c-9ff7-1b196dfce561,9b662a96-c513-4bab-b27d-6391ba3faacb,f07e24e9-a5f0-4c34-bf50-cb251e014ade,70090143-d7e5-4a3f-a43a-ebaafee94192,125161a6-8be7-4add-9942-eb8142fb1c98,3d78e3fc-d08d-4498-8a1e-d87b504c761e
tch_20200625-194027_2,83c5d2ad-b6ef-11ea-840b-0242ac110002,std_1593095041750_2,class_20200625-194027_2,aoaf-9NAq,e3d679c8-e7ac-44f5-b408-27678a1611ef,ec364678-6f97-4ef0-b0d8-a3d4a9701939,007ad82b-408d-4600-84a9-5552be065861,416f0cb9-0ddc-4d8c-876a-83094e604e0c,2a0f55ac-1425-42a1-9582-608fa4ee853a,f4f0a973-45e1-42aa-b442-92319738684c
tch_20200625-194027_4,8861050e-b6ef-11ea-94cc-0242ac110002,std_1593095049495_4,class_20200625-194027_4,Cuvb-47qn,6fda09ba-84d0-40a4-aa66-7f14691cb0ac,5be09772-2304-4904-a5ee-a3b73d76f155,fbfe86bb-d04d-4f94-aedc-972ac65e791c,8ea8e8d3-38e1-4c26-8b30-f47985b8d7db,f5b1c57e-09ac-4e30-ab23-9b78fbfd7215,9c27bcd7-73c7-4353-af92-39524aa234fc
tch_20200625-194027_5,90842676-b6ef-11ea-840b-0242ac110002,std_1593095063116_5,class_20200625-194027_5,zE8U-mcnF,9e8247a1-6a57-469c-acc3-a91649c4c481,ffb3a7ab-6486-439f-a00c-72cf2984c4ef,31bdc6f4-2d95-4bad-975d-3e323b3a4a38,0b042a35-92e6-4e29-b926-a5758f44cb49,1b225548-27df-4117-89e7-42e1f28be2d9,32a882d6-711e-4f4e-8e77-f640f03d87e6
tch_20200625-194027_2,93e04a4f-b6ef-11ea-840b-0242ac110002,std_1593095068772_2,class_20200625-194027_2,aoaf-9NAq,e3d679c8-e7ac-44f5-b408-27678a1611ef,ec364678-6f97-4ef0-b0d8-a3d4a9701939,007ad82b-408d-4600-84a9-5552be065861,416f0cb9-0ddc-4d8c-876a-83094e604e0c,2a0f55ac-1425-42a1-9582-608fa4ee853a,f4f0a973-45e1-42aa-b442-92319738684c
tch_20200625-194027_4,984997b7-b6ef-11ea-840b-0242ac110002,std_1593095076177_4,class_20200625-194027_4,Cuvb-47qn,6fda09ba-84d0-40a4-aa66-7f14691cb0ac,5be09772-2304-4904-a5ee-a3b73d76f155,fbfe86bb-d04d-4f94-aedc-972ac65e791c,8ea8e8d3-38e1-4c26-8b30-f47985b8d7db,f5b1c57e-09ac-4e30-ab23-9b78fbfd7215,9c27bcd7-73c7-4353-af92-39524aa234fc
tch_20200625-194027_5,a0455a8b-b6ef-11ea-840b-0242ac110002,std_1593095089560_5,class_20200625-194027_5,zE8U-mcnF,9e8247a1-6a57-469c-acc3-a91649c4c481,ffb3a7ab-6486-439f-a00c-72cf2984c4ef,31bdc6f4-2d95-4bad-975d-3e323b3a4a38,0b042a35-92e6-4e29-b926-a5758f44cb49,1b225548-27df-4117-89e7-42e1f28be2d9,32a882d6-711e-4f4e-8e77-f640f03d87e6
tch_20200625-194027_3,a170bb5a-b6ef-11ea-94cc-0242ac110002,std_1593095091540_3,class_20200625-194027_3,8X7z-2hZY,5bde54a5-656f-413c-9ff7-1b196dfce561,9b662a96-c513-4bab-b27d-6391ba3faacb,f07e24e9-a5f0-4c34-bf50-cb251e014ade,70090143-d7e5-4a3f-a43a-ebaafee94192,125161a6-8be7-4add-9942-eb8142fb1c98,01da1fdf-63cd-49e0-a633-5912ef17cbba
tch_20200625-194027_2,a449f25d-b6ef-11ea-840b-0242ac110002,std_1593095096314_2,class_20200625-194027_2,aoaf-9NAq,e3d679c8-e7ac-44f5-b408-27678a1611ef,ec364678-6f97-4ef0-b0d8-a3d4a9701939,007ad82b-408d-4600-84a9-5552be065861,416f0cb9-0ddc-4d8c-876a-83094e604e0c,2a0f55ac-1425-42a1-9582-608fa4ee853a,f4f0a973-45e1-42aa-b442-92319738684c
tch_20200625-194027_1,a33e4ef8-b6ef-11ea-840b-0242ac110002,std_1593095094563_1,class_20200625-194027_1,AeM6-zV3G,9acc5c54-1cb5-440f-8dfb-26567b9aa5ac,51b77ce9-6131-469f-8ecf-8ed35046dca6,c76f2d7c-d285-49f5-a53e-94a5a867b2db,5bd25de6-46bd-4c0b-baf7-51e226882503,a4992d4f-c695-49a0-b96a-0380bb7e575e,1a225b40-c572-4e6c-a1a2-20a6f4616b4d
tch_20200625-194027_5,b130dde8-b6ef-11ea-94cc-0242ac110002,std_1593095117943_5,class_20200625-194027_5,zE8U-mcnF,9e8247a1-6a57-469c-acc3-a91649c4c481,ffb3a7ab-6486-439f-a00c-72cf2984c4ef,31bdc6f4-2d95-4bad-975d-3e323b3a4a38,0b042a35-92e6-4e29-b926-a5758f44cb49,1b225548-27df-4117-89e7-42e1f28be2d9,32a882d6-711e-4f4e-8e77-f640f03d87e6
tch_20200625-194027_3,b2b16350-b6ef-11ea-94cc-0242ac110002,std_1593095120471_3,class_20200625-194027_3,8X7z-2hZY,5bde54a5-656f-413c-9ff7-1b196dfce561,9b662a96-c513-4bab-b27d-6391ba3faacb,f07e24e9-a5f0-4c34-bf50-cb251e014ade,70090143-d7e5-4a3f-a43a-ebaafee94192,125161a6-8be7-4add-9942-eb8142fb1c98,01da1fdf-63cd-49e0-a633-5912ef17cbba
tch_20200625-194027_6,b36dae3f-b6ef-11ea-840b-0242ac110002,std_1593095121710_6,class_20200625-194027_6,u9Ta-LZz7,b7352025-8e18-4a50-838d-d3cbfe83c62a,59ff06d2-4511-406e-860b-28695c425f44,acbbef4b-4f83-497f-8fe7-92657d289716,88aea2ce-47fe-4b83-90ea-76dbf0f325ae,d7de19b5-b88a-4c85-a525-e7749987adbf,0c9523b1-5963-4961-842c-a06287888d66
tch_20200625-194027_1,b3f491a9-b6ef-11ea-94cc-0242ac110002,std_1593095122585_1,class_20200625-194027_1,AeM6-zV3G,9acc5c54-1cb5-440f-8dfb-26567b9aa5ac,51b77ce9-6131-469f-8ecf-8ed35046dca6,c76f2d7c-d285-49f5-a53e-94a5a867b2db,5bd25de6-46bd-4c0b-baf7-51e226882503,a4992d4f-c695-49a0-b96a-0380bb7e575e,1a225b40-c572-4e6c-a1a2-20a6f4616b4d
tch_20200625-194027_4,b9714b26-b6ef-11ea-94cc-0242ac110002,std_1593095131680_4,class_20200625-194027_4,Cuvb-47qn,6fda09ba-84d0-40a4-aa66-7f14691cb0ac,5be09772-2304-4904-a5ee-a3b73d76f155,fbfe86bb-d04d-4f94-aedc-972ac65e791c,8ea8e8d3-38e1-4c26-8b30-f47985b8d7db,f5b1c57e-09ac-4e30-ab23-9b78fbfd7215,25655905-09d9-4dab-9ef9-9a7ab8b3e183
tch_20200625-194027_3,c304c534-b6ef-11ea-94cc-0242ac110002,std_1593095147867_3,class_20200625-194027_3,8X7z-2hZY,5bde54a5-656f-413c-9ff7-1b196dfce561,9b662a96-c513-4bab-b27d-6391ba3faacb,f07e24e9-a5f0-4c34-bf50-cb251e014ade,70090143-d7e5-4a3f-a43a-ebaafee94192,125161a6-8be7-4add-9942-eb8142fb1c98,01da1fdf-63cd-49e0-a633-5912ef17cbba
tch_20200625-194027_1,c5249824-b6ef-11ea-840b-0242ac110002,std_1593095151437_1,class_20200625-194027_1,AeM6-zV3G,9acc5c54-1cb5-440f-8dfb-26567b9aa5ac,51b77ce9-6131-469f-8ecf-8ed35046dca6,c76f2d7c-d285-49f5-a53e-94a5a867b2db,5bd25de6-46bd-4c0b-baf7-51e226882503,a4992d4f-c695-49a0-b96a-0380bb7e575e,1a225b40-c572-4e6c-a1a2-20a6f4616b4d
tch_20200625-194027_2,c2edba50-b6ef-11ea-94cc-0242ac110002,std_1593095147716_2,class_20200625-194027_2,aoaf-9NAq,e3d679c8-e7ac-44f5-b408-27678a1611ef,ec364678-6f97-4ef0-b0d8-a3d4a9701939,007ad82b-408d-4600-84a9-5552be065861,416f0cb9-0ddc-4d8c-876a-83094e604e0c,2a0f55ac-1425-42a1-9582-608fa4ee853a,3c11e88b-93b8-4891-9aea-6cca129f32f5
tch_20200625-194027_5,c2cd887d-b6ef-11ea-840b-0242ac110002,std_1593095147496_5,class_20200625-194027_5,zE8U-mcnF,9e8247a1-6a57-469c-acc3-a91649c4c481,ffb3a7ab-6486-439f-a00c-72cf2984c4ef,31bdc6f4-2d95-4bad-975d-3e323b3a4a38,0b042a35-92e6-4e29-b926-a5758f44cb49,1b225548-27df-4117-89e7-42e1f28be2d9,32a882d6-711e-4f4e-8e77-f640f03d87e6
tch_20200625-194027_6,c311bd98-b6ef-11ea-840b-0242ac110002,std_1593095147915_6,class_20200625-194027_6,u9Ta-LZz7,b7352025-8e18-4a50-838d-d3cbfe83c62a,59ff06d2-4511-406e-860b-28695c425f44,acbbef4b-4f83-497f-8fe7-92657d289716,88aea2ce-47fe-4b83-90ea-76dbf0f325ae,d7de19b5-b88a-4c85-a525-e7749987adbf,0c9523b1-5963-4961-842c-a06287888d66
tch_20200625-194027_4,c88a7f3a-b6ef-11ea-94cc-0242ac110002,std_1593095157099_4,class_20200625-194027_4,Cuvb-47qn,6fda09ba-84d0-40a4-aa66-7f14691cb0ac,5be09772-2304-4904-a5ee-a3b73d76f155,fbfe86bb-d04d-4f94-aedc-972ac65e791c,8ea8e8d3-38e1-4c26-8b30-f47985b8d7db,f5b1c57e-09ac-4e30-ab23-9b78fbfd7215,25655905-09d9-4dab-9ef9-9a7ab8b3e183
tch_20200625-194027_7,cb5d26d2-b6ef-11ea-840b-0242ac110002,std_1593095161805_7,class_20200625-194027_7,VX9i-v6Zu,73e18771-2722-432a-a9c0-b16a8a2dfbfd,ca160b3e-bf8c-4b37-8d7a-9b733ff3eeea,c6552adf-9830-46a7-9350-4666ea480421,e702fffb-b3f5-4a42-948b-a08f73a6dd83,877557ec-19cd-450a-a163-8b98b329e104,b8122df0-4fe9-4fd5-b6a3-87946d1f72e5
tch_20200625-194027_3,d26059ca-b6ef-11ea-840b-0242ac110002,std_1593095173637_3,class_20200625-194027_3,8X7z-2hZY,5bde54a5-656f-413c-9ff7-1b196dfce561,9b662a96-c513-4bab-b27d-6391ba3faacb,f07e24e9-a5f0-4c34-bf50-cb251e014ade,70090143-d7e5-4a3f-a43a-ebaafee94192,125161a6-8be7-4add-9942-eb8142fb1c98,01da1fdf-63cd-49e0-a633-5912ef17cbba
tch_20200625-194027_1,d30af0f6-b6ef-11ea-94cc-0242ac110002,std_1593095174759_1,class_20200625-194027_1,AeM6-zV3G,9acc5c54-1cb5-440f-8dfb-26567b9aa5ac,51b77ce9-6131-469f-8ecf-8ed35046dca6,c76f2d7c-d285-49f5-a53e-94a5a867b2db,5bd25de6-46bd-4c0b-baf7-51e226882503,a4992d4f-c695-49a0-b96a-0380bb7e575e,1a225b40-c572-4e6c-a1a2-20a6f4616b4d
tch_20200625-194027_4,d6bb009f-b6ef-11ea-840b-0242ac110002,std_1593095180947_4,class_20200625-194027_4,Cuvb-47qn,6fda09ba-84d0-40a4-aa66-7f14691cb0ac,5be09772-2304-4904-a5ee-a3b73d76f155,fbfe86bb-d04d-4f94-aedc-972ac65e791c,8ea8e8d3-38e1-4c26-8b30-f47985b8d7db,f5b1c57e-09ac-4e30-ab23-9b78fbfd7215,25655905-09d9-4dab-9ef9-9a7ab8b3e183
tch_20200625-194027_2,d3562b95-b6ef-11ea-94cc-0242ac110002,std_1593095175259_2,class_20200625-194027_2,aoaf-9NAq,e3d679c8-e7ac-44f5-b408-27678a1611ef,ec364678-6f97-4ef0-b0d8-a3d4a9701939,007ad82b-408d-4600-84a9-5552be065861,416f0cb9-0ddc-4d8c-876a-83094e604e0c,2a0f55ac-1425-42a1-9582-608fa4ee853a,3c11e88b-93b8-4891-9aea-6cca129f32f5
tch_20200625-194027_6,d4659fc6-b6ef-11ea-94cc-0242ac110002,std_1593095176825_6,class_20200625-194027_6,u9Ta-LZz7,b7352025-8e18-4a50-838d-d3cbfe83c62a,59ff06d2-4511-406e-860b-28695c425f44,acbbef4b-4f83-497f-8fe7-92657d289716,88aea2ce-47fe-4b83-90ea-76dbf0f325ae,d7de19b5-b88a-4c85-a525-e7749987adbf,0c9523b1-5963-4961-842c-a06287888d66
tch_20200625-194027_7,da7bd9f8-b6ef-11ea-94cc-0242ac110002,std_1593095187250_7,class_20200625-194027_7,VX9i-v6Zu,73e18771-2722-432a-a9c0-b16a8a2dfbfd,ca160b3e-bf8c-4b37-8d7a-9b733ff3eeea,c6552adf-9830-46a7-9350-4666ea480421,e702fffb-b3f5-4a42-948b-a08f73a6dd83,877557ec-19cd-450a-a163-8b98b329e104,b8122df0-4fe9-4fd5-b6a3-87946d1f72e5
tch_20200625-194027_5,e2958476-b6ef-11ea-94cc-0242ac110002,std_1593095200840_5,class_20200625-194027_5,zE8U-mcnF,9e8247a1-6a57-469c-acc3-a91649c4c481,ffb3a7ab-6486-439f-a00c-72cf2984c4ef,31bdc6f4-2d95-4bad-975d-3e323b3a4a38,0b042a35-92e6-4e29-b926-a5758f44cb49,1b225548-27df-4117-89e7-42e1f28be2d9,59851177-5f2a-4afc-b7ca-f54c59fb0eb2
tch_20200625-194027_4,e4941437-b6ef-11ea-840b-0242ac110002,std_1593095204172_4,class_20200625-194027_4,Cuvb-47qn,6fda09ba-84d0-40a4-aa66-7f14691cb0ac,5be09772-2304-4904-a5ee-a3b73d76f155,fbfe86bb-d04d-4f94-aedc-972ac65e791c,8ea8e8d3-38e1-4c26-8b30-f47985b8d7db,f5b1c57e-09ac-4e30-ab23-9b78fbfd7215,25655905-09d9-4dab-9ef9-9a7ab8b3e183
tch_20200625-194027_6,e5f8864d-b6ef-11ea-94cc-0242ac110002,std_1593095206510_6,class_20200625-194027_6,u9Ta-LZz7,b7352025-8e18-4a50-838d-d3cbfe83c62a,59ff06d2-4511-406e-860b-28695c425f44,acbbef4b-4f83-497f-8fe7-92657d289716,88aea2ce-47fe-4b83-90ea-76dbf0f325ae,d7de19b5-b88a-4c85-a525-e7749987adbf,0c9523b1-5963-4961-842c-a06287888d66
tch_20200625-194027_2,e5110c3a-b6ef-11ea-840b-0242ac110002,std_1593095204996_2,class_20200625-194027_2,aoaf-9NAq,e3d679c8-e7ac-44f5-b408-27678a1611ef,ec364678-6f97-4ef0-b0d8-a3d4a9701939,007ad82b-408d-4600-84a9-5552be065861,416f0cb9-0ddc-4d8c-876a-83094e604e0c,2a0f55ac-1425-42a1-9582-608fa4ee853a,3c11e88b-93b8-4891-9aea-6cca129f32f5
tch_20200625-194027_7,e9c740e0-b6ef-11ea-840b-0242ac110002,std_1593095212904_7,class_20200625-194027_7,VX9i-v6Zu,73e18771-2722-432a-a9c0-b16a8a2dfbfd,ca160b3e-bf8c-4b37-8d7a-9b733ff3eeea,c6552adf-9830-46a7-9350-4666ea480421,e702fffb-b3f5-4a42-948b-a08f73a6dd83,877557ec-19cd-450a-a163-8b98b329e104,b8122df0-4fe9-4fd5-b6a3-87946d1f72e5
tch_20200625-194027_5,f3335ce4-b6ef-11ea-840b-0242ac110002,std_1593095228711_5,class_20200625-194027_5,zE8U-mcnF,9e8247a1-6a57-469c-acc3-a91649c4c481,ffb3a7ab-6486-439f-a00c-72cf2984c4ef,31bdc6f4-2d95-4bad-975d-3e323b3a4a38,0b042a35-92e6-4e29-b926-a5758f44cb49,1b225548-27df-4117-89e7-42e1f28be2d9,59851177-5f2a-4afc-b7ca-f54c59fb0eb2
tch_20200625-194027_3,f41c368c-b6ef-11ea-840b-0242ac110002,std_1593095230258_3,class_20200625-194027_3,8X7z-2hZY,5bde54a5-656f-413c-9ff7-1b196dfce561,9b662a96-c513-4bab-b27d-6391ba3faacb,f07e24e9-a5f0-4c34-bf50-cb251e014ade,70090143-d7e5-4a3f-a43a-ebaafee94192,125161a6-8be7-4add-9942-eb8142fb1c98,4ab6bb87-500f-460c-9f2c-92932e95fdf1
tch_20200625-194027_2,f4048ffe-b6ef-11ea-94cc-0242ac110002,std_1593095230096_2,class_20200625-194027_2,aoaf-9NAq,e3d679c8-e7ac-44f5-b408-27678a1611ef,ec364678-6f97-4ef0-b0d8-a3d4a9701939,007ad82b-408d-4600-84a9-5552be065861,416f0cb9-0ddc-4d8c-876a-83094e604e0c,2a0f55ac-1425-42a1-9582-608fa4ee853a,3c11e88b-93b8-4891-9aea-6cca129f32f5
tch_20200625-194027_1,f429563f-b6ef-11ea-840b-0242ac110002,std_1593095230320_1,class_20200625-194027_1,AeM6-zV3G,9acc5c54-1cb5-440f-8dfb-26567b9aa5ac,51b77ce9-6131-469f-8ecf-8ed35046dca6,c76f2d7c-d285-49f5-a53e-94a5a867b2db,5bd25de6-46bd-4c0b-baf7-51e226882503,a4992d4f-c695-49a0-b96a-0380bb7e575e,23b4fc85-a803-45de-8d91-2ad9259c3972
tch_20200625-194027_8,f69b4001-b6ef-11ea-840b-0242ac110002,std_1593095234378_8,class_20200625-194027_8,uDmC-JCVq,3ac25368-5dee-45aa-8035-b715f68bfc90,345d0581-51ff-4522-823d-dfe25a84c46c,3083c0d8-d478-4921-9aee-42169fdc2f0a,d5b7c6c8-9b0b-4d2c-a22d-1dde700ad56d,74c975b8-46c8-41b5-90aa-e02e65065543,383e70b3-a319-421a-8dcd-1af0eeb6e858
tch_20200625-194027_7,fa424f48-b6ef-11ea-840b-0242ac110002,std_1593095240545_7,class_20200625-194027_7,VX9i-v6Zu,73e18771-2722-432a-a9c0-b16a8a2dfbfd,ca160b3e-bf8c-4b37-8d7a-9b733ff3eeea,c6552adf-9830-46a7-9350-4666ea480421,e702fffb-b3f5-4a42-948b-a08f73a6dd83,877557ec-19cd-450a-a163-8b98b329e104,b8122df0-4fe9-4fd5-b6a3-87946d1f72e5
tch_20200625-194027_4,00718fb0-b6f0-11ea-840b-0242ac110002,std_1593095250910_4,class_20200625-194027_4,Cuvb-47qn,6fda09ba-84d0-40a4-aa66-7f14691cb0ac,5be09772-2304-4904-a5ee-a3b73d76f155,fbfe86bb-d04d-4f94-aedc-972ac65e791c,8ea8e8d3-38e1-4c26-8b30-f47985b8d7db,f5b1c57e-09ac-4e30-ab23-9b78fbfd7215,9bf62c05-27f6-430d-a63c-effc5a9e4e6f
tch_20200625-194027_5,02f4df64-b6f0-11ea-840b-0242ac110002,std_1593095255155_5,class_20200625-194027_5,zE8U-mcnF,9e8247a1-6a57-469c-acc3-a91649c4c481,ffb3a7ab-6486-439f-a00c-72cf2984c4ef,31bdc6f4-2d95-4bad-975d-3e323b3a4a38,0b042a35-92e6-4e29-b926-a5758f44cb49,1b225548-27df-4117-89e7-42e1f28be2d9,59851177-5f2a-4afc-b7ca-f54c59fb0eb2
