teacher,classcode,c,d,e,f,g,h
tch_20200513-093730_552,class_20200513-093730_552,6v9E-32Vy,,,,,
tch_20200513-093730_551,class_20200513-093730_551,WTh3-uF64,,,,,
tch_20200513-093730_554,class_20200513-093730_554,eEFX-7P6r,,,,,
tch_20200513-093730_553,class_20200513-093730_553,DJ8y-aBvK,,,,,
tch_20200513-093730_555,class_20200513-093730_555,uP93-4naj,,,,,
tch_20200513-093730_556,class_20200513-093730_556,2Y9a-XdrG,,,,,
tch_20200513-093730_557,class_20200513-093730_557,hT2V-Ww84,,,,,
tch_20200513-093730_558,class_20200513-093730_558,J8QF-LnNw,,,,,
tch_20200513-093730_559,class_20200513-093730_559,2hr7-t46M,,,,,
tch_20200513-093730_560,class_20200513-093730_560,dAkX-u9m3,,,,,
tch_20200513-093730_561,class_20200513-093730_561,7CJ9-D4Xw,,,,,
tch_20200513-093730_562,class_20200513-093730_562,zhnN-2u79,,,,,
tch_20200513-093730_563,class_20200513-093730_563,79D3-Kbzd,,,,,
tch_20200513-093730_564,class_20200513-093730_564,Y823-J47o,,,,,
tch_20200513-093730_566,class_20200513-093730_566,ZuLc-kxF4,,,,,
tch_20200513-093730_565,class_20200513-093730_565,TJe8-WNmJ,,,,,
tch_20200513-093730_569,class_20200513-093730_569,QTkh-Q3fz,,,,,
tch_20200513-093730_568,class_20200513-093730_568,gpzR-3Aw6,,,,,
tch_20200513-093730_567,class_20200513-093730_567,pbQ3-Xn84,,,,,
tch_20200513-093730_571,class_20200513-093730_571,Wv46-YVnZ,,,,,
tch_20200513-093730_570,class_20200513-093730_570,LZvW-698L,,,,,
tch_20200513-093730_572,class_20200513-093730_572,HJBX-WEFq,,,,,
tch_20200513-093730_573,class_20200513-093730_573,JHYG-fU4s,,,,,
tch_20200513-093730_574,class_20200513-093730_574,7duy-Nc8R,,,,,
tch_20200513-093730_577,class_20200513-093730_577,pmqn-q82j,,,,,
tch_20200513-093730_575,class_20200513-093730_575,6Ld8-EVHK,,,,,
tch_20200513-093730_576,class_20200513-093730_576,EjF2-x6iY,,,,,
tch_20200513-093730_579,class_20200513-093730_579,Gw2W-N9rC,,,,,
tch_20200513-093730_578,class_20200513-093730_578,7bH9-c7UP,,,,,
tch_20200513-093730_580,class_20200513-093730_580,TjWM-c4hE,,,,,
tch_20200513-093730_581,class_20200513-093730_581,wecf-Qd6q,,,,,
tch_20200513-093730_582,class_20200513-093730_582,6Lgm-YaJK,,,,,
tch_20200513-093730_584,class_20200513-093730_584,6pn3-sq8D,,,,,
tch_20200513-093730_583,class_20200513-093730_583,X94h-eoB7,,,,,
tch_20200513-093730_585,class_20200513-093730_585,oUaJ-zRfz,,,,,
tch_20200513-093730_587,class_20200513-093730_587,ivxX-dNpr,,,,,
tch_20200513-093730_586,class_20200513-093730_586,e93t-874k,,,,,
tch_20200513-093730_588,class_20200513-093730_588,9XP9-ei3Z,,,,,
tch_20200513-093730_589,class_20200513-093730_589,Wd2h-G32H,,,,,
tch_20200513-093730_590,class_20200513-093730_590,4cBK-NGud,,,,,
tch_20200513-093730_592,class_20200513-093730_592,vEYj-vU4q,,,,,
tch_20200513-093730_591,class_20200513-093730_591,3PUF-w2dg,,,,,
tch_20200513-093730_594,class_20200513-093730_594,t6Ac-kx3c,,,,,
tch_20200513-093730_593,class_20200513-093730_593,9rKa-z7Wb,,,,,
tch_20200513-093730_595,class_20200513-093730_595,Lf3X-8Di6,,,,,
tch_20200513-093730_596,class_20200513-093730_596,J82b-B3WU,,,,,
tch_20200513-093730_598,class_20200513-093730_598,k8tG-Ri4H,,,,,
tch_20200513-093730_597,class_20200513-093730_597,cK2Y-qhQ6,,,,,
tch_20200513-093730_599,class_20200513-093730_599,B4Ji-bj7v,,,,,
tch_20200513-093730_601,class_20200513-093730_601,3ehW-6XQB,,,,,
tch_20200513-093730_600,class_20200513-093730_600,kNVm-6yb7,,,,,
tch_20200513-093730_602,class_20200513-093730_602,kh2y-7E3J,,,,,
tch_20200513-093730_603,class_20200513-093730_603,Z2kN-3tsn,,,,,
tch_20200513-093730_604,class_20200513-093730_604,L37b-wPLG,,,,,
tch_20200513-093730_605,class_20200513-093730_605,Bewj-gqx3,,,,,
tch_20200513-093730_606,class_20200513-093730_606,8WxN-eZ6w,,,,,
tch_20200513-093730_607,class_20200513-093730_607,TxQZ-vHkU,,,,,
tch_20200513-093730_609,class_20200513-093730_609,Fmce-8uvW,,,,,
tch_20200513-093730_608,class_20200513-093730_608,7EoY-7NFT,,,,,
tch_20200513-093730_611,class_20200513-093730_611,6D28-6wDh,,,,,
tch_20200513-093730_610,class_20200513-093730_610,6383-Pwdz,,,,,
tch_20200513-093730_612,class_20200513-093730_612,NBhy-72up,,,,,
tch_20200513-093730_613,class_20200513-093730_613,Mqvq-KunV,,,,,
tch_20200513-093730_614,class_20200513-093730_614,HAs4-qw6x,,,,,
tch_20200513-093730_615,class_20200513-093730_615,djD2-giEL,,,,,
tch_20200513-093730_616,class_20200513-093730_616,4skT-W4do,,,,,
tch_20200513-093730_619,class_20200513-093730_619,b97p-KaHW,,,,,
tch_20200513-093730_617,class_20200513-093730_617,Ru6F-J63f,,,,,
tch_20200513-093730_618,class_20200513-093730_618,rfKa-6xfD,,,,,
tch_20200513-093730_620,class_20200513-093730_620,adPg-yLqy,,,,,
tch_20200513-093730_621,class_20200513-093730_621,v83s-Aqhw,,,,,
tch_20200513-093730_622,class_20200513-093730_622,LGn9-Ui8W,,,,,
tch_20200513-093730_623,class_20200513-093730_623,K2j8-wApM,,,,,
tch_20200513-093730_624,class_20200513-093730_624,J6Pc-7vLG,,,,,
tch_20200513-093730_625,class_20200513-093730_625,tWUz-N8QM,,,,,
tch_20200513-093730_626,class_20200513-093730_626,9k6Y-y2A3,,,,,
tch_20200513-093730_628,class_20200513-093730_628,Z7Fr-DZ3Q,,,,,
tch_20200513-093730_629,class_20200513-093730_629,rARW-U7pT,,,,,
tch_20200513-093730_627,class_20200513-093730_627,r8Po-jMP7,,,,,
tch_20200513-093730_630,class_20200513-093730_630,BT2A-HUfY,,,,,
tch_20200513-093730_631,class_20200513-093730_631,7Unc-nFrd,,,,,
tch_20200513-093730_632,class_20200513-093730_632,ki8W-F6Re,,,,,
tch_20200513-093730_633,class_20200513-093730_633,8Vea-J4Bm,,,,,
tch_20200513-093730_634,class_20200513-093730_634,GYXM-oMgz,,,,,
tch_20200513-093730_637,class_20200513-093730_637,6Vzu-t67J,,,,,
tch_20200513-093730_635,class_20200513-093730_635,LJx4-24vb,,,,,
tch_20200513-093730_636,class_20200513-093730_636,8p7n-E6Ad,,,,,
tch_20200513-093730_638,class_20200513-093730_638,3Bg8-h4B8,,,,,
tch_20200513-093730_641,class_20200513-093730_641,G4zF-6sKR,,,,,
tch_20200513-093730_639,class_20200513-093730_639,HFGZ-9x7V,,,,,
tch_20200513-093730_640,class_20200513-093730_640,V34L-yxps,,,,,
tch_20200513-093730_642,class_20200513-093730_642,q4P4-tGnA,,,,,
tch_20200513-093730_643,class_20200513-093730_643,j7RM-Rye6,,,,,
tch_20200513-093730_645,class_20200513-093730_645,mYd9-WhyP,,,,,
tch_20200513-093730_646,class_20200513-093730_646,u3z3-i29o,,,,,
tch_20200513-093730_644,class_20200513-093730_644,ci7s-PbAc,,,,,
tch_20200513-093730_647,class_20200513-093730_647,F8hY-47Cz,,,,,
tch_20200513-093730_650,class_20200513-093730_650,crCE-43L4,,,,,
tch_20200513-093730_648,class_20200513-093730_648,VmUB-mqHo,,,,,
tch_20200513-093730_649,class_20200513-093730_649,j8o4-8ta3,,,,,
tch_20200513-093730_651,class_20200513-093730_651,HQ8f-XKz6,,,,,
tch_20200513-093730_653,class_20200513-093730_653,kGcR-pt9d,,,,,
tch_20200513-093730_652,class_20200513-093730_652,TJXx-9Kw9,,,,,
tch_20200513-093730_655,class_20200513-093730_655,u8mZ-2eRP,,,,,
tch_20200513-093730_654,class_20200513-093730_654,29CP-2Pj6,,,,,
tch_20200513-093730_656,class_20200513-093730_656,ybCy-mWcG,,,,,
tch_20200513-093730_657,class_20200513-093730_657,7xPV-oFyn,,,,,
tch_20200513-093730_659,class_20200513-093730_659,63p6-Cq9Q,,,,,
tch_20200513-093730_661,class_20200513-093730_661,fm8j-4emg,,,,,
tch_20200513-093730_658,class_20200513-093730_658,Peri-r8E8,,,,,
tch_20200513-093730_662,class_20200513-093730_662,FCgB-2jqW,,,,,
tch_20200513-093730_660,class_20200513-093730_660,3dsN-XoDB,,,,,
tch_20200513-093730_663,class_20200513-093730_663,VgWF-9hi6,,,,,
tch_20200513-093730_665,class_20200513-093730_665,Fy2F-gt82,,,,,
tch_20200513-093730_664,class_20200513-093730_664,D4PV-h8F2,,,,,
tch_20200513-093730_666,class_20200513-093730_666,JdN8-g2J8,,,,,
tch_20200513-093730_667,class_20200513-093730_667,fbne-Me8M,,,,,
tch_20200513-093730_670,class_20200513-093730_670,knNB-R6EM,,,,,
tch_20200513-093730_669,class_20200513-093730_669,V87k-9Mp2,,,,,
tch_20200513-093730_668,class_20200513-093730_668,VxZ3-bT3z,,,,,
tch_20200513-093730_671,class_20200513-093730_671,7MeR-VFm7,,,,,
tch_20200513-093730_672,class_20200513-093730_672,MRB2-wXhj,,,,,
tch_20200513-093730_673,class_20200513-093730_673,i2Er-8cGd,,,,,
tch_20200513-093730_674,class_20200513-093730_674,GAPV-T6pW,,,,,
tch_20200513-093730_675,class_20200513-093730_675,K9hq-ezVD,,,,,
tch_20200513-093730_678,class_20200513-093730_678,2sRb-3Zz7,,,,,
tch_20200513-093730_677,class_20200513-093730_677,GVus-T8NU,,,,,
tch_20200513-093730_679,class_20200513-093730_679,TC62-8u28,,,,,
tch_20200513-093730_676,class_20200513-093730_676,w2d7-v364,,,,,
tch_20200513-093730_681,class_20200513-093730_681,B8c9-LuP9,,,,,
tch_20200513-093730_680,class_20200513-093730_680,d8i8-g8n9,,,,,
tch_20200513-093730_682,class_20200513-093730_682,x68N-huLu,,,,,
tch_20200513-093730_683,class_20200513-093730_683,48TE-3Wy7,,,,,
tch_20200513-093730_684,class_20200513-093730_684,8X3R-bVr6,,,,,
tch_20200513-093730_685,class_20200513-093730_685,2rQA-siZe,,,,,
tch_20200513-093730_686,class_20200513-093730_686,NVH7-hGk6,,,,,
tch_20200513-093730_687,class_20200513-093730_687,E9Mo-BF7F,,,,,
tch_20200513-093730_688,class_20200513-093730_688,2AB2-gb9v,,,,,
tch_20200513-093730_690,class_20200513-093730_690,DQ4u-vUc6,,,,,
tch_20200513-093730_689,class_20200513-093730_689,6dN8-pziN,,,,,
tch_20200513-093730_691,class_20200513-093730_691,P8qz-PC2z,,,,,
tch_20200513-093730_694,class_20200513-093730_694,2wDU-xc8q,,,,,
tch_20200513-093730_692,class_20200513-093730_692,3w3R-qf49,,,,,
tch_20200513-093730_693,class_20200513-093730_693,bh8i-7R2o,,,,,
tch_20200513-093730_697,class_20200513-093730_697,hD6v-kr2A,,,,,
tch_20200513-093730_695,class_20200513-093730_695,8NDp-72NG,,,,,
tch_20200513-093730_698,class_20200513-093730_698,328V-6xsJ,,,,,
tch_20200513-093730_696,class_20200513-093730_696,RFw4-y6G3,,,,,
tch_20200513-093730_699,class_20200513-093730_699,j9LT-jzG8,,,,,
tch_20200513-093730_700,class_20200513-093730_700,oieL-wbzH,,,,,
tch_20200513-093730_701,class_20200513-093730_701,tk3B-C4L6,,,,,
tch_20200513-093730_702,class_20200513-093730_702,QHDB-2Dsv,,,,,
tch_20200513-093730_704,class_20200513-093730_704,RxCL-zq9F,,,,,
tch_20200513-093730_705,class_20200513-093730_705,LMjf-x42J,,,,,
tch_20200513-093730_703,class_20200513-093730_703,JXKc-Hf26,,,,,
tch_20200513-093730_706,class_20200513-093730_706,vBks-y7cj,,,,,
tch_20200513-093730_707,class_20200513-093730_707,rK27-9N2v,,,,,
tch_20200513-093730_709,class_20200513-093730_709,o89p-VG64,,,,,
tch_20200513-093730_708,class_20200513-093730_708,qR39-A3Tu,,,,,
tch_20200513-093730_711,class_20200513-093730_711,MJnV-dBK3,,,,,
tch_20200513-093730_710,class_20200513-093730_710,PtJs-bNqr,,,,,
tch_20200513-093730_713,class_20200513-093730_713,2L83-QCX7,,,,,
tch_20200513-093730_712,class_20200513-093730_712,LmqM-83Xx,,,,,
tch_20200513-093730_714,class_20200513-093730_714,ybuF-7nCw,,,,,
tch_20200513-093730_715,class_20200513-093730_715,ECc4-K3J7,,,,,
tch_20200513-093730_717,class_20200513-093730_717,97ek-UXNU,,,,,
tch_20200513-093730_716,class_20200513-093730_716,49U7-f87D,,,,,
tch_20200513-093730_718,class_20200513-093730_718,82hV-p7b4,,,,,
tch_20200513-093730_720,class_20200513-093730_720,DWU8-d3N3,,,,,
tch_20200513-093730_719,class_20200513-093730_719,8Aa4-wmd8,,,,,
tch_20200513-093730_721,class_20200513-093730_721,6Rif-b69C,,,,,
tch_20200513-093730_722,class_20200513-093730_722,9GZ6-R8YV,,,,,
tch_20200513-093730_723,class_20200513-093730_723,b4Kq-9i4y,,,,,
tch_20200513-093730_725,class_20200513-093730_725,RF48-7xzP,,,,,
tch_20200513-093730_724,class_20200513-093730_724,YhFP-m6MB,,,,,
tch_20200513-093730_726,class_20200513-093730_726,hFcd-eJMW,,,,,
tch_20200513-093730_729,class_20200513-093730_729,U9UE-snew,,,,,
tch_20200513-093730_727,class_20200513-093730_727,MQ8b-AvWq,,,,,
tch_20200513-093730_728,class_20200513-093730_728,GkxP-ET3w,,,,,
tch_20200513-093730_730,class_20200513-093730_730,8wLZ-x3ah,,,,,
tch_20200513-093730_731,class_20200513-093730_731,782C-3Gz9,,,,,
tch_20200513-093730_732,class_20200513-093730_732,nz4o-62T7,,,,,
tch_20200513-093730_734,class_20200513-093730_734,G67z-ZydK,,,,,
tch_20200513-093730_736,class_20200513-093730_736,wcAE-fj7m,,,,,
tch_20200513-093730_733,class_20200513-093730_733,pRQg-trM6,,,,,
tch_20200513-093730_735,class_20200513-093730_735,7ZND-xsia,,,,,
tch_20200513-093730_737,class_20200513-093730_737,Mxwp-JHpA,,,,,
tch_20200513-093730_738,class_20200513-093730_738,bPaJ-aKwW,,,,,
tch_20200513-093730_739,class_20200513-093730_739,WUeP-T949,,,,,
tch_20200513-093730_741,class_20200513-093730_741,UKLJ-pv4H,,,,,
tch_20200513-093730_740,class_20200513-093730_740,NW36-z48o,,,,,
tch_20200513-093730_742,class_20200513-093730_742,ydW6-yTR6,,,,,
tch_20200513-093730_743,class_20200513-093730_743,VP73-Xc63,,,,,
tch_20200513-093730_744,class_20200513-093730_744,MAB2-if74,,,,,
tch_20200513-093730_745,class_20200513-093730_745,zQ2h-HKYt,,,,,
tch_20200513-093730_746,class_20200513-093730_746,y4ZQ-2s6q,,,,,
tch_20200513-093730_747,class_20200513-093730_747,F29s-quXM,,,,,
tch_20200513-093730_749,class_20200513-093730_749,TPJa-E62L,,,,,
tch_20200513-093730_750,class_20200513-093730_750,D26L-n3tm,,,,,
tch_20200513-093730_748,class_20200513-093730_748,mzoH-2Ww7,,,,,
tch_20200513-093730_751,class_20200513-093730_751,V8fr-KFDa,,,,,
tch_20200513-093730_752,class_20200513-093730_752,2L86-BEZt,,,,,
tch_20200513-093730_753,class_20200513-093730_753,i3NR-7JQc,,,,,
tch_20200513-093730_754,class_20200513-093730_754,4n62-Nr3e,,,,,
tch_20200513-093730_755,class_20200513-093730_755,BgPa-hjaz,,,,,
tch_20200513-093730_756,class_20200513-093730_756,dNP9-DPdc,,,,,
tch_20200513-093730_757,class_20200513-093730_757,qvqF-3RHr,,,,,
tch_20200513-093730_758,class_20200513-093730_758,HKiu-YMW7,,,,,
tch_20200513-093730_759,class_20200513-093730_759,DBRB-FmCs,,,,,
tch_20200513-093730_760,class_20200513-093730_760,V9BA-UoJL,,,,,
tch_20200513-093730_761,class_20200513-093730_761,Yhbr-uLDp,,,,,
tch_20200513-093730_762,class_20200513-093730_762,26P4-6RxH,,,,,
tch_20200513-093730_763,class_20200513-093730_763,artf-rC3d,,,,,
tch_20200513-093730_764,class_20200513-093730_764,46kq-GPL4,,,,,
tch_20200513-093730_765,class_20200513-093730_765,TfjM-J6W8,,,,,
tch_20200513-093730_766,class_20200513-093730_766,9k7X-24Da,,,,,
tch_20200513-093730_767,class_20200513-093730_767,8VCF-ZTdi,,,,,
tch_20200513-093730_768,class_20200513-093730_768,J34w-HezL,,,,,
tch_20200513-093730_770,class_20200513-093730_770,4P8v-Jrh2,,,,,
tch_20200513-093730_769,class_20200513-093730_769,P9Bi-qt7e,,,,,
tch_20200513-093730_771,class_20200513-093730_771,TYDQ-KR6j,,,,,
tch_20200513-093730_773,class_20200513-093730_773,p4m2-4CaB,,,,,
tch_20200513-093730_775,class_20200513-093730_775,8V9A-B4NM,,,,,
tch_20200513-093730_776,class_20200513-093730_776,6Dv3-DF42,,,,,
tch_20200513-093730_777,class_20200513-093730_777,3iM7-h7Hc,,,,,
tch_20200513-093730_778,class_20200513-093730_778,8w73-4T74,,,,,
tch_20200513-093730_780,class_20200513-093730_780,6w2k-pTM2,,,,,
tch_20200513-093730_779,class_20200513-093730_779,xTLF-XNYx,,,,,
tch_20200513-093730_781,class_20200513-093730_781,9zic-Bnu6,,,,,
tch_20200513-093730_782,class_20200513-093730_782,7uD3-iZ3s,,,,,
tch_20200513-093730_783,class_20200513-093730_783,2yCj-7q78,,,,,
tch_20200513-093730_784,class_20200513-093730_784,9Ziq-FYV4,,,,,
tch_20200513-093730_786,class_20200513-093730_786,pd46-QvjJ,,,,,
tch_20200513-093730_787,class_20200513-093730_787,ytYr-mxm6,,,,,
tch_20200513-093730_785,class_20200513-093730_785,aNLD-zUbD,,,,,
tch_20200513-093730_788,class_20200513-093730_788,fhqY-Fh4u,,,,,
tch_20200513-093730_789,class_20200513-093730_789,AhuP-LyEC,,,,,
tch_20200513-093730_792,class_20200513-093730_792,8Xu3-9Ed7,,,,,
tch_20200513-093730_791,class_20200513-093730_791,6TR2-qfgF,,,,,
tch_20200513-093730_790,class_20200513-093730_790,N4RQ-UnN9,,,,,
tch_20200513-093730_793,class_20200513-093730_793,LDeA-Wt4f,,,,,
tch_20200513-093730_794,class_20200513-093730_794,XEu8-bjPu,,,,,
tch_20200513-093730_795,class_20200513-093730_795,3ioz-89nv,,,,,
tch_20200513-093730_796,class_20200513-093730_796,28q3-rAjx,,,,,
tch_20200513-093730_798,class_20200513-093730_798,J946-hVUg,,,,,
tch_20200513-093730_797,class_20200513-093730_797,3979-p2N9,,,,,
tch_20200513-093730_800,class_20200513-093730_800,UcM2-u687,,,,,
tch_20200513-093730_799,class_20200513-093730_799,9P6V-XFo8,,,,,
tch_20200513-093730_801,class_20200513-093730_801,4oEA-ycy4,,,,,
tch_20200513-093730_802,class_20200513-093730_802,jC2p-A3UJ,,,,,
tch_20200513-093730_804,class_20200513-093730_804,jy96-MoHw,,,,,
tch_20200513-093730_803,class_20200513-093730_803,qUWT-8r73,,,,,
tch_20200513-093730_805,class_20200513-093730_805,24wX-8JdE,,,,,
tch_20200513-093730_807,class_20200513-093730_807,y2MD-2i2v,,,,,
tch_20200513-093730_806,class_20200513-093730_806,fxP6-NG73,,,,,
tch_20200513-093730_808,class_20200513-093730_808,Y6Kq-2QkX,,,,,
tch_20200513-093730_810,class_20200513-093730_810,KeTN-hbkQ,,,,,
tch_20200513-093730_811,class_20200513-093730_811,Z7Ae-Lm6D,,,,,
tch_20200513-093730_812,class_20200513-093730_812,MzUD-78J9,,,,,
tch_20200513-093730_809,class_20200513-093730_809,zP7t-2pLa,,,,,
tch_20200513-093730_813,class_20200513-093730_813,X2TR-m3tD,,,,,
tch_20200513-093730_814,class_20200513-093730_814,wV8H-Neaj,,,,,
tch_20200513-093730_816,class_20200513-093730_816,4a8i-2Z9a,,,,,
tch_20200513-093730_815,class_20200513-093730_815,rxcX-sKxf,,,,,
tch_20200513-093730_817,class_20200513-093730_817,HvtU-kGpZ,,,,,
tch_20200513-093730_818,class_20200513-093730_818,np97-uB7t,,,,,
tch_20200513-093730_819,class_20200513-093730_819,caiT-oj2U,,,,,
tch_20200513-093730_821,class_20200513-093730_821,Haz6-27Lh,,,,,
tch_20200513-093730_822,class_20200513-093730_822,8Ncx-exrJ,,,,,
tch_20200513-093730_820,class_20200513-093730_820,BnAV-3UTE,,,,,
tch_20200513-093730_823,class_20200513-093730_823,NVw9-83ZY,,,,,
tch_20200513-093730_824,class_20200513-093730_824,WLWU-2aKh,,,,,
tch_20200513-093730_825,class_20200513-093730_825,Ftry-7NBU,,,,,
tch_20200513-093730_826,class_20200513-093730_826,fGsz-yWsD,,,,,
tch_20200513-093730_827,class_20200513-093730_827,M7mo-82Fp,,,,,
tch_20200513-093730_830,class_20200513-093730_830,X6an-Dk7t,,,,,
tch_20200513-093730_828,class_20200513-093730_828,PYbm-Gwd9,,,,,
tch_20200513-093730_829,class_20200513-093730_829,Dcze-TB4A,,,,,
tch_20200513-093730_832,class_20200513-093730_832,vpw7-3mpR,,,,,
tch_20200513-093730_831,class_20200513-093730_831,G8w2-YQmU,,,,,
tch_20200513-093730_833,class_20200513-093730_833,4Ha8-694P,,,,,
tch_20200513-093730_834,class_20200513-093730_834,Le3f-FTUF,,,,,
tch_20200513-093730_837,class_20200513-093730_837,Z6f7-tw9c,,,,,
tch_20200513-093730_835,class_20200513-093730_835,69Ti-w987,,,,,
tch_20200513-093730_836,class_20200513-093730_836,7fVu-4q79,,,,,
tch_20200513-093730_838,class_20200513-093730_838,YBUf-YpmP,,,,,
tch_20200513-093730_840,class_20200513-093730_840,gD46-eLNu,,,,,
tch_20200513-093730_839,class_20200513-093730_839,6WZt-2JCq,,,,,
tch_20200513-093730_841,class_20200513-093730_841,LwQm-YCnQ,,,,,
tch_20200513-093730_843,class_20200513-093730_843,vt76-2Qyu,,,,,
tch_20200513-093730_844,class_20200513-093730_844,68tJ-L84L,,,,,
tch_20200513-093730_842,class_20200513-093730_842,Fpa3-x6s4,,,,,
tch_20200513-093730_845,class_20200513-093730_845,ouo6-mh4H,,,,,
tch_20200513-093730_847,class_20200513-093730_847,GRxV-QUiB,,,,,
tch_20200513-093730_846,class_20200513-093730_846,H6yh-9TB3,,,,,
tch_20200513-093730_849,class_20200513-093730_849,aqyD-2gWq,,,,,
tch_20200513-093730_848,class_20200513-093730_848,Fdne-mbHz,,,,,
tch_20200513-093730_850,class_20200513-093730_850,F8FU-n3bq,,,,,
tch_20200513-093730_851,class_20200513-093730_851,m7fP-2ux3,,,,,
tch_20200513-093730_852,class_20200513-093730_852,FW6i-9wNW,,,,,
tch_20200513-093730_853,class_20200513-093730_853,RZ2X-i834,,,,,
tch_20200513-093730_854,class_20200513-093730_854,6tjA-Nwyv,,,,,
tch_20200513-093730_856,class_20200513-093730_856,iZ97-WYTQ,,,,,
tch_20200513-093730_855,class_20200513-093730_855,u3K7-FWN7,,,,,
tch_20200513-093730_857,class_20200513-093730_857,PhJc-H47T,,,,,
tch_20200513-093730_858,class_20200513-093730_858,J6fN-4g2N,,,,,
tch_20200513-093730_859,class_20200513-093730_859,At2c-ygo9,,,,,
tch_20200513-093730_860,class_20200513-093730_860,xZco-JQ94,,,,,
tch_20200513-093730_861,class_20200513-093730_861,hMt3-4k3K,,,,,
tch_20200513-093730_863,class_20200513-093730_863,veB8-FLyq,,,,,
tch_20200513-093730_862,class_20200513-093730_862,aPp9-UvjF,,,,,
tch_20200513-093730_864,class_20200513-093730_864,n37b-BPm9,,,,,
tch_20200513-093730_866,class_20200513-093730_866,BZ9y-spFt,,,,,
tch_20200513-093730_865,class_20200513-093730_865,4vHg-2AHV,,,,,
tch_20200513-093730_868,class_20200513-093730_868,PLz6-Jr8k,,,,,
tch_20200513-093730_867,class_20200513-093730_867,kPd6-V4WU,,,,,
tch_20200513-093730_869,class_20200513-093730_869,4rMK-z3Vi,,,,,
tch_20200513-093730_870,class_20200513-093730_870,xGD9-fdp4,,,,,
tch_20200513-093730_871,class_20200513-093730_871,3o7K-N4E8,,,,,
tch_20200513-093730_872,class_20200513-093730_872,C7vd-grh8,,,,,
tch_20200513-093730_873,class_20200513-093730_873,t6X2-wzum,,,,,
tch_20200513-093730_874,class_20200513-093730_874,XUwd-uXek,,,,,
tch_20200513-093730_877,class_20200513-093730_877,NmWd-mMz2,,,,,
tch_20200513-093730_875,class_20200513-093730_875,KPc7-J3JU,,,,,
tch_20200513-093730_876,class_20200513-093730_876,eQ9b-HrNe,,,,,
tch_20200513-093730_878,class_20200513-093730_878,z8Rh-NC9m,,,,,
tch_20200513-093730_879,class_20200513-093730_879,Mx7g-shHU,,,,,
